Aragonese	Campidanese	probability
b	b	1.0
f	f	1.0
u	-	1.0
ɲ	nː	1.0
ʃ	ʃː	1.0
ʝ	z	1.0
a	-	0.101
e	i_n	0.061
e	-	0.081
k	k	0.931
l	ɖː	0.11
n	n_i	0.091
r	rː	0.1
s	z	0.101
t	t	0.901
ŋ	-	0.1
ɣ	ɣ	0.61
ˈa	-	0.061
ˈe	ˈe	0.211
j	ˈe	0.572
o	u	0.852
p	k	0.112
ʎ	l	0.062
ʎ	ɖː	0.122
ʎ	ʣ	0.312
ˈe	e	0.2
θ	-	0.452
e	ˈi	0.133
l	-	0.093
ð	-	0.053
ð	ð	0.753
ʧ	ʤ	0.743
a	ˈa	0.064
d	-	0.094
m	m	0.934
ˈa	ˈa	0.924
ˈe	i	0.194
ˈo	ˈo	0.774
β	v	0.194
θ	ʧ	0.404
i	e	0.515
k	-	0.055
ð	t	0.195
ɡ	-	0.105
ɡ	ɡ	0.895
ɣ	ɡ	0.085
ɣ	-	0.305
ɾ	r_i	0.15
ˈi	ˈi	0.805
ˈu	ˈu	0.965
a	a	0.826
d	d	0.906
e	u	0.06
i	a	0.196
l	r	0.176
s	s	0.786
t	-	0.06
w	w	0.286
w	ˈo	0.646
ʎ	j	0.216
ˈo	ˈu	0.226
β	p	0.186
e	i	0.367
o	o	0.077
ʎ	-	0.287
ʧ	b	0.257
ˈe	ˈi	0.347
ˈi	i	0.137
β	β	0.397
e	e	0.298
j	-	0.428
l	l	0.58
p	p	0.888
w	-	0.068
ɾ	r	0.668
ˈi	-	0.058
θ	ʒ_i	0.118
i	ˈi	0.289
n	n	0.879
r	r	0.9
ŋ	ŋ	0.9
ɾ	-	0.099
β	-	0.19
