Mecklenburgisch-Vorpommersch	Old High German	probability
ˈɛɪ̯	ˈɑː	1.0
ˈœ	-	1.0
ˈøː	ˈu	1.0
ˈiː_n	ˈiː_n	1.0
ˈeː	ˈeː	1.0
ˈa	ˈɑ	1.0
ʃ_t	s_t	1.0
ʃ_l	s_l	1.0
ɪ_ç	ɡ	1.0
ɪ	ɑ	1.0
ɣ̊	ɡ	1.0
ɣ	ˈiu̯	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
æ_n	r_n	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
w	w	1.0
v̥	b	1.0
tʰ	ʦ	1.0
pʰ	-	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	t	1.0
b	b	1.0
ae̯	ɛ_h	1.0
l	l	0.966
v	w	0.959
r	r	0.949
m	m	0.835
d	d	0.832
ˈœː	ˈu	0.767
s	s	0.766
ˈɪ	ˈi	0.764
ʃ	s_k	0.73
n	n	0.703
ˈʊ	ˈu	0.701
ˈʏ	ˈu	0.664
ˈyː	ˈiu̯	0.615
ˈiː	ˈiː	0.592
ˈɔʏ̯	ˈuo̯	0.591
ɾ	-	0.58
ˈuː	ˈuː	0.566
ˈɔ	ˈo	0.539
æ	r	0.533
ç	x	0.523
ˈaʊ̯	ˈuo̯	0.517
ˈoː	-	0.511
ˈɒː	ˈɑː	0.5
ˈɛː	ˈɛ	0.494
ˈae̯	ˈei̯	0.49
ˈaː	ˈɑ_r	0.488
ç	kː_ɑ	0.477
ˈɛ	ˈɛ	0.442
p	f	0.414
ˈoː	ˈɑː	0.412
ˈɔʏ̯	-	0.409
ˈyː	-	0.385
k	xː	0.368
ŋ	ŋ	0.348
ŋ	ŋ_ɡ	0.341
ˈʏ	-	0.336
t	s̻	0.325
ˈɒː	ˈɑ	0.322
ˈae̯	ˈio̯	0.319
ˈaː	ˈɑ	0.307
ˈɔ	ˈu	0.306
ˈʊ	ˈo	0.299
k	x	0.296
p	f_ɑ	0.292
ˈɛː	-	0.291
ɾ	ɛ	0.29
ˈuː	ˈo	0.286
ʃ	s	0.27
ˈɛ	ˈe	0.263
k	kː	0.257
s	x	0.234
ˈœː	-	0.233
t	t	0.223
ˈaʊ̯	ˈou̯	0.219
ˈɛː	ˈɑ	0.215
t	s̻ː	0.215
ˈaː	ˈɛ_r	0.205
ˈaʊ̯	ˈoː	0.191
æ	ɑ_r	0.19
ŋ	ɡ_ɑ	0.188
ˈɒː	ˈɑ_h	0.178
ˈiː	ˈio̯	0.168
d	t	0.168
ˈiː	ˈɛ	0.167
p	p͡f	0.157
ˈɔ	ˈɑ	0.156
ˈuː	-	0.148
ˈɛ	ˈɑ	0.147
ˈɛ	ˈi	0.147
t	ʦ	0.147
ɾ	tː	0.131
ŋ	ɡ	0.123
ˈɪ	ˈei̯	0.121
m	ɑ_n	0.115
ˈae̯	ˈɛ_h	0.108
æ	r_i	0.103
n	nː	0.099
æ	ˈu_r	0.091
p	p	0.09
æ	ɑ	0.083
ˈae̯	-	0.082
k	-	0.08
ˈoː	ou̯	0.077
n	e_n	0.076
ˈiː	ˈie̯	0.073
ˈɪ	-	0.072
ˈaʊ̯	ˈɑ	0.072
t	ʦː	0.071
n	n_t	0.068
n	n_d	0.054
r	r_ˈou̯	0.051
m	n	0.051
