Old Norse	Alsatian	probability
a	ə	0.688
a	-	0.217
a	ˈɔi̯	0.095
b	b̥	0.956
c	ʃ	1.0
cʰ	kʰ	1.0
cː	k	1.0
d	d̥	0.6
d	t	0.345
f	f	0.96
h	h	0.948
h	kʰ	0.052
i	ə	0.718
i	-	0.282
j	-	0.409
j	ˈiː	0.174
j	ˈæː	0.174
j	ˈe	0.115
j	ˈi	0.087
k	ʃ	0.818
k	x	0.133
kʰ	kʰ	0.762
kʰ	ɡ̊	0.136
kʰ	f	0.102
kː	k	1.0
l	l	0.985
lː	l	1.0
l̥	l	1.0
m	m	0.976
mː	m	0.666
mː	e	0.334
n	n	0.848
n	-	0.152
nː	n	0.722
nː	l	0.203
nː	-	0.075
p	f	0.798
p	p͡f	0.202
pː	f	1.0
r	ʁ	0.926
r	-	0.074
rː	ʁ	0.883
rː	-	0.071
r̥	ʁ	1.0
s	s	0.536
s	ʃ	0.332
s	-	0.132
sː	s	1.0
t	s	0.705
t	t	0.173
t	ʦ	0.123
tʰ	ʦ	0.91
tʰ	b̥	0.09
tː	x	0.662
tː	t	0.234
tː	ʦ	0.07
u	i	0.453
u	n	0.276
u	-	0.226
v	ʋ	0.388
v	f	0.14
v	b̥	0.105
v	m	0.096
v	w	0.077
v	v	0.074
v	s	0.07
w	ʋ	1.0
x	-	1.0
ç	h	1.0
ð	t	0.777
ð	-	0.121
ð	d̥	0.102
ŋ	ŋ	0.823
ŋ	-	0.101
ŋ	n	0.076
ɑ	ə	0.852
ɑ	-	0.065
ɑː	eː	1.0
ɟ	ɡ̊	0.926
ɟ	-	0.074
ɟː	k	1.0
ɡ	-	0.559
ɡ	ɡ̊	0.441
ɡː	k	0.792
ɡː	-	0.208
ɣ	-	0.548
ɣ	j	0.289
ɣ	v	0.067
ʝː	v	1.0
ʦ	t	1.0
ˈa	ˈɒ	1.0
ˈe	ˈi	0.394
ˈe	ˈæ	0.201
ˈe	ˈeː	0.13
ˈe	ˈaː	0.094
ˈe	ˈæː	0.094
ˈe	ˈe	0.087
ˈeː	ˈeː	0.632
ˈeː	ˈiː	0.108
ˈeː	ˈi	0.09
ˈeː	ˈei̯	0.085
ˈeː	ˈʊː	0.085
ˈi	ˈi	0.89
ˈiː	ˈiː	0.569
ˈiː	ˈei̯	0.229
ˈiː	ˈeː	0.115
ˈiː	ˈi	0.086
ˈo	ˈo	0.585
ˈo	ˈoː	0.175
ˈo	ˈu	0.108
ˈo	ˈi	0.052
ˈoː	ˈʊː	0.533
ˈoː	ˈøː	0.185
ˈoː	ˈoː	0.122
ˈoː	-	0.092
ˈoː	ˈiː	0.069
ˈu	ˈu	0.597
ˈu	ˈyː	0.134
ˈu	ˈo	0.065
ˈu	ˈe	0.064
ˈuː	ˈyː	0.443
ˈuː	-	0.412
ˈuː	ˈiː	0.073
ˈuː	ˈøi̯	0.072
ˈy	ˈu	0.385
ˈy	ˈe	0.365
ˈy	w	0.151
ˈy	ˈi	0.1
ˈyː	ˈei̯	0.442
ˈyː	ˈiː	0.255
ˈyː	ˈʊː	0.255
ˈøy̯	ˈai̯	0.323
ˈøy̯	ˈeː	0.323
ˈøy̯	ˈoː	0.238
ˈøy̯	ˈʊː	0.116
ˈøː	ˈiː	0.807
ˈøː	ˈʊː	0.167
ˈɑ	ˈɒ	0.431
ˈɑ	ˈɒː	0.154
ˈɑ	-	0.137
ˈɑ	ˈeː	0.127
ˈɑ	ˈæ	0.103
ˈɑu̯	ˈoː	0.43
ˈɑu̯	ˈʊː	0.35
ˈɑu̯	ə	0.127
ˈɑu̯	ˈœ	0.094
ˈɑː	ˈoː	0.727
ˈɑː	ˈɒ	0.11
ˈɑː	ˈeː	0.06
ˈɑː	ˈɒː	0.059
ˈɒu̯	ˈu	0.874
ˈɒu̯	ˈoː	0.126
ˈɔ	-	0.495
ˈɔ	ˈɒ	0.226
ˈɔ	ˈi	0.08
ˈɔ	ˈo	0.078
ˈɔ	ˈɒː	0.071
ˈɔ	ˈɛ	0.05
ˈɔː	ˈʊː	1.0
ˈɛ	ˈi	0.277
ˈɛ	ˈe	0.214
ˈɛ	ˈɒ	0.165
ˈɛ	ˈɒː	0.113
ˈɛ	ˈəi̯	0.097
ˈɛ	ˈɛ	0.084
ˈɛi̯	ˈəi̯	1.0
ˈɛː	ˈeː	0.802
ˈɛː	ˈɒ	0.198
θ	d̥	0.979
