Nynorsk Norwegian	Old West Norse	probability
ˈœʏ̯	ˈøy̯	1.0
ˈæː	ˈe	1.0
ˈæʉ̯	ˈɑu̯	1.0
ˈæɪ̯	ˈɛi̯	1.0
ˈæ	j_ˈɑ	1.0
ˈoː	ˈɑː	1.0
ʰpː	pː	1.0
ʰkː	kː	1.0
ʉ	u_ð	1.0
ɾ_ɑ	r_ɑ	1.0
ɲ	ŋ	1.0
ɪ	i_ŋ	1.0
ɡː	ɡː	1.0
ɛ	e	1.0
ə_n	n	1.0
ŋː	ŋ	1.0
çː	cː	1.0
v	v	1.0
tː	tː	1.0
t	t	1.0
sː	sː	1.0
pʰ	pʰ	1.0
p	p	1.0
n_ˈœ	n̥	1.0
m_n	v_n	1.0
m	m	1.0
k	k	1.0
h	h	1.0
f	f	1.0
e_ɾ	r̥	1.0
b	b	1.0
s	s	0.941
l	l	0.934
n	n	0.932
ˈʉ	ˈu	0.918
ʋ	v	0.914
ˈɪ	ˈi	0.887
ɑ	ɑ	0.877
ɾ	r	0.864
ˈʉː	ˈuː	0.805
ˈɑ	ˈɑ	0.794
d	d	0.791
kʰ	kʰ	0.779
ˈyː	ˈyː	0.754
ˈiː	ˈiː	0.727
nː	nː	0.719
ə	-	0.687
ʂ	s_c	0.666
ʰtː	tː	0.633
ˈuː	ˈoː	0.625
ˈœ	ˈɔ	0.62
lː	lː	0.602
ç	cʰ	0.597
ɡ	ɣ	0.596
ˈɔ	ˈo	0.593
tʰ	θ	0.572
e	i	0.552
ˈɑː	ˈɑ	0.548
ˈʊ	ˈo	0.539
ˈøː	ˈøː	0.503
j	j	0.469
ˈʊ	-	0.461
ˈɛ	ˈe	0.442
ˈʏ	ˈy	0.43
tʰ	tʰ	0.428
lː	l_d	0.398
ˈœ	-	0.38
ˈøː	-	0.367
ʰtː	-	0.367
j	ɟ	0.335
ʂ	s_j	0.334
ˈeː	ˈeː	0.323
ə	i	0.313
ˈɔ	-	0.301
ˈeː	ˈe	0.301
nː	n_d	0.281
ˈiː	-	0.273
ˈɑː	ˈɑ_ð	0.258
ç	c	0.248
ˈeː	ˈi	0.247
ˈyː	j_ˈoː	0.246
e	ɑ	0.229
ɡ	ɡ	0.225
ˈʏ	ˈu	0.223
kʰ	x	0.221
ˈɑː	-	0.194
ɡ	-	0.179
ˈʏ	-	0.175
ˈʏ	ˈyː	0.171
ˈɛ	ˈɛ	0.167
ˈɛ	ˈɑ	0.167
ˈuː	-	0.163
ˈuː	ˈɔ	0.157
ç	θ	0.155
d	ð	0.137
ˈɛ	ˈɛː	0.133
ˈɑ	ˈɔ	0.131
ˈøː	ˈɛː	0.13
ˈeː	-	0.13
j	ç	0.127
ɑ	a	0.123
ˈʉː	ˈu	0.119
ˈɪ	-	0.113
ˈɔ	ˈɑː	0.106
ˈɛ	ˈeː	0.092
ʋ	w	0.086
ˈʉ	ˈy	0.082
ˈʉː	ˈyː	0.076
ˈɑ	-	0.075
d	-	0.072
j	ʝː	0.069
e	a	0.069
ɾ	r̥	0.068
n	-	0.068
l	lː	0.066
e	u	0.065
ɾ	r̥ː	0.062
ˈuː	ˈɔː	0.056
