American English	Old English	probability
θ	θ	1.0
ˈʌ_ʧ	ʧː	1.0
ˈɝ	r	1.0
ˈɛə̯	ˈɑ	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɾ	t_e	1.0
ɹ	r	1.0
ɪ	-	1.0
ɡ	ɡ	1.0
ə_n	n	1.0
ə	-	1.0
z	z	1.0
t_i	iːy̯	1.0
t	t	1.0
s	s	1.0
pʰ	p	1.0
oʊ̯	-	1.0
l	l	1.0
j	æːɑ̯	1.0
h	h	1.0
b	b	1.0
d	d	0.982
f	f	0.97
m	m	0.961
w	w	0.88
v	v	0.872
p	p	0.854
k	k	0.831
ʃ	ʃ	0.829
kʰ	k	0.811
ˈaʊ̯	ˈuː	0.752
i	i_j	0.75
ˈoʊ̯	ˈɑː	0.738
ɫ	ɫ	0.726
n	n	0.69
ʔ	t	0.688
ˈʌ	ˈu	0.687
ˈɪ	ˈi	0.681
ˈɔ	ˈo	0.636
ŋ	ŋ_ɡ	0.614
ð	ð	0.578
ˈu	ˈoː	0.509
ˈʊ	ˈu	0.5
ˈʊ	ˈoː	0.5
ˈæ	ˈæ	0.463
ˈeɪ̯	ˈɑ	0.432
ð	d_e	0.422
ɚ	r	0.412
ˈʌɪ̯	ˈiː	0.4
ˈʌɪ̯	ˈi_ç	0.4
ˈɛ	ˈe	0.391
ŋ	ŋ	0.386
ˈaɪ̯	ˈi	0.379
ˈɑ	ˈæɑ̯	0.378
ˈu	w	0.307
ˈaɪ̯	ˈiː	0.302
ˈi	ˈæːɑ̯	0.264
i	iː	0.25
ˈaʊ̯	-	0.248
ˈɑ	ˈo	0.24
ˈæ	-	0.228
ˈi	ˈeː	0.224
ɫ	l	0.208
ˈʌɪ̯	ˈeːo̯_x	0.2
ɚ	o	0.194
ˈaɪ̯	ˈyː	0.193
ʔ	t_ɑ	0.192
kʰ	ʧ	0.189
ˈu	-	0.185
ˈeɪ̯	ˈe_j	0.184
ˈɔ	ˈæɑ̯	0.182
ˈɔ	-	0.182
ˈɪ	ˈy	0.178
ˈoʊ̯	ˈo	0.175
ˈʌ	ˈoː	0.172
ʃ	ʃː	0.171
ɚ	e_r	0.17
ˈi	ˈeːo̯	0.169
ˈi	ˈiːy̯	0.159
ˈæ	ˈɑ	0.154
ˈæ	ˈæɑ̯_ɫ	0.154
n	nː	0.154
ˈɛ	ˈæːɑ̯	0.151
ˈɑ	ˈeo̯	0.15
p	pː	0.146
ˈɛ	-	0.143
ˈʌ	ˈuː	0.142
ɚ	r_e	0.134
ˈeɪ̯	ˈæːɑ̯	0.128
ˈeɪ̯	ˈæ_j	0.128
ˈeɪ̯	ˈæ	0.128
v	bː	0.128
ˈaɪ̯	ˈeːo̯_ɣ	0.126
ʔ	tː	0.12
w	h_w	0.12
ˈɑ	ˈæ	0.116
ˈɑ	-	0.116
n	n_e	0.098
ˈi	ˈæː	0.096
ˈɛ	ˈæː	0.095
k	k_ɑ	0.09
ɚ	r_ɑ	0.089
ˈoʊ̯	ˈæɑ̯	0.087
ˈi	ˈe	0.087
k	kː	0.08
ˈɛ	ˈɛ	0.067
ˈɛ	ˈeːo̯	0.067
ɫ	ɫː	0.066
ˈɛ	ˈeo̯	0.065
