English	Mainland North Frisian	probability
ˈɛ	-	1.0
ˈe_n	n	1.0
ʤ	-	1.0
ʃ	ʃ	1.0
ɹ_ˈiː	ʀ_ˈiː	1.0
ɫ_d	lʲ	1.0
ɪ	i	1.0
ɜː	ʀ_ˈa	1.0
əʊ̯	j	1.0
ə_n	ə_n	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	s	1.0
tʰ	t	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
l	l	1.0
j	j	1.0
h	h	1.0
d_ə	ə_ʀ	1.0
b	b	1.0
ɹ	ʀ	0.92
f	f	0.858
ɡ	ɡ	0.838
w	v	0.825
n	n	0.821
ˈɒ	-	0.745
kʰ	k	0.725
ˈeɪ̯	-	0.721
t	t	0.715
k	k	0.674
ˈaɪ̯	ˈi	0.617
ˈʊ	ˈœ	0.6
ˈaʊ̯	ˈʏ	0.599
θ	t	0.596
ˈəʊ̯	ˈiː	0.591
ˈɜː	ˈœ_ʀ	0.587
ˈuː	ˈɔu̯	0.556
ˈɔː	ˈɔ_ʀ	0.54
ə	ʀ	0.524
v	v_ə	0.507
ɫ	l	0.495
ʧ	-	0.486
n_d	n	0.476
ˈɑː	ˈa_ʀ	0.455
ˈuː	-	0.444
ˈɐ	ˈʊ	0.439
d	d	0.423
ˈɜː	ʀ	0.413
ˈʊ	ˈʊ	0.4
ˈæ	ˈœ	0.392
k	k_ə	0.326
n_d	nʲ	0.314
ə	ə_ʀ	0.312
ˈæ	-	0.304
ˈɪ	-	0.284
ˈɔː	ʀ	0.283
ˈiː	ˈɛi̯	0.281
ˈeɪ̯	ˈɔː	0.279
kʰ	k_ˈɒ	0.275
ˈe	-	0.273
v	v	0.265
d	dʲ	0.263
ʧ	k_ə	0.257
ʧ	k	0.257
ˈəʊ̯	-	0.255
ˈɒ	ˈɔː	0.255
ˈiː	ˈɛ	0.234
θ	z̥	0.232
v	v̥	0.228
d	d̥	0.222
ˈiː	ˈuː	0.213
ˈɑː	ˈɒː	0.212
ˈe	ˈyː	0.212
n_d	n_ə	0.21
ˈiː	ˈiː	0.2
ˈaʊ̯	ˈœː	0.2
ˈaʊ̯	-	0.2
ˈæ	ˈɔː	0.196
ˈɑː	ʀ	0.192
ˈɔː	-	0.177
θ	d	0.172
t	tʲ	0.166
ə	ə	0.163
ɡ	ə	0.162
ˈɪ	ˈa	0.159
ɫ	ə_l	0.158
ˈəʊ̯	ˈœ	0.155
ˈɐ	ˈɔu̯	0.15
ˈɪ	ˈʊ	0.146
ˈɪ	ˈi	0.146
ˈe	ˈiː	0.146
ˈɐ	ˈaː	0.145
ɫ	ˈɒ_l	0.143
f	v̥	0.142
ˈɑː	ˈuː_l	0.141
ˈe	ˈɛː	0.127
ˈɪ	ˈeː	0.126
ˈaɪ̯	ˈiː	0.121
ˈaɪ̯	ˈɒ_x	0.117
ˈæ	ˈeː	0.108
ɫ	ˈeː_l	0.107
ɫ	lʲ	0.097
ˈɐ	ˈʏ	0.095
ˈɪ	ˈiː	0.093
d	-	0.092
ˈɐ	ˈœ	0.086
ˈɐ	ˈa	0.085
ˈe	ˈɔː	0.081
ˈe	ˈɒː	0.081
ˈe	ˈeː	0.081
ɹ	-	0.08
t	t_ə	0.079
ˈaɪ̯	ˈa_x	0.074
ˈiː	ɛi̯	0.071
ˈaɪ̯	ˈuː_x	0.07
n	n_ə	0.07
w	-	0.068
w	v_ˈʊ	0.067
n	nʲ	0.062
