Pennsylvania German	Pennsylvania German	probability
ˈɪ	ˈɪ	1.0
ˈɛ_d	ˈɛ_r	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈuː	ˈuː	1.0
ˈiː_ɡ	ˈi	1.0
ʦ	ʣ̥	1.0
ʋ	β	1.0
ʃ	ʃ	1.0
ɾ_ɪ	ɐ	1.0
ɾ_ə	ɐ	1.0
ɾ	r	1.0
ɪ	ɪ	1.0
ɣ	-	1.0
ɡ	ɡ̊	1.0
ɑ_d̥	ɐ_d̥	1.0
ɑ	ɐ	1.0
ŋ	ŋ	1.0
ç	ʃ	1.0
x	x	1.0
t	d̥	1.0
s	s	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
d̥	d̥	1.0
d_ə	r_ə	1.0
b̥	b̥	1.0
b	b̥	1.0
ˈa	ˈɑ	0.939
ˈiː	ˈiː	0.929
ˈaɪ̯	ˈaɪ̯	0.917
ˈaʊ̯	ˈau̯	0.909
ˈʊ	ˈu	0.895
d	d̥	0.895
ˈoː	ˈoː	0.867
ə	ə	0.826
ˈɔː	ˈɑː	0.818
p	b̥	0.75
ɡ̊	ɡ̊	0.571
ˈɛː	ˈɛ	0.545
k	ɡ̊	0.5
k	kʰ	0.5
ɡ̊	ʃ	0.429
ˈeː	ˈɛː	0.4
ˈaː	ˈɔ_ɐ	0.375
ˈaː	-	0.375
ˈeː	ˈeː	0.36
ˈɛː	ˈɛː	0.273
ˈaː	ɐ	0.25
p	pʰ	0.25
ˈɛː	-	0.182
ə	-	0.13
ˈʊ	ˈɔ	0.105
d	r	0.105
ˈɔː	ˈoː	0.091
ˈɔː	-	0.091
ˈaʊ̯	ˈau̯̯	0.091
ˈaɪ̯	ˈɑ̃ɪ̯	0.083
ˈeː	ˈɛ̃ː	0.08
ˈeː	ˈiː	0.08
ˈeː	ˈẽː	0.08
ˈiː	ˈĩː	0.071
ˈoː	ˈõː	0.067
ˈoː	ˈo	0.067
ˈa	-	0.061
