Romagnol	Romagnol	probability
ˈɛ̃	ˈe	1.0
ˈõũ̯	ˈu_ŋ	1.0
ˈi_#>	ˈi_#>	1.0
ˈeə̯_t	w_t	1.0
ˈeə̯_#>	ˈa_#>	1.0
ˈeə̯	ˈa	1.0
ˈe	ˈe	1.0
ˈaː	l_ˈa	1.0
ɲ	ɲ	1.0
ɡ_#>	k_#>	1.0
ɐ_r	e	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
v_ˈa	w_ˈa	1.0
v_ɐ	w	1.0
v_r	β	1.0
t_m	mː	1.0
s_ˈʌ̃	s_ˈa	1.0
s_#>	ʃ_#>	1.0
r_ˈɛ	ɾ_ˈe	1.0
r_ɐ_#>	r_#>	1.0
p_#>	s_#>	1.0
p	p	1.0
n_ɐ	ɔ	1.0
n_t_#>	n_#>	1.0
m_ɐ	m_i	1.0
l_ɐ	l_ɔ	1.0
k	k	1.0
j̃	ŋ	1.0
j_ˈɔə̯	ˈi_ʎ	1.0
f	h	1.0
e	r	1.0
d_#>	t_#>	1.0
b_ɐ	β_ɔ	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɐ	<#_a	1.0
<#_u	<#_a_w	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
m	m	0.929
b	b	0.889
θ	s	0.857
<#_l	<#_l	0.857
t	t	0.812
ˈɛə̯	ˈɛ	0.789
u	u	0.769
ʧ	ʎ	0.75
ˈou̯	ˈu	0.706
s	s	0.688
ˈʌ̃	ˈa	0.667
ˈa	ˈa	0.667
n	n	0.64
ɐ	ɔ	0.632
ˈẽ	ˈi	0.625
ɡ	ɣ	0.625
v	b	0.621
ˈi	ˈi	0.619
ˈɛ	ˈe	0.6
ð	ʒ	0.6
r_#>	#>	0.6
n_#>	#>	0.6
a	a	0.6
ˈeː	ˈe	0.583
ˈu	ˈy	0.545
r	ɾ	0.524
d	d	0.519
ʤ	ʒ	0.5
ʤ	ɡ_l	0.5
v_#>	w_#>	0.5
v_#>	#>	0.5
ˈɔə̯	ˈɔ	0.467
z	ʦ	0.467
l	l	0.455
j	l	0.444
r	r	0.429
ˈo	ˈy	0.417
ˈeː	ˈɛ	0.417
ˈɔə̯	ˈa_w	0.4
r_#>	e_#>	0.4
n_#>	ŋ_#>	0.4
a	-	0.4
ˈɔ	w_ˈe	0.385
l_#>	w_#>	0.381
l_#>	t_#>	0.381
ˈẽ	ˈe	0.375
ɡ	k	0.375
i	i	0.364
i	e	0.364
ˈʌ̃	ˈa_ŋ	0.333
ˈo	ˈu	0.333
ˈa	ˈɛ_j	0.333
d	ð	0.333
ˈɔ	ˈɔ	0.308
ˈɔ	ˈu	0.308
#>	s_#>	0.292
ˈi	ˈe	0.286
ˈu	-	0.273
i	s	0.273
ʧ	k_l	0.25
#>	ɔ_#>	0.25
#>	e_#>	0.25
v	β	0.241
n	-	0.24
l_#>	#>	0.238
u	-	0.231
j	-	0.222
s	e_s	0.219
ɐ	a	0.206
ð	j	0.2
ð	-	0.2
z	z	0.2
z	s	0.2
ˈu	ˈɔ	0.182
l	ɾ	0.182
l	w	0.182
l	t	0.182
ˈou̯	ˈy	0.176
ˈɛ	ˈɛ	0.16
ˈɛ	ˈi	0.16
θ	ʦ	0.143
<#_l	<#	0.143
v	-	0.138
ˈɔə̯	ˈa	0.133
z	-	0.133
t	j_t	0.125
#>	t_#>	0.125
n	ŋ	0.12
ˈou̯	-	0.118
j	ʎ	0.111
j	z_ˈa	0.111
j	j	0.111
b	-	0.111
ˈɛə̯	ˈe	0.105
ˈɛə̯	j_ˈe	0.105
ˈi	ˈɛ	0.095
s	ʃ	0.094
ɐ	-	0.088
ˈo	ˈɔ	0.083
ˈo	ˈe	0.083
ˈo	w_ˈe	0.083
#>	w_#>	0.083
ˈɛ	-	0.08
ɐ	e	0.074
d	j	0.074
d	-	0.074
m	-	0.071
t	w_t	0.062
