Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	ˈou̯	1.0
ˈiː_#>	j_ˈɛː_r̥_#>	1.0
ˈeː	-	1.0
ˈaɪ̯	-	1.0
ʃ_#>	s_k_ʏ_r̥_#>	1.0
ɾ	ð	1.0
ɣ̊	-	1.0
ɣ	-	1.0
ɡ̊	ɡ̊	1.0
ŋ_k	ʰk	1.0
æ_d̥	r_ð	1.0
x_t	ʰt	1.0
w	v	1.0
v̥	v_ʏ	1.0
tʰ	tʰ	1.0
t_#>	#>	1.0
s	s	1.0
r	r	1.0
pʰ	pʰ	1.0
p	p	1.0
n_#>	#>	1.0
kʰ_n	n̥	1.0
j	ɟ̊	1.0
f	f	1.0
b_m	v_a	1.0
b	b̥	1.0
ae̯	aːu̯	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_kʰ	1.0
m	m	0.92
z	s	0.818
h	h	0.818
t	t	0.806
ˈiː	ˈiː	0.786
z̥_#>	s_#>	0.714
v	v	0.714
<#_r	<#_r	0.714
ɪ	ɡ̊_ʏ	0.667
kʰ	kʰ	0.667
<#_v	<#_v	0.647
ˈʊ	ˈʏ	0.636
ˈɔ	-	0.625
ŋ	ŋ	0.615
ˈyː	-	0.6
x	-	0.6
ˈuː	ˈuː	0.579
l	l	0.579
ˈɔʏ̯	ˈaːi̯	0.571
ˈɒː	-	0.571
ʃ	s	0.571
k	k	0.571
ˈɛː	ˈɛː	0.556
d̥	ð	0.542
d	θ	0.484
ˈʏ	ˈɪ	0.444
ˈɛː	-	0.444
ç	r̥	0.438
ˈɔʏ̯	-	0.429
ˈaː	ˈaː	0.429
#>	ʏ_r̥_#>	0.426
d	d̥	0.419
ˈyː	ˈiː	0.4
x	ʰt	0.4
ˈaʊ̯	ˈoːu̯	0.391
ˈɛ	ˈɛ	0.385
ˈɛ	-	0.385
ˈɔ	ˈʏː	0.375
ɡ	ɡ̊	0.375
ɡ	ɟ̊	0.375
ç	-	0.375
ˈʊ	ˈu	0.364
<#_v	<#	0.353
ˈaʊ̯	-	0.348
ˈʏ	-	0.333
ˈɪ	ˈɪ	0.333
ˈoː	ˈɑːu̯	0.333
ˈoː	ˈœːy̯	0.333
ˈoː	r	0.333
ɪ	ɑu̯	0.333
kʰ	cʰ	0.333
n	a	0.328
#>	r̥_#>	0.327
ˈa	ˈa	0.32
ˈaː	ˈa_r	0.286
ˈaː	ˈa	0.286
ʃ	s_c	0.286
z̥_#>	#>	0.286
v	-	0.286
<#_r	<#_r̥	0.286
n	n	0.269
ˈaʊ̯	ˈœːy̯	0.261
ˈɪ	-	0.25
ɡ	-	0.25
ˈa	ˈaː	0.24
l	t͡l̥	0.237
ˈɛ	j	0.231
ŋ	a	0.231
æ	ɪ	0.229
æ	r̥	0.229
ˈʏ	ˈʏ	0.222
ˈae̯	ˈɛːi̯	0.217
ˈɒː	ˈɔː	0.214
ˈɒː	ˈɑːu̯	0.214
ˈiː	j	0.214
k	c	0.214
ˈuː	ˈɔ	0.211
d̥	d̥_ʏ	0.208
ˈa	ˈɑu̯	0.2
ç	ɣ	0.188
#>	a_#>	0.188
l	l̥	0.184
z	s_j	0.182
h	ç	0.182
ˈae̯	j	0.174
æ	r	0.171
ˈɪ	ˈɛ	0.167
ˈɪ	ˈi	0.167
d̥	d̥	0.167
ˈa	-	0.16
ŋ	ˈuː_a	0.154
ʃ	s_k	0.143
k	ʰk	0.143
ˈae̯	ˈɛi̯	0.13
ˈae̯	j_ˈoːu̯	0.13
n	nː	0.119
æ	ʏ	0.114
t	ʰt	0.111
ˈuː	ˈʏ	0.105
ˈuː	-	0.105
n	t͡n̥	0.104
d	-	0.097
ˈae̯	ˈɪː	0.087
ˈae̯	ˈiː	0.087
ˈae̯	j_ˈuː	0.087
ˈae̯	-	0.087
æ	r_ɪ	0.086
ˈɪ	ˈɪː	0.083
t	ð	0.083
d̥	-	0.083
ˈa	ˈœ	0.08
m	v	0.08
k	ʰc	0.071
n	-	0.06
æ	ɡ̊_ʏ	0.057
æ	r_a	0.057
æ	a_r̥	0.057
