French	Aragonese	probability
p	p	1.0
a	-	0.1
a	a	0.551
b	b	0.71
n	n	0.551
o	ˈa	0.351
u	ˈo	0.761
w	-	0.091
w	ˈe	0.331
ə	a	0.051
ɥ	ˈu	0.701
ʒ	ʧ	0.851
b	β	0.182
e	a	0.112
i	j	0.052
j	ʎ_a	0.292
ɑ̃	n	0.242
ɔ̃	ˈo_n	0.592
ʒ	ʝ	0.062
d	-	0.153
j	ʎ_o	0.063
j	j_ˈe	0.083
l	l_o	0.113
s	-	0.093
s	s	0.523
u	o	0.123
w	ʝ_ˈe	0.063
z	θ	0.813
ø	o	0.393
ə	e	0.893
ɛ	j_ˈe	0.053
ɛ̃	ˈi_n	0.273
ʁ	ɾ_a	0.053
ʁ	-	0.093
ʁ	ɾ	0.623
e	-	0.054
l	ʎ	0.084
n	n_a	0.404
o	ˈe	0.434
s	θ	0.334
t	t	0.854
v	β	0.314
ɑ̃	ˈe_n	0.184
ɔ	o	0.14
ɛ	ˈa	0.414
ɛ̃	n_t	0.14
ʁ	ɾ_o	0.094
ʃ	k	0.764
d	d_j	0.15
e	o	0.055
e	ˈe	0.055
f	f	0.905
i	ˈe_j	0.095
l	l_a	0.065
o	ˈo	0.215
y	ˈe	0.075
y	ˈu	0.925
œ	w	0.075
ɑ̃	ˈa_n	0.215
ɔ	ˈe	0.085
ɡ	ɣ	0.345
ɡ	ɡ	0.655
ʁ	r	0.105
k	k_w	0.096
u	ʎ_o	0.116
v	b	0.666
ɔ	w_ˈe	0.686
ə	ˈe	0.056
ɛ	ˈe	0.476
ɛ̃	o	0.06
ɛ̃	ˈa	0.066
d	d	0.697
e	ˈa	0.227
f	f_j	0.057
j	-	0.177
k	k	0.857
l	l	0.717
w	ˈi	0.067
z	s_a	0.187
œ	w_ˈe	0.287
ɛ̃	n	0.117
ɛ̃	ˈa_n	0.197
ʃ	k_a	0.197
b	b_w	0.108
e	e_s	0.118
j	j	0.368
m	m_a	0.268
m	m	0.718
ø	ˈo	0.268
ɔ̃	o	0.408
ɛ̃	n_o	0.058
ʒ	ʧ_e	0.078
a	ˈa	0.199
e	ˈa_ɾ	0.379
i	ˈe	0.269
i	ˈi	0.489
w	e	0.099
w	ˈu	0.349
ø	ɣ_o	0.339
œ	ˈo	0.639
ɑ̃	ˈa	0.359
ɔ	ˈo	0.089
ɛ̃	ŋ	0.09
ɥ	w	0.299
