Yiddish	North Frisian	probability
b	b	0.712
b	v	0.226
d	d	0.584
d	t	0.262
d	tʲ	0.071
d	-	0.053
f	f	0.655
f	p	0.217
h	h	1.0
j	j	0.804
j	ˈiː	0.196
k	k	0.542
k	ŋ	0.156
k	-	0.119
k	s	0.09
k	ʃ	0.09
l	l	0.896
l	lʲ	0.09
m	m	0.936
m	-	0.064
n	n	0.557
n	ə	0.201
n	-	0.149
n	nʲ	0.092
p	p	0.514
p	-	0.433
p	d	0.053
s	s	0.321
s	tʲ	0.272
s	t	0.218
s	z	0.147
t	d	0.463
t	t	0.371
t	dʲ	0.11
t	-	0.055
v	v	0.96
z	s	0.875
z	z	0.074
z	ʃ	0.051
ŋ	ŋ	0.957
ə	ə	0.817
ə	-	0.163
ɛ	ə	1.0
ɡ	ɡ	0.362
ɡ	-	0.257
ɡ	j	0.178
ɡ	ŋ	0.069
ɡ	w	0.055
ɡ	d	0.054
ɪ	i	1.0
ʀ	r	0.918
ʀ	-	0.069
ʁ	-	1.0
ʃ	ʃ	0.513
ʃ	s	0.487
ʎ	j	1.0
ʦ	t	1.0
ʧ	ʃ	1.0
ˈa	ˈʊ	0.19
ˈa	ˈœ	0.177
ˈa	ˈɒ	0.135
ˈa	ˈuː	0.126
ˈa	ˈɔː	0.08
ˈa	ˈa	0.07
ˈa	ˈɒː	0.062
ˈa	ˈɛ	0.057
ˈaɪ̯	ˈi	0.443
ˈaɪ̯	ˈiː	0.148
ˈaɪ̯	w	0.119
ˈaɪ̯	ˈyː	0.068
ˈaɪ̯	ˈai̯	0.064
ˈaɪ̯	ˈʏ	0.061
ˈaɪ̯	ˈa	0.051
ˈi	ˈɔu̯	1.0
ˈɔ	ˈœ	0.147
ˈɔ	ˈɔ	0.143
ˈɔ	ˈɔː	0.129
ˈɔ	ˈɛi̯	0.127
ˈɔ	ˈeː	0.105
ˈɔ	ˈɛː	0.059
ˈɔ	-	0.055
ˈɔ	ˈɒː	0.054
ˈɔ	ˈuː	0.051
ˈɔɪ̯	ˈuː	0.443
ˈɔɪ̯	ˈyː	0.333
ˈɔɪ̯	ˈiː	0.125
ˈɛ	ˈiː	0.211
ˈɛ	ˈeː	0.13
ˈɛ	ˈɔː	0.109
ˈɛ	ˈa	0.1
ˈɛ	ˈi	0.096
ˈɛ	ˈɛː	0.087
ˈɛ	j_ˈa	0.079
ˈɛɪ̯	ˈiː	0.715
ˈɛɪ̯	ˈɒ	0.131
ˈɛɪ̯	ˈɒː	0.054
ˈɪ	ˈʊ	0.137
ˈɪ	ˈa	0.134
ˈɪ	ˈi	0.126
ˈɪ	ˈɛ	0.101
ˈɪ	ˈai̯	0.097
ˈɪ	ˈeː	0.082
ˈɪ	ˈɛi̯	0.079
ˈɪ	ˈœ	0.066
ˈɪ	ˈiː	0.062
ˈɪ	j	0.053
ˈʊ	ˈʊ	0.478
ˈʊ	ˈœ	0.177
ˈʊ	ˈyː	0.145
ˈʊ	ˈɔ	0.056
χ	x	0.488
χ	k	0.461
χ	-	0.051
