Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	˦	1.0
⁵³	˧˥	1.0
⁵	-	1.0
⁴	-	1.0
ʨʰ	-	1.0
ʦ_w	ʑ	1.0
ɤ	u_ɑ	1.0
ɡ	ŋˠ	1.0
ɛ	-	1.0
ɔ̃	u	1.0
¹¹	˥˩	1.0
³²_#>	#>	1.0
²³	˦	1.0
t_a	ʤ	1.0
m	m	1.0
k̚_⁴	u_k̚	1.0
k̚	k̚	1.0
j̃	a_i	1.0
ĩ	e_n	1.0
a_w	ə_u	1.0
a_j	ʌ_i	1.0
<#_ɡ	<#_ŋ	1.0
<#_kʰ	<#	1.0
<#_h	<#	1.0
#>	˦_#>	1.0
²⁴	˦	0.944
⁴⁴	˦	0.938
n	n	0.857
t̚	t̚	0.833
kʰ	kʰ	0.778
s	s	0.75
ã	n	0.714
ŋ	ŋ	0.688
ʨ	-	0.667
tʰ	tʰ	0.667
pʰ	pʰˠ	0.667
j_ɪ	ɨ	0.667
ʔ	k̚	0.636
³³	˥˩	0.611
ʦʰ	ʦʰ	0.571
b	m	0.571
w	u	0.55
p	p	0.5
k	k	0.5
i	i_ɪ	0.462
ŋ̍	n	0.455
<#	<#_ʔ	0.444
h	ɦ	0.438
ʦʰ	ʨʰ	0.429
j	i	0.429
b	mˠ	0.429
ʦ	ʦ	0.4
ʦ	ʣ_i	0.4
e	i	0.4
o	ɑ	0.375
o	e_u	0.375
l	ȵ	0.375
l	l	0.375
ʔ	t̚	0.364
ʨ	ʥ	0.333
ɕ	ɕ	0.333
ɕ	s	0.333
u	ɨ_u	0.333
tʰ	d	0.333
pʰ	pʰ	0.333
p	b	0.333
j_ɪ	ə	0.333
e	a	0.333
<#	<#_ɦ	0.333
h	h	0.312
i	ɨ	0.308
a	ɑ	0.308
ɔ	u_o	0.286
ɔ	u	0.286
j	e	0.286
ã	ŋ	0.286
³³	˧˥	0.278
ŋ̍	ʉ_ɐ_n	0.273
ŋ̍	ɑ_ŋ	0.273
t	ʈ	0.273
t	d	0.273
s	ʃˠ	0.25
o	ʌ	0.25
k	ɡ	0.25
kʰ	kʰˠ	0.222
<#	<#_ɕ	0.222
ʦ	ɕˠ	0.2
w	-	0.2
a	ɨ	0.192
u	i_u	0.19
j	ɨ	0.19
ŋ	ɐ_ŋ	0.188
l	n	0.188
h	p_ɨ	0.188
t	ɖˠ	0.182
t	t	0.182
ɕ	ʃ	0.167
ɕ	sˠ	0.167
t̚	p̚	0.167
p	pˠ	0.167
i	i_e	0.154
a	e	0.154
w	ɑ	0.15
ɔ	ʉ	0.143
ɔ	w	0.143
ɔ	o	0.143
u	ɨ_ʌ	0.143
u	ɨ	0.143
n	-	0.143
e	æ	0.133
e	-	0.133
ŋ	u_ŋ	0.125
k	ɡˠ	0.125
k	kˠ	0.125
a	ʌ	0.115
a	u	0.115
a	i	0.115
³³	-	0.111
w	w	0.1
u	ʌ	0.095
u	u	0.095
j	ɪ	0.095
t	ʈˠ	0.091
i	i	0.077
⁴⁴	-	0.062
l	ɳ	0.062
h	hˠ	0.062
²⁴	ŋ_˦	0.056
