Friulian	Friulian	probability
ˈɛ_r	r_e	1.0
ˈɔː	ˈɔː	1.0
ˈoː	ˈʌu̯	1.0
ˈiː_l	l	1.0
ˈaː_t_#>	ˈɛ_#>	1.0
ˈa_s	ˈaː_s	1.0
ˈa_l	ˈɛ	1.0
ʧ_#>	ð_#>	1.0
ʤ	ð	1.0
ɟ	-	1.0
ŋ_#>	#>	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈa	ˈɔː	1.0
v	v	1.0
t_e	t_a	1.0
t	t	1.0
s_#>	#>	1.0
r_ˈa	r_ˈa	1.0
r_e	r_a	1.0
p_#>	p_#>	1.0
p	p	1.0
l_ˈa	j_ˈa	1.0
l_i	ʧ	1.0
k_l	ʧ	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_#>	#>	1.0
f_#>	v_#>	1.0
c	k	1.0
b	b	1.0
<#_ˈa	<#_ˈaː	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
m	m	0.938
l	l	0.92
ŋ	ŋ	0.917
f	f	0.905
d	d	0.885
ʧ	θ	0.882
e	a	0.849
s	s	0.841
ˈu	ˈo	0.833
a	a	0.789
ɡ	ɡ	0.75
t_#>	d_#>	0.75
ɲ	ɲ	0.7
r	r	0.694
ˈɔ	ˈɔ	0.667
ˈuː	ˈuː	0.667
ˈeː	ˈa_j	0.667
ˈiː	ˈiː_r	0.625
ˈaː	ˈɛ_r	0.609
z	z	0.6
u	u	0.6
o	u	0.6
#>	n_#>	0.6
ˈi	ˈe	0.538
n	n	0.488
w	ˈɔː	0.444
n	ŋ	0.442
j	-	0.412
z	-	0.4
u	-	0.4
o	-	0.4
#>	r_#>	0.4
ˈaː	ˈɛ	0.391
ˈo	ˈʌ	0.375
ˈiː	ˈiː	0.375
ˈa	ˈaː	0.361
j	j	0.353
ˈɔ	-	0.333
ˈuː	ˈɔː	0.333
ˈeː	ˈiː	0.333
ˈe	ˈa	0.333
ˈe	-	0.333
ˈa	ˈa	0.333
w	w	0.333
ɲ	n	0.3
ˈɛ	ˈɛː	0.25
ˈɛ	ˈɛ	0.25
ˈɛ	ˈæ	0.25
ˈɛ	-	0.25
ˈo	-	0.25
ˈa	ˈɛ	0.25
t_#>	#>	0.25
i	r	0.25
i	e_r	0.25
ˈe	ˈa_j	0.222
w	-	0.222
i	i	0.219
a	-	0.211
i	-	0.188
r	e	0.184
ˈu	ˈuː	0.167
ˈo	ˈʌu̯	0.167
s	z	0.159
ˈi	-	0.154
e	-	0.151
ˈo	ˈo	0.125
ɡ	ʤ	0.125
ɡ	-	0.125
ʧ	z	0.118
j	ˈɛː	0.118
j	ˈɛ	0.118
ˈi	ˈæ	0.115
ˈi	ˈiː	0.115
d	-	0.115
ˈe	ˈiː	0.111
f	f_j	0.095
i	e	0.094
ˈo	ˈɔː_v	0.083
ŋ	n	0.083
l	j	0.08
ˈi	ˈɔː_l	0.077
n	ŋ_n	0.07
m	ŋ	0.062
ˈa	ˈɛ_d	0.056
