Czech	Upper Sorbian	probability
ˈɛ_l	ˈɛ_l	1.0
ˈɛ_d	d	1.0
ˈu	ˈu	1.0
ˈou̯	ˈu	1.0
ˈiː_s	ˈe_s	1.0
ˈaː	ˈa	1.0
ˈa_v	ˈɔ_β	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɪ	i	1.0
ɟ	ʤ	1.0
z	z	1.0
x_iː	xʲ_i	1.0
x_#>	x_#>	1.0
v_j_ɛ	ɥ_ˈɛ	1.0
v_j	ɥ	1.0
v	β	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r̝̊	ʃ	1.0
r̝	ʀʲ	1.0
r_ˈaː	ʀ_ˈa	1.0
r	ʀ	1.0
p_#>	p_#>	1.0
p	p	1.0
o_#>	ɔ_#>	1.0
n_#>	ɲ_#>	1.0
n	n	1.0
m̩_#>	ˈɔ_m_#>	1.0
m	mʲ	1.0
l_ˈa	w_ˈo	1.0
k_iː	kʲ_i	1.0
k_#>	k_#>	1.0
k	k	1.0
iː_#>	ɪ_#>	1.0
d	d	1.0
c	ʧ	1.0
a_#>	a_#>	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ɦ	<#_ɦ	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_c	<#_ʧ	1.0
<#	<#_β	1.0
ɦ	ɦ	0.714
l	w	0.7
ˈo	ˈɔ	0.684
t_#>	ʧ_#>	0.684
<#_p	<#_p	0.667
<#_m	<#_m	0.667
<#_d	<#_d	0.667
ˈɛː	ˈɛ	0.6
ɛ_#>	ɔ_#>	0.6
ɛ	ɛ	0.6
b	b	0.6
<#_t	<#_t	0.6
ˈɪ	ˈi	0.571
ˈuː	ˈɔ	0.5
ˈuː	ˈo	0.5
ˈr̩	ˈɔ_ʀ	0.5
ˈr̩	ˈe_ʀ	0.5
ˈiː	ˈi	0.5
ˈiː	ˈe	0.5
l_#>	w_#>	0.5
l_#>	l_#>	0.5
<#_v	<#_β	0.5
<#_v	<#_ɥ	0.5
ˈɛ	ˈe	0.455
ˈɪ	ˈɪ	0.429
ˈɛː	ˈe	0.4
ɛ_#>	a_#>	0.4
b	bʲ	0.4
<#_t	<#_ʧ	0.4
<#_p	<#_pʲ	0.333
<#_m	<#_mʲ	0.333
<#_d	<#_ʤ	0.333
t_#>	t_#>	0.316
l	l	0.3
ɦ	x	0.286
ˈɛ	ˈɔ	0.227
ˈo	ˈo	0.211
ɛ	ˈɛ	0.2
ɛ	-	0.2
ˈɛ	ˈɛ	0.182
ˈɛ	e	0.136
ˈo	ɔ	0.105
