Aromanian	Romansch	probability
e̯a	-	1.0
f	f	1.0
z	ʒ	1.0
ç	f	1.0
ŋ	ŋ	1.0
ʤ	ʥ	1.0
ʧ	-	1.0
ˈə	ˈiː	1.0
b	b	0.531
d	d	0.631
e̯ˈa	ˈe	0.231
j	v	0.771
k	-	0.211
s	ʃ	0.241
t	-	0.21
ə	-	0.1
ɲ	ɲ	0.281
ʎ	ʎ	0.211
ʦ	ʧ	0.221
ˈu	ˈi	0.101
ˈu	ˈu	0.641
b	ɡ	0.12
k	ʨ	0.442
m	m	0.912
r	r	0.542
ʃ	-	0.212
ˈe	ˈe	0.082
ˈi	ˈi	0.282
ˈɨ	ˈɔ	0.132
i	ə	0.653
t	d	0.193
w	-	0.133
ʣ	ʃ	0.123
ˈa	ˈa	0.393
ˈe	-	0.103
ˈe	ˈɛ	0.63
ˈi	ˈa_j	0.093
ˈɨ	ˈa	0.443
a	ˈaː	0.064
d	-	0.34
e̯ˈa	ˈa_j	0.584
n	-	0.194
o̯ˈa	ˈɔ	0.274
r	-	0.114
r	l	0.344
u	-	0.244
ˈa	ˈaː	0.414
ˈo	ˈuː	0.134
v	v	0.965
ɡ	ɡ	0.445
ɡ	-	0.555
ʣ	d	0.75
ˈe	ˈa	0.185
ˈi	-	0.15
ˈo	ˈɔː	0.35
ˈɨ	ˈa_w	0.425
a	ə	0.936
e̯ˈa	ˈɛ	0.076
i	-	0.336
l	l	0.946
o̯ˈa	ˈu	0.726
t	t	0.566
u	u	0.756
ˈo	ˈɔ	0.516
ˈu	ˈuː	0.16
p	w	0.247
w	f	0.867
ʣ	-	0.127
ʦ	ʨ	0.117
ˈa	ˈɛː	0.057
ˈi	ˈiː	0.247
e̯ˈa	ˈeː	0.108
n	n	0.758
p	-	0.128
p	p	0.548
ʃ	s	0.788
ʦ	-	0.628
ˈi	ˈɛ	0.228
b	-	0.119
b	v	0.229
j	-	0.229
k	p	0.079
k	k	0.239
m	-	0.079
s	s	0.759
ə	ə	0.9
ɲ	m	0.719
ʎ	l	0.789
ˈu	ˈiː	0.099
