Northern Low Saxon	East Low German	probability
b	b	0.702
b	p	0.296
d	t	0.474
d	d	0.424
d	ɾ	0.074
d	-	0.031
f	f	1.0
h	h	1.0
i	ɪ	0.49
j	j	0.24
k	k	1.0
kʰ	kʰ	1.0
l	l	0.949
l	ɾ	0.043
l	-	0.028
m	m	0.969
m	n	0.036
n	n	0.968
p	p	1.0
r	r	1.0
s	s	0.769
s	ʃ	0.164
s	z	0.053
t	t	1.0
tʰ	tʰ	1.0
v	v	0.869
v	w	0.128
x	x	1.0
z	z	1.0
ç	ç	1.0
ŋ	ŋ	1.0
ɐ	æ	1.0
ə	æ	0.24
ɡ	k	0.463
ɡ	ɡ	0.371
ɡ	j	0.087
ɡ	ç	0.06
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ʒ	j	1.0
ˈa	ˈa	0.899
ˈa	ˈaː	0.097
ˈaɪ̯	ˈae̯	0.762
ˈaɪ̯	ˈiː	0.168
ˈaɪ̯	ˈaɪ̯	0.066
ˈaʊ̯	ˈaʊ̯	0.726
ˈaʊ̯	ˈuː	0.196
ˈaʊ̯	ˈʊ	0.043
ˈaʊ̯	ˈɔ	0.038
ˈaː	ˈaː	0.778
ˈaː	ˈa	0.126
ˈaː	ˈiː	0.057
ˈeɪ̯	ˈae̯	0.517
ˈeɪ̯	ˈeː	0.208
ˈeɪ̯	ˈɛ	0.117
ˈeː	ˈɛː	0.496
ˈeː	ˈɛ	0.242
ˈeː	ˈae̯	0.139
ˈeː	ˈeː	0.101
ˈiː	ˈiː	1.0
ˈoː	ˈɒː	0.798
ˈoː	ˈoː	0.165
ˈoː	ˈa	0.042
ˈuː	ˈuː	0.833
ˈuː	ˈaʊ̯	0.103
ˈuː	ˈʊ	0.061
ˈyː	ˈyː	1.0
ˈø	ˈɛ	0.281
ˈø	ˈœ	0.281
ˈøː	ˈœː	0.796
ˈøː	ˈɛː	0.157
ˈœ	ˈœ	1.0
ˈœː	ˈɛ	0.574
ˈœː	ˈœː	0.281
ˈɔ	ˈɔ	0.86
ˈɔ	ˈuː	0.118
ˈɔʏ̯	ˈɔʏ̯	0.741
ˈɔʏ̯	ˈøː	0.141
ˈɔʏ̯	ˈyː	0.062
ˈɔː	ˈoː	0.24
ˈɛ	ˈɛ	0.907
ˈɛ	ˈɛː	0.077
ˈɛɪ̯	ˈɛɪ̯	0.221
ˈɛɪ̯	ˈae̯	0.221
ˈɛɪ̯	ˈiː	0.124
ˈɪ	ˈɪ	0.958
ˈɪ	ˈae̯	0.046
ˈʊ	ˈʊ	0.881
ˈʊ	ˈuː	0.077
ˈʊ	ˈɔ	0.046
ˈʏ	ˈʏ	0.816
ˈʏ	ˈɔ	0.181
