Northern Low Saxon	East Low German	probability
aɪ̯	ae̯	1.0
b	b	0.728
b	p	0.266
d	d	0.475
d	t	0.474
f	f	0.956
h	h	1.0
i	ɪ	1.0
j	j	1.0
k	k	1.0
kʰ	kʰ	0.991
l	l	0.979
m	m	0.941
m	-	0.059
n	n	0.982
p	p	1.0
pʰ	pʰ	1.0
r	r	1.0
s	s	0.83
s	ʃ	0.097
s	z	0.073
t	t	1.0
tʰ	tʰ	1.0
v	v	0.828
v	w	0.172
x	x	1.0
z	z	1.0
ç	ç	1.0
ŋ	ŋ	1.0
ɐ	æ	1.0
ə	-	0.69
ə	ɾ	0.31
ɡ	k	0.554
ɡ	ɡ	0.259
ɡ	j	0.123
ɡ	ç	0.065
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ʒ	j	0.926
ʒ	-	0.074
ˈa	ˈa	0.938
ˈa	ˈaː	0.062
ˈaɪ̯	ˈae̯	0.832
ˈaɪ̯	ˈiː	0.104
ˈaɪ̯	ˈaɪ̯	0.064
ˈaʊ̯	ˈaʊ̯	0.72
ˈaʊ̯	ˈuː	0.149
ˈaʊ̯	ˈeː	0.066
ˈaː	ˈaː	0.639
ˈaː	ˈa	0.267
ˈaː	ˈiː	0.094
ˈeɪ̯	ˈɛ	0.604
ˈeɪ̯	ˈae̯	0.226
ˈeɪ̯	ˈeː	0.17
ˈeː	ˈɛː	0.565
ˈeː	ˈɛ	0.283
ˈeː	ˈae̯	0.076
ˈeː	ˈeː	0.076
ˈiː	ˈiː	0.926
ˈiː	ˈɪ	0.074
ˈoː	ˈɒː	0.803
ˈoː	ˈoː	0.176
ˈuː	ˈuː	0.913
ˈuː	ˈaʊ̯	0.06
ˈyː	ˈyː	1.0
ˈø	ˈɛ	0.847
ˈø	ˈœ	0.153
ˈøː	ˈœː	0.919
ˈøː	ˈɛː	0.081
ˈœ	ˈœ	0.774
ˈœ	ˈʏ	0.141
ˈœ	ˈɛ	0.086
ˈœː	ˈœː	0.817
ˈœː	ˈɛ	0.183
ˈɔ	ˈɔ	0.854
ˈɔ	ˈuː	0.06
ˈɔ	ˈœ	0.056
ˈɔʏ̯	ˈɔʏ̯	0.72
ˈɔʏ̯	ˈøː	0.204
ˈɔʏ̯	ˈyː	0.076
ˈɔː	ˈoː	1.0
ˈɛ	ˈɛ	0.941
ˈɛ	ˈɛː	0.059
ˈɛɪ̯	ˈae̯	0.42
ˈɛɪ̯	ˈiː	0.383
ˈɛɪ̯	ˈɛɪ̯	0.198
ˈɛː	ˈɛː	1.0
ˈɪ	ˈɪ	0.98
ˈʊ	ˈʊ	0.848
ˈʊ	ˈɔ	0.115
ˈʏ	ˈʏ	0.771
ˈʏ	ˈɔ	0.19
