Hessian	Middle English	probability
ˈɛ̃ː	ˈɔː	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈɑː_ɣ̊	ˈæi̯	1.0
ˈuː	ˈoː	1.0
ˈõː	ˈu	1.0
ˈoĩ̯	ˈiː	1.0
ˈĩː	ˈeː	1.0
ˈiː_j	ˈiː_ə	1.0
ˈi_v	v	1.0
ˈẽː	-	1.0
ˈãː	ˈɔː_n	1.0
ʦ	t	1.0
ʤ̥	k	1.0
ʒ̊	-	1.0
ʃ_v	s_w	1.0
ʃ_d̥	s_t	1.0
ʀ	r	1.0
ɛː	eː	1.0
ɑ	-	1.0
ɐ_n	r_n	1.0
z̥	t	1.0
v̥	p	1.0
t_ʀ	d_r	1.0
pʰ	p	1.0
p	b	1.0
oː	ˈɛː	1.0
j	j	1.0
i	iː	1.0
h	h	1.0
b̥	b	1.0
m	m	0.904
ˈo	ˈu	0.807
s	s	0.766
ˈai̯	ˈiː	0.722
ə	ə_n	0.706
ˈau̯	ˈuː	0.694
ɐ	r	0.691
kʰ	k	0.691
f	f	0.687
ˈoː	-	0.681
ˈoi̯	ˈeː	0.668
ˈæ	ˈɛ	0.667
k	k	0.651
ˈiː	ˈeː	0.646
æ̆	ə_r	0.645
n	n	0.64
l	l	0.639
ˈi	ˈi	0.635
v	w	0.628
ˈe	ˈɛ	0.62
ŋ	ŋ_ɡ	0.617
d̥	d	0.617
x	ç	0.594
ˈeː	ˈeː	0.587
ʃ	ʃ	0.564
ˈu	ˈu	0.557
ˈɛː	ˈæi̯	0.516
ˈɔ	ˈɔ	0.5
ˈɔ	ˈu	0.5
ˈæː	ˈɛ	0.5
ˈæː	r	0.5
ɣ̊	ə	0.5
ɣ̊	k	0.5
ˈa	ˈa	0.499
ˈɛː	ˈɛ	0.484
t	θ	0.482
ˈaː	ˈɔː	0.443
ˈɛ	ˈɛ	0.422
ˈa	ˈaː	0.421
ˈeː	ˈɔu̯	0.413
x	x	0.406
ɡ̊	ɡ	0.398
ˈɑː	ˈa	0.397
ˈaː	ˈɛː	0.391
ˈe	ˈu	0.38
t	t	0.361
l	ɫ	0.361
k	ɡ	0.349
ˈɛ	ˈi	0.337
ˈɑː	ˈɛː	0.335
ˈæ	-	0.333
ˈoi̯	ˈiː	0.332
ˈɑ	ˈɔː	0.323
ˈoː	ˈɛː	0.319
ɐ	ə	0.309
kʰ	ʧ	0.309
ˈi	ˈiː	0.306
ˈau̯	-	0.306
ˈai̯	ˈi	0.278
ˈɑː	ˈa_r	0.268
ɡ̊	j	0.247
v	v	0.241
n	n_d	0.235
ʃ	ç	0.226
f	p	0.219
d̥	θ	0.219
ˈɑ	ˈa	0.206
s	t	0.196
ˈo	-	0.193
ŋ	ŋ	0.191
ŋ	n_ɡ	0.191
ə	n	0.189
ɡ̊	k	0.183
ˈiː	w_ˈeː	0.182
ˈiː	-	0.172
ɡ̊	-	0.172
ˈɛ	-	0.169
ˈaː	ˈeː	0.166
ˈu	ˈoː	0.162
ˈu	-	0.162
ˈɑ	ˈoː	0.161
æ̆	r	0.158
t	d	0.157
n	-	0.125
ˈɑ	ˈaː	0.123
ˈu	ˈeː	0.119
æ̆	r_ə	0.119
ə	ə	0.105
d̥	ð	0.103
m	-	0.096
ˈa	ˈau̯	0.08
v	-	0.079
ˈɑ	ˈi	0.078
ˈɑ	ˈa_r	0.078
æ̆	-	0.078
ʃ	ʧ_ə	0.075
ʃ	x	0.075
ˈɛ	ɛ	0.072
ʃ	s	0.061
d̥	t	0.061
ˈi	-	0.059
f	f_ˈɔ	0.054
v	ʍ	0.052
