Pennsylvania German	Pennsylvania German	probability
ˈɪ	ˈi	1.0
ˈɔː_ɑ	ˈɑː	1.0
ˈaʊ̯	ˈau̯	1.0
ʦ	ʦ	1.0
ʋ	v	1.0
ʃ_t	ʃ_d̥	1.0
ɾ_ɪ	ɐ	1.0
ɾ_ə	ɐ_n	1.0
ɾ	ʀ	1.0
ɪ	i	1.0
ɣ	ɣ̊	1.0
ŋ	ŋ	1.0
t	t	1.0
m	m	1.0
l_d̥	l	1.0
l	l	1.0
j	j	1.0
h	h	1.0
eː	ɛː	1.0
b̥	b̥	1.0
n	n	0.957
f	f	0.914
ə	ə	0.902
ç	ʃ	0.857
s	s	0.844
d̥	d̥	0.833
ˈuː	ˈuː	0.818
ˈʊ	ˈu	0.812
x	x	0.8
d	d̥	0.784
ˈiː	ˈiː	0.765
ˈɔ	ˈo	0.75
ʃ	ʃ	0.727
ɡ	ɡ̊	0.714
ɑ	æ̆	0.676
p	p	0.667
ˈɛː	ˈæ	0.6
b	b̥	0.6
k	kʰ	0.565
ˈaɪ̯	ˈai̯	0.556
ˈɛ	ˈɛ	0.524
ˈoː	ˈoː	0.5
ˈaː	ˈɔ_ɐ	0.5
ˈaː	-	0.5
ˈɔː	ˈaː	0.438
ˈa	ˈɑ	0.433
ˈa	ˈa	0.433
ɡ̊	ʃ	0.429
ˈɛː	-	0.4
b	p	0.4
ˈaɪ̯	ˈoi̯	0.389
ˈɔː	ˈɑː	0.375
ˈoː	ˈɑː	0.357
ˈɛ	ˈe	0.333
p	pʰ	0.333
ɑ	ɐ	0.324
ɡ̊	x	0.286
ɡ̊	-	0.286
ɡ	k	0.286
ˈeː	ˈaː	0.273
k	k	0.261
ˈɔ	-	0.25
ˈeː	ˈeː	0.227
d	t	0.216
x	ɣ̊	0.2
ˈʊ	ˈo	0.188
ˈɔː	-	0.188
ˈuː	ˈu	0.182
ʃ	s	0.182
ˈiː	-	0.176
k	ɡ̊	0.174
d̥	t	0.167
ˈɛ	-	0.143
ç	-	0.143
ˈeː	ˈɛː	0.136
ˈeː	-	0.136
s	z̥	0.111
ə	-	0.098
ˈeː	ˈẽː	0.091
ˈeː	ˈãː	0.091
ʃ	ʒ̊	0.091
f	v̥	0.086
ˈoː	ˈõː	0.071
ˈoː	oː	0.071
ˈa	ˈaː	0.067
ˈa	-	0.067
ˈiː	ˈĩː	0.059
ˈaɪ̯	ˈɑ̃i̯	0.056
