Lengadocian	Lengadocian	probability
ˈɛ_l	ˈɛː	1.0
ˈɔ_k	ˈɛ_w	1.0
ˈu_#>	ˈu_n_#>	1.0
ˈi_#>	r_#>	1.0
ˈa_#>	ˈaː_r_#>	1.0
ʧ_#>	ʨ_#>	1.0
ʧ	ʦ	1.0
ʦ_#>	ʃ_#>	1.0
ʦ	ʦ	1.0
ʎ	ʎ	1.0
ʀ_t	r_t	1.0
ʀ	r	1.0
ɾ_ɔ	r_ə	1.0
ɾ	r	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈo	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
y	i	1.0
w_#>	f_#>	1.0
t	t	1.0
s_ˈɛ	ʧ_ˈiə̯	1.0
s_ɔ	s_ə	1.0
s_#>	p_#>	1.0
p	p	1.0
nː	m_n	1.0
n_#>	n_t_#>	1.0
m_#>	m_#>	1.0
m	m	1.0
lː	-	1.0
l_ɔ	l_ə	1.0
k_ɾ	k_r	1.0
j_ˈɛ	ˈɛ	1.0
j_s	ʃ	1.0
i	-	1.0
f	f	1.0
e_ð	ə_d	1.0
e_s	ʃ	1.0
e_#>	#>	1.0
d	d	1.0
a	ə	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɥ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_w	<#_u	1.0
ɔ	ə	0.917
n	n	0.862
β	v	0.769
s	s	0.769
z	-	0.75
ð	d	0.714
l	l	0.7
w	w	0.692
j	-	0.692
ɥ	-	0.667
<#_a	<#_ə	0.667
ˈu	ˈu	0.656
ˈi	ˈiː	0.64
u	u	0.636
k	ʨ	0.587
ˈa	ˈa	0.576
ʤ	ʥ	0.545
b	v	0.543
ɾ_e	ə_r	0.5
ɾ_e	r	0.5
ˈɛ	ˈɛ	0.486
ˈɔ	ˈɔ	0.45
ɣ	-	0.444
e	ə	0.435
#>	r_#>	0.414
ˈɔ	ˈɔː	0.4
b	b	0.4
ˈy	ˈiː	0.385
k	k	0.37
ˈe	ˈa_j	0.364
u	o	0.364
ˈi	ˈi	0.36
ɥ	j	0.333
ɣ	ɡ	0.333
<#_a	<#	0.333
#>	n_#>	0.31
ˈy	ˈi	0.308
j	j	0.308
ð	d_ˈa	0.286
ˈu	ˈuː	0.281
ʤ	ʃ	0.273
z	ʃ	0.25
l	ʎ	0.25
β	-	0.231
ɣ	j	0.222
ˈe	ˈe	0.212
ˈa	ˈaː	0.203
s	ʧ	0.192
ʤ	d	0.182
e	i	0.174
#>	w_n_#>	0.172
ˈy	ˈu	0.154
ˈy	-	0.154
w	v	0.154
w	-	0.154
ˈɔ	-	0.15
ˈa	ˈɔ	0.136
e	ə_r	0.13
e	e	0.13
e	-	0.13
ˈe	ˈeː	0.121
ˈe	ˈa	0.121
ˈe	j	0.121
ˈɛ	ˈɛː	0.114
#>	ʨ_#>	0.103
ˈɛ	ˈiə̯	0.086
ˈɛ	ˈeː	0.086
ˈɛ	ˈe	0.086
ˈɛ	j	0.086
n	ɲ	0.069
n	-	0.069
ˈu	ˈuɔ̯	0.062
ˈe	-	0.061
ˈɛ	-	0.057
b	ʒ_ɡ	0.057
ˈa	ˈa_w	0.051
