Brazilian Portuguese	Aragonese	probability
ẽ	e	1.0
f	f	1.0
ĩ	i	1.0
o	o	1.0
õ	o	1.0
p	p	1.0
ɦ	ɾ	1.0
ʤ	d	1.0
ˈĩ	ˈi	1.0
ˈũ	ˈu	1.0
a	ˈa	0.051
d	d	0.421
i	e	0.641
l	l	0.681
s	-	0.051
ɐ	a	0.851
ɾ	l	0.051
ʒ	ʧ	0.961
ˈe	ʝ_ˈe	0.051
ˈẽ	j_ˈe	0.511
ˈo	l_ˈo	0.071
ˈu	ˈu	0.911
ˈɛ	j_ˈe	0.871
b	p	0.052
e	e	0.822
j	-	0.252
j	j	0.582
j̃	n	0.572
s	s	0.652
v	β	0.402
ʧ	-	0.372
ˈo	ˈo	0.232
ˈõ	ˈo	0.232
ˈõ	ˈo_n	0.392
ˈɔ	w_ˈe	0.282
ˈɔ	ˈo	0.582
b	b	0.443
b	β	0.473
t	t	0.793
v	-	0.13
v	b	0.423
w	l	0.643
z	θ	0.643
ʃ	s	0.573
ˈi	ˈe	0.063
ˈɐ̃	ˈa	0.883
a	-	0.064
a	a	0.884
u	o	0.954
ɡ	ɡ	0.4
ʎ	ˈe_ʎ	0.064
ˈa	ˈa	0.864
ˈo	ˈu	0.114
ˈo	w_ˈe	0.254
j̃	ɲ	0.195
t	n_t	0.175
w̃	n_o	0.135
w̃	n	0.865
h	r	0.196
h	ɾ	0.756
j	ʝ	0.066
j̃	ŋ_ɡ	0.106
n	n	0.966
w	w	0.196
ɐ	n_a	0.136
ɡ	ɣ	0.566
ʎ	ʎ	0.936
d	ð	0.517
i	-	0.197
j	ˈe	0.077
j̃	j	0.127
k	k	0.927
m	m	0.967
s	θ	0.267
z	s	0.357
ɾ	ɾ	0.907
ʃ	θ	0.267
ˈa	l_ˈa	0.097
ˈi	ˈi	0.937
ˈɔ	w	0.067
e	i	0.178
i	ɾ_e	0.098
w	l_o	0.118
ʧ	t	0.628
ˈõ	n	0.138
ˈõ	w_ˈe	0.238
l	ʎ	0.289
ʃ	-	0.159
ˈe	ˈe	0.859
ˈẽ	ˈe	0.489
ˈo	w	0.329
ˈu	ˈo	0.089
ˈɐ̃	ˈa_n	0.069
ˈɔ	u	0.069
ˈɛ	ˈe	0.129
