Insular North Frisian	Insular North Frisian	probability
ˈʏ_r	ˈɔː	1.0
ˈɛː	-	1.0
ˈɛ_ɾ	ˈɛ_l	1.0
ˈɔa̯_l	ˈaː	1.0
ˈɔa̯	ˈaʊ̯	1.0
ˈœ_ɾ	ˈaʊ̯_d	1.0
ˈœ_n	n	1.0
ˈoː	ˈaʊ̯	1.0
ˈaː_r	ˈaː	1.0
ˈaʊ̯	-	1.0
ˈaɪ̯	-	1.0
ɪ_ç	i	1.0
ɡ	ɡ	1.0
ə_f	m	1.0
ɐ_x	ɐ	1.0
z	z	1.0
v_ˈʊ	v	1.0
v	v	1.0
tʲ	d	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
pʰ	pʰ	1.0
p_#>	b_#>	1.0
m	m	1.0
lʲ	l_d	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
h	h	1.0
e	-	1.0
d	d	1.0
b	b	1.0
aɪ̯	aɪ̯	1.0
<#_ˈɔː	<#_ˈa	1.0
#>	ɐ_#>	1.0
f	f	0.969
ɐ	ɐ	0.939
n	n	0.915
l	l	0.872
ˈa	ˈa	0.857
r	r	0.852
ŋ	ŋ	0.846
ɾ	d	0.765
ˈuː	ˈaʊ̯	0.75
j	-	0.75
ə	-	0.722
ˈɔː	ˈoː	0.692
ɪ	ɪ	0.6
p	b_m	0.6
x	x	0.583
ç	ç	0.571
tʰ	tʰ	0.562
t	d	0.523
ˈøː	ˈøː	0.5
ˈøː	-	0.5
nʲ	n_n	0.5
nʲ	n_d	0.5
ˈiː	ˈaɪ̯	0.471
s	z	0.459
ˈɪ	ˈɪ	0.458
tʰ	d	0.438
ˈyː	ˈuː	0.429
ˈɪ	ˈiː	0.417
x	-	0.417
ˈʏ	ˈuː	0.409
ɪ	-	0.4
p	p	0.4
ˈʊ	ˈʊ	0.375
ˈœ	-	0.364
ˈɛ	-	0.321
ˈʏ	-	0.318
ˈɛ	ˈɪ	0.286
ˈyː	ˈyː	0.286
ˈyː	-	0.286
ç	ɡ	0.286
ə	n	0.278
ˈœ	ˈʏ	0.273
s	ʃ	0.27
s	s	0.27
ˈʊ	ˈɪ	0.25
ˈɔ	ˈʊ	0.25
ˈɔ	ˈɔ	0.25
ˈɔ	ˈaʊ̯	0.25
ˈɔ	-	0.25
ˈuː	ˈoː	0.25
j	ʒ	0.25
ˈiː	ˈiː	0.235
t	t	0.205
ˈœ	ˈʊ	0.182
ˈœ	ˈa	0.182
ˈɛ	ˈʏ	0.179
ˈiː	ˈeː	0.176
ˈeː	ˈoː	0.167
ˈeː	ˈeː	0.167
ˈeː	ˈaɪ̯	0.167
ˈeː	-	0.167
t	-	0.159
ˈɔː	ˈɔ	0.154
ˈɔː	-	0.154
ŋ	ç	0.154
r	-	0.148
ˈa	-	0.143
ç	-	0.143
ˈʊ	ˈaʊ̯	0.125
ˈʊ	ˈa	0.125
ˈʊ	-	0.125
ˈiː	ˈoː	0.118
ɾ	ˈuː_d	0.118
ɾ	n	0.118
t	d_n	0.114
ˈeː	ˈɔʏ̯	0.111
ˈeː	ˈeɪ̯	0.111
ˈeː	ˈa	0.111
ˈʏ	ˈyː	0.091
ˈʏ	ˈiː	0.091
ˈʏ	ˈa	0.091
n	n_d	0.085
ˈɪ	-	0.083
ˈɛ	ˈœ	0.071
ˈɛ	ˈeː	0.071
ˈɛ	n	0.071
l	l_ˈaɪ̯	0.064
l	l_d	0.064
ɐ	-	0.061
