Danish	Eastphalian	probability
b̥	b	0.756
b̥	p	0.242
b̥_j	b	1.0
d̥	d	1.0
e	n	0.5
e	ɪ	0.5
f	f	0.931
f	ʃ	0.068
h	h	0.935
h	k	0.066
i	ɪ	0.495
j	-	0.257
j	x	0.18
j	k	0.17
j	ˈeː	0.136
j	ˈeo̯	0.09
jˀ	j	0.758
jˀ	-	0.092
k	ʃ	0.654
k	k	0.24
k	ŋ_k	0.093
kʰ	k	0.833
kʰ	f	0.129
l	l	0.952
l	-	0.048
lˀ	l	0.659
lˀ	l_d	0.245
lˀ	ɐ	0.089
m	m	1.0
mˀ	m	0.594
mˀ	f	0.392
n	n	0.812
n	-	0.167
n	r	0.032
n	t	0.032
n_s	n	1.0
nˀ	n_d	0.539
nˀ	n_ə	0.166
nˀ	l	0.11
nˀ	n	0.084
nˀ	t	0.084
p	p	1.0
s	s	0.499
s	z	0.307
s	-	0.164
s	ç	0.031
t	t	0.578
t	-	0.122
t	x_t	0.122
t	ç_t	0.106
t	x	0.054
v	v	0.758
v	f	0.092
w	-	0.409
w	v_n	0.195
w	x	0.148
w	n	0.108
w	ŋ	0.105
wˀ	m	1.0
ð̞ˠ	t	0.777
ð̞ˠ	-	0.178
ð̞ˠ	p	0.044
ŋ	ŋ	0.496
ŋ	-	0.242
ŋ	ç	0.242
ŋˀ	ŋ	1.0
ɐ	ɐ	0.823
ɐ	ə	0.172
ɐˀ	ɐ	1.0
ə	ə	0.397
ə	-	0.314
ə	n	0.213
ə	ɐ	0.048
ə	j	0.031
ɡ̊	ɣ	0.709
ɡ̊	j	0.197
ɡ̊	-	0.08
ʁ	r	0.91
ʁ	-	0.086
ʋ	v	0.681
ʋ	w	0.142
ʋ	-	0.094
ʋ	r	0.072
ʦʰ	d	0.624
ʦʰ	t	0.206
ʦʰ	t_v	0.141
ʨ	d	0.495
ˈa	ˈa	0.451
ˈa	ˈɒː	0.163
ˈa	ˈaː	0.142
ˈa	ˈɛə̯	0.094
ˈa	ˈɛː	0.076
ˈaː	ˈɒː	1.0
ˈe	ˈɪ	0.695
ˈe	ˈɛ	0.116
ˈe	ˈuː	0.089
ˈe	ˈeː	0.087
ˈe_s	ˈɪ	0.245
ˈeˀ	ˈɛɪ̯	0.8
ˈeˀ	-	0.099
ˈeˀ	ˈa	0.077
ˈeː	ˈa	0.574
ˈeː	ˈɛɪ̯	0.284
ˈi	ˈiː	0.425
ˈi	ˈyː	0.242
ˈi	ˈɛː	0.137
ˈiˀ	ˈiː	0.589
ˈiˀ	ˈɪ	0.249
ˈiˀ	ˈeː	0.068
ˈiˀ	ˈɛɪ̯	0.039
ˈiː	ˈiː	0.467
ˈiː	ˈɛɪ̯	0.268
ˈiː	ˈɛ	0.19
ˈo	w	0.392
ˈo	ˈaʊ̯	0.392
ˈo	ˈoː	0.127
ˈoˀ	ˈaʊ̯	0.608
ˈoˀ	ˈʊ	0.139
ˈoˀ	ˈɛɪ̯	0.139
ˈoˀ	r	0.102
ˈoː	ˈa	0.268
ˈoː	ˈoː	0.268
ˈoː	ˈʊ	0.165
ˈoː	ˈɔ	0.165
ˈoː	-	0.044
ˈu	ˈɔ	0.295
ˈu	v_ˈʊ	0.223
ˈu	ˈʊ	0.194
ˈu	ˈœ	0.147
ˈu	ˈuː	0.108
ˈuˀ	ˈuː	0.818
ˈuˀ	ˈɛ	0.18
ˈuː	ˈuː	0.66
ˈuː	j	0.162
ˈy	ˈyː	0.361
ˈy	ˈɪ	0.361
ˈy	ˈʏ	0.206
ˈyˀ	ˈɛɪ̯	0.409
ˈyˀ	ˈiː	0.174
ˈyˀ	ˈyː	0.119
ˈyˀ	ˈeː	0.119
ˈyˀ	ˈɪ	0.119
ˈyː	ˈɛɪ̯	1.0
ˈæ	ˈeː	0.495
ˈæˀ	ˈa	1.0
ˈø	ˈʏ	0.327
ˈø	ˈɪ	0.327
ˈøː	ˈɔʏ̯	0.392
ˈøː	ˈoː	0.223
ˈøː	ˈeo̯	0.223
ˈœ	ˈʏ	0.196
ˈœ	ˈoː	0.196
ˈœ	ˈɔ	0.171
ˈœ	w	0.129
ˈœ	ˈøː	0.099
ˈœˀ	ˈeo̯	0.489
ˈœˀ	ˈɔʏ̯	0.169
ˈœˀ	ˈøː	0.158
ˈœˀ	ˈɛː	0.115
ˈœː	ˈɛ	0.245
ˈɑ	ˈa	0.453
ˈɑ	ˈɛː	0.193
ˈɑ	ˈʏ	0.146
ˈɑ	ˈɛ	0.1
ˈɑ	ˈiː	0.075
ˈɑˀ	ɐ	0.488
ˈɑˀ	ˈaː	0.137
ˈɑˀ	ˈɛ	0.137
ˈɑː	ˈɒː	1.0
ˈɒ	ˈoː	0.495
ˈɒˀ	ˈɒː	1.0
ˈɒː	ˈɒː	1.0
ˈɔ	ˈʊ	0.638
ˈɔ	ˈuː	0.33
ˈɔˀ	ˈɒː	0.37
ˈɔˀ	ˈaʊ̯	0.37
ˈɔˀ	ˈeo̯	0.12
ˈɔˀ	ˈɔ	0.046
ˈɔː	ˈɒː	1.0
ˈɛ	ˈa	0.507
ˈɛ	ˈɪ	0.15
ˈɛ	ˈɔ	0.131
ˈɛ	ˈiː	0.099
ˈɛ	ˈœ	0.074
ˈɛˀ	ˈɛɪ̯	0.278
ˈɛˀ	ˈɛː	0.278
ˈɛˀ	ˈiː	0.078
ˈɛː	ˈɛː	0.366
ˈɛː	ˈɛ	0.278
ˈʌ	ˈɔ	0.359
ˈʌ	-	0.179
ˈʌ	ˈa	0.179
ˈʌ	ˈœ	0.127
ˈʌ	ˈaʊ̯	0.084
ˈʌˀ	ˈeo̯	1.0
