Danish	Eastphalian	probability
d̥	d	1.0
i	ɪ	1.0
p	p	1.0
wˀ	m	1.0
ŋˀ	ŋ	1.0
ɐˀ	ɐ	1.0
ʌ	ɐ	1.0
ʨ	d	1.0
ˈaː	ˈɒː	1.0
ˈæˀ	ˈa	1.0
ˈœː	ˈɛ	1.0
ˈɑː	ˈɒː	1.0
ˈɒ	ˈoː	1.0
ˈɒˀ	ˈɒː	1.0
ˈɒː	ˈɒː	1.0
ˈɔː	ˈɒː	1.0
ˈɶˀ	ˈøː	1.0
ˈʌˀ	ˈeo̯	1.0
b̥	b	0.841
h	h	0.961
j	x	0.121
j	k	0.311
t	t	0.611
ɐ	ɐ	0.831
ʦʰ	d	0.651
ˈoː	ˈʊ	0.151
ˈu	v_ˈʊ	0.311
ˈy	ˈyː	0.171
ˈy	ˈɪ	0.301
ˈøˀ	ˈɔʏ̯	0.331
ˈøː	ˈɔʏ̯	0.731
ˈœ	ˈoː	0.181
ˈœ	ˈɪ	0.181
ˈɔ	ˈʏ	0.091
ˈɛ	-	0.081
ˈɛ	ˈœ	0.081
ˈɛ	ˈa	0.521
ˈɶ	ˈoː	0.331
ˈʌ	ˈɒː	0.1
j	ˈɛ	0.132
jˀ	ˈɛɪ̯	0.322
lˀ	l	0.842
m	m	0.902
s	-	0.22
t	-	0.062
w	ˈeː	0.082
w	b	0.102
w	v	0.272
ð̞ˠ	-	0.232
ʁ	-	0.072
ʋ	v	0.662
ʦʰ	-	0.072
ˈeˀ	ˈa	0.062
ˈoˀ	ˈʊ	0.052
ˈoˀ	ˈoː	0.092
ˈyˀ	ˈeː	0.142
ˈæ	ˈeː	0.502
ˈœˀ	ˈɛː	0.062
ˈɔˀ	ˈɔ	0.152
ˈɔˀ	ˈoː	0.192
ˈɔˀ	ˈɒː	0.272
ˈɛˀ	ˈɛɪ̯	0.192
j	ç	0.053
jˀ	ˈɛː	0.623
mˀ	f	0.333
s	s	0.373
t	x	0.183
w	x	0.123
ə	ə	0.313
ɡ̊	ɡ	0.133
ˈeː	ˈa	0.343
ˈo	v_ˈoː	0.333
ˈoˀ	ˈaʊ̯	0.693
ˈu	ˈʊ	0.283
ˈuˀ	ˈɛ	0.113
ˈø	ˈʏ	0.793
k	ʃ	0.634
n	n	0.944
nˀ	n	0.894
t	ç_t	0.144
ɡ̊	k	0.074
ʁ	b	0.054
ʁ	r	0.874
ʋ	w	0.24
ˈa	ˈɒː	0.144
ˈeˀ	ˈɛ	0.054
ˈiˀ	ˈeː	0.094
ˈiː	j	0.334
ˈo	w	0.44
ˈoˀ	ˈɛɪ̯	0.074
ˈoː	ˈɔ	0.214
ˈuː	ˈeː	0.184
ˈyˀ	ˈɛɪ̯	0.574
ˈyː	-	0.114
ˈøː	ˈeo̯	0.114
ˈœ	w	0.064
ˈœ	ˈɔʏ̯	0.064
ˈœ	ˈɔ	0.144
ˈɑ	ˈa	0.404
ˈɑˀ	ˈɛ	0.534
ˈɛˀ	ˈeo̯	0.354
ˈʌ	ˈoː	0.094
ˈʌ	ˈa	0.094
ˈʌ	ˈuː	0.094
ˈʌ	ˈœ	0.114
ˈʌ	ˈaʊ̯	0.14
e	ɪ	0.5
e	n	0.5
f	f	0.975
jˀ	j	0.055
kʰ	k	0.965
ŋ	ç	0.105
ˈeˀ	ˈɛɪ̯	0.725
ˈi	ˈøː	0.085
ˈi	ˈɪ	0.085
ˈi	ˈɛː	0.415
ˈi	ˈyː	0.415
ˈiː	ˈiː	0.45
ˈuː	ˈuː	0.335
ˈuː	ˈʊ	0.375
ˈøː	ˈoː	0.155
ˈɔ	ˈʊ	0.885
ˈɔˀ	ˈeo̯	0.195
ˈɛː	ˈɛ	0.35
ˈɛː	ˈɛː	0.65
ˈʌ	ˈɪ	0.055
ˈʌ	ˈʏ	0.055
ˈʌ	ˈɔ	0.085
n	-	0.056
w	ŋ	0.156
ð̞ˠ	t	0.756
ŋ	-	0.106
ˈa	ˈɛ	0.056
ˈa	ˈɛə̯	0.056
ˈe	ˈɛ	0.136
ˈoː	ˈuː	0.136
ˈu	ˈœ	0.226
ˈuː	j	0.106
ˈyː	ˈɛɪ̯	0.886
ˈœˀ	ˈɔ	0.06
ˈɛ	ˈɪ	0.116
ˈɛˀ	ˈiː	0.296
ˈʌ	ˈeo̯	0.136
j	-	0.287
mˀ	m	0.667
nˀ	t	0.097
s	z	0.377
w	f	0.237
ə	-	0.277
ɡ̊	j	0.147
ɡ̊	-	0.177
ʦʰ	t	0.277
ˈe	ˈɪ	0.787
ˈeː	ˈɛɪ̯	0.657
ˈiˀ	ˈiː	0.667
ˈiː	ˈɛ	0.117
ˈo	ˈaʊ̯	0.227
ˈuˀ	ˈuː	0.887
ˈyˀ	ˈiː	0.157
ˈø	ˈɪ	0.207
ˈɑ	ˈʏ	0.067
ˈɑ	-	0.47
ˈɑˀ	ˈa	0.267
k	k	0.238
l	l	0.98
lˀ	-	0.158
m	ɐ_m	0.098
ə	n	0.388
ˈa	ˈaː	0.098
ˈa	ˈɛː	0.098
ˈeˀ	ˈaɪ̯	0.108
ˈiˀ	ˈɪ	0.18
ˈu	ˈɔ	0.18
ˈy	ˈʏ	0.528
ˈyˀ	ˈyː	0.08
ˈæ	ˈa	0.498
ˈœ	ˈøː	0.08
ˈœˀ	ˈɔʏ̯	0.348
ˈɛ	ˈɔ	0.058
ˈɛ	ˈiː	0.088
ˈɛˀ	ˈɛː	0.158
b̥	p	0.159
k	ŋ_k	0.129
ŋ	ŋ	0.789
ɐ	ə	0.149
ɡ̊	ɣ	0.469
ʋ	f	0.099
ˈa	ˈa	0.549
ˈiˀ	ˈɛɪ̯	0.059
ˈiː	ˈɛɪ̯	0.099
ˈoˀ	r	0.089
ˈoː	ˈa	0.499
ˈøˀ	ˈeo̯	0.669
ˈœ	ˈʏ	0.249
ˈœˀ	ˈeo̯	0.529
ˈɑ	ˈɛː	0.059
ˈɑˀ	ˈaː	0.199
ˈɔˀ	ˈaʊ̯	0.19
ˈɶ	ˈœ	0.669
