Lombard	Campidanese	probability
a	a	0.837
a	-	0.067
ã	a	1.0
b	b	0.769
b	v	0.102
b	β	0.08
d	d	0.304
d	ð	0.286
d	r	0.114
d	s	0.075
d	t	0.075
d	n	0.067
d	ɣ	0.055
e	e	0.414
e	i	0.194
e	o	0.139
e	-	0.077
e	ˈe	0.077
e	ˈi	0.063
ẽ	i	0.515
f	f	0.691
f	-	0.165
f	β_u	0.104
i	i	0.618
i	e	0.367
ĩ	j	0.515
j	r	0.345
j	-	0.168
j	u	0.122
j	u_z	0.072
j	ʣ_u	0.063
j	i	0.062
j	r_i	0.062
j	j	0.054
j	ʣ	0.054
j_ˈe	ˈe	0.265
k	k	0.736
k	ɣ_u	0.135
k	-	0.057
l	l	0.732
l	ɖ	0.133
l	-	0.074
l	r	0.056
m	m	0.701
m	m_i	0.156
n	n	0.916
n	r	0.083
o	u	0.5
o	ˈo	0.5
p	p	0.846
p	p_u	0.139
r	r	0.695
r	r_i	0.099
r	r_u	0.093
s	s	0.599
s	ʒ_i	0.124
s	ʃ	0.083
s	s_u	0.063
s	z_u	0.054
t	t	0.548
t	t_u	0.152
t	t_i	0.126
t	d	0.054
u	o	0.272
u	u	0.185
u	e	0.161
u	i	0.161
u	ˈe	0.107
u	a	0.087
v	b	0.515
w	w	0.515
y	o	1.0
z	ʒ	0.515
ɛ	i	0.74
ɛ	a	0.149
ɡ	ɡ	0.411
ɡ	ɣ	0.17
ɡ	-	0.152
ɡ	b	0.112
ɡ	β	0.085
ɲ	n	0.846
ɲ	ɲ	0.133
ʃ	k	0.416
ʃ	s	0.362
ʃ	ʒ	0.162
ʋ	b	0.546
ʋ	-	0.246
ʋ	β	0.145
ʋ	j	0.057
ʤ	-	0.428
ʤ	b	0.292
ʤ	d	0.123
ʤ	ɡ	0.119
ʦ	-	0.242
ʦ	ʦ	0.242
ʦ	ʧ	0.242
ʦ	z	0.105
ʦ	ʤ	0.105
ʧ	ʧ	0.331
ʧ	j	0.166
ʧ	t_i	0.141
ʧ	k	0.069
ʧ	t_u	0.069
ʧ	ð	0.069
ʧ	ɣ_u	0.059
ʧ	z	0.056
ˈa	ˈa	0.712
ˈa	ˈa_r	0.162
ˈa	ˈa_i	0.057
ˈaː	ˈa	0.836
ˈaː	ˈa_ð	0.163
ˈãː	ˈa_n	0.811
ˈãː	-	0.124
ˈe	ˈi	0.516
ˈe	ˈe	0.423
ˈe	e	0.057
ˈe_j	ˈe	1.0
ˈeː	ˈe	0.39
ˈeː	ˈi	0.103
ˈẽː	ˈe_n	0.478
ˈẽː	ˈi	0.478
ˈi	ˈi	0.504
ˈi	ˈu	0.17
ˈi	ˈi_ʣ	0.129
ˈi	i	0.072
ˈi	i_r	0.072
ˈi	ˈi_n	0.06
ˈĩː	ˈi_n	0.448
ˈĩː	ŋ	0.161
ˈo	ˈo	1.0
ˈu	ˈu	0.689
ˈu	ˈo	0.301
ˈuː	ˈu	0.265
ˈũː	ˈo_n	0.478
ˈũː	ŋ	0.354
ˈũː	u	0.102
ˈy	ˈu	0.608
ˈy	ˈi	0.194
ˈy	u	0.155
ˈyː	ˈu	0.504
ˈyː	ˈo	0.488
ˈỹː	ˈu	0.515
ˈø	ˈo	0.891
ˈø	ˈu	0.103
ˈøː	ˈo	1.0
ˈɔ	ˈo	0.671
ˈɔ	ˈa	0.192
ˈɔ	ˈe	0.075
ˈɔ	w	0.065
ˈɛ	ˈe	0.761
ˈɛ	ˈi	0.114
ˈɛ	i	0.057
ˈɛ̃ː	ˈe	1.0
ˈˈi	i	0.265
