Ladin	Aragonese	probability
i	i	1.0
o	o	1.0
ŋ	ŋ	1.0
ʦ	-	1.0
ʧ	θ	1.0
ˈu	ˈu	1.0
e	ɾ	0.121
m	m	0.831
n	-	0.1
s	s	0.841
v	b	0.561
ɲ	n	0.711
ʃ	ʃ	0.181
ʒ	-	0.461
ʥ	-	0.561
ʨ	-	0.051
d	-	0.172
n	n	0.772
r	ɾ	0.692
t	t_j	0.062
w	w	0.732
ʃ	θ	0.442
ʨ	θ	0.212
ˈa	w_ˈa	0.062
ˈe	ˈi	0.052
b	b	0.983
e	ˈi	0.073
j	-	0.463
l	l_o	0.093
ˈe	ˈa_ɾ	0.233
ˈɛ	j_ˈe	0.213
ˈɛ	ˈe	0.433
p	p	0.894
r	-	0.104
w	o	0.084
w	-	0.184
ɡ	ɡ	0.484
ʒ	θ	0.094
f	-	0.065
k	k_o	0.055
r	ɾ_o	0.115
t	ð	0.195
t	t	0.25
ˈe	-	0.155
ˈe	ˈe	0.505
ˈi	ˈi	0.825
ˈo	ˈo	0.715
ˈɔ	w_ˈe	0.855
d	d	0.46
e	ˈe	0.086
e	-	0.126
e	e	0.466
k	k	0.646
v	β	0.36
ʒ	ʧ	0.446
ˈe	ˈu	0.056
ˈɛ	-	0.106
a	a	0.937
j	j	0.37
t	j_t_o	0.117
t	t_o	0.287
ʃ	e_s	0.377
ˈa	ˈa	0.87
ˈo	ˈu	0.167
f	f	0.868
j	ʎ	0.108
k	ɣ_o	0.208
l	l	0.758
n	n_o	0.128
p	p_j	0.098
s	ʃ	0.118
ʨ	k	0.738
ˈi	ˈe	0.058
ˈi	ˈi_ɾ	0.058
ˈɛ	ˈa	0.248
d	ð	0.369
e	a	0.079
j	ɾ	0.059
k	ɡ	0.09
l	ʎ_o	0.149
m	m_b	0.169
r	r	0.089
v	p	0.079
ɡ	ɣ	0.459
ɲ	ɲ_o	0.289
ʥ	ʧ	0.439
ˈi	ˈi_ʎ	0.059
ˈo	w_ˈe	0.079
ˈɔ	ˈo	0.099
