Asturian	Asturian	probability
θ_ˈe	ʃ	1.0
θ_j	s	1.0
ˈo_t	ˈaː_t	1.0
ˈo_s	w_ˈiː	1.0
ˈi_ɾ	ˈiː	1.0
ˈe_ʎ	l_ˈeː	1.0
ˈe_ɾ	e	1.0
ˈe_s	s	1.0
ˈe_n	ŋ	1.0
ˈe_l	ˈeː	1.0
ˈe_j	ˈɛ	1.0
ˈa_ɾ	ˈaː	1.0
ˈa_ð	w	1.0
ˈa_l	ˈaː	1.0
ʧ	t	1.0
ʝ_a	a	1.0
ʝ	ʤ	1.0
ɾ_ˈe	ˈeː	1.0
ɾ_t	r_t	1.0
ɾ_o	r_i	1.0
ɾ_n	r_n	1.0
ɾ_m	ˈɛ_l	1.0
ɾ_e	ˈɛː	1.0
ɾ_#>	#>	1.0
ɣ	ɡ	1.0
ŋ_ɡ	ŋ_ɡ	1.0
ŋ_#>	ŋ_#>	1.0
ŋ	ŋ	1.0
w_a	w_a	1.0
u_#>	#>	1.0
t_a	t_a	1.0
t	t	1.0
s_u	s_u	1.0
s_a	z_a	1.0
r	r	1.0
p	p	1.0
o_s	j	1.0
n_d	ŋ_d	1.0
l_#>	#>	1.0
f_e	b	1.0
f	f	1.0
e_ɾ	e_r	1.0
e_s	s	1.0
d	d	1.0
a_ɾ	ˈɛ	1.0
a_ð	ɥ	1.0
a_#>	#>	1.0
<#_θ	<#_s	1.0
<#_ʎ	<#	1.0
<#_ʃ	<#_z	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
k	k	0.956
u	u	0.945
s	s	0.917
ʎ	l	0.889
a	a	0.867
m	m	0.857
l	-	0.833
j	-	0.778
#>	e_#>	0.769
n	ŋ	0.737
ˈa	ˈa	0.692
ʃ	-	0.667
ð	-	0.667
s_#>	#>	0.667
e	e	0.633
β	v	0.63
ɾ_a	a	0.6
b	v	0.577
ɾ_u	u	0.571
i	i	0.571
<#_ɡ	<#	0.545
θ	ʒ	0.533
ɲ	ɲ	0.5
w_ˈe	ˈøː	0.5
j_ˈe	ˈe	0.5
ɾ	r	0.487
ˈo	ˈu	0.462
<#_ɡ	<#_ɡ	0.455
ɾ_u	r_u	0.429
i	-	0.429
ɾ_a	j_a	0.4
ˈi	ˈi	0.391
ˈe	ˈe	0.383
w_ˈe	ˈɔː	0.375
β	-	0.37
w	ˈø	0.364
b	b	0.346
ʃ	sː	0.333
ð	t	0.333
s_#>	j_#>	0.333
o	u	0.333
ˈu	ˈyː	0.316
ɲ	n	0.3
o	w	0.278
w	ˈɔ	0.273
θ	-	0.267
ˈu	ˈy	0.263
j_ˈe	ˈɛː	0.25
j_ˈe	ˈeː	0.25
#>	u_#>	0.231
j	ˈɛ	0.222
ˈi	-	0.217
ˈu	ˈu	0.211
ˈa	ˈaː	0.205
θ	s	0.2
ɲ	-	0.2
w	ˈøː	0.182
w	w	0.182
ˈo	ˈuː	0.179
ˈi	ˈiː	0.174
ˈe	-	0.17
o	-	0.167
l	l_e	0.167
n	n	0.158
ˈo	ˈɔː	0.154
e	-	0.143
ˈi	j	0.13
ˈe	ˈeː	0.128
ɾ	e	0.128
ɾ	-	0.128
w_ˈe	ˈɔ	0.125
e	j	0.122
ʎ	ʧ	0.111
o	ˈu	0.111
o	ɔː	0.111
ˈu	ˈuː	0.105
ˈu	-	0.105
ˈo	-	0.103
ˈa	ˈɛː	0.103
ˈi	ˈi_ʤ	0.087
ˈe	ˈi	0.085
s	i	0.083
e	u	0.082
ɾ	ˈiː	0.077
ɾ	j	0.077
b	ʒ	0.077
m	ʒ	0.071
m	ŋ	0.071
ˈe	ˈɛː	0.064
u	-	0.055
n	ɲ	0.053
n	-	0.053
ˈo	ˈø	0.051
ˈo	ˈy_t	0.051
ɾ	u	0.051
ɾ	d_e	0.051
