Megleno-Romanian	Western Lombard	probability
f	f	1.0
kʲ	p	1.0
s	s	1.0
z	-	1.0
ŋ	-	1.0
ʃ	s	1.0
ʒ	ʤ	1.0
ˈɔ	ˈãː	1.0
b	-	0.301
d	d	0.221
i	-	0.321
j	ʋ	0.691
l	j	0.111
n	-	0.241
w	-	0.791
ɡ	ɡ	0.711
ˈa	ˈaː	0.131
ˈa	ˈɛ	0.381
d	-	0.222
p	p	0.642
t	t	0.842
u	-	0.332
u	e	0.352
ʦ	ʧ	0.322
ˈu	ˈø	0.102
e̯ˈa	ˈy	0.363
r	-	0.273
u	a	0.103
u	u	0.213
v	r_#>	0.053
v	ʋ	0.513
ʎ	-	0.663
ʦ	t	0.103
ˈi	ˈi	0.933
ˈo	-	0.133
ˈo	ˈɔ	0.513
i	e	0.124
k	k	0.614
m	m	0.854
o̯ˈa	ˈu	0.154
ˈa	ˈa	0.454
ˈo	ˈø	0.304
ˈu	ˈũː	0.384
i	a	0.35
ə	-	0.235
ə	a	0.765
ˈo	ˈu	0.05
i	ˈyː	0.106
k	-	0.386
m	-	0.146
o̯ˈa	-	0.846
p	k	0.16
v	f_#>	0.166
ʎ	j	0.16
ʦ	ʦ	0.506
ˈe	ˈe	0.496
d	t	0.557
ʎ	l	0.177
ˈe	ˈɛ	0.457
ˈi	f_ˈi	0.067
ˈu	ˈy	0.237
ˈu	ˈu	0.277
e̯ˈa	ˈe	0.238
i	i	0.098
p	-	0.198
r	l	0.068
t	-	0.158
v	ʧ_#>	0.268
b	b	0.699
e̯ˈa	ˈe_j	0.399
j	-	0.309
l	l	0.889
n	n	0.759
r	r	0.659
w	ˈøː	0.209
ɡ	-	0.289
ʦ	s	0.069
