Štokavian	Macedonian	probability
ʦ	ʦ	1.0
ʎ	l	1.0
ʋ_j	v	1.0
ʋ_#>	f_#>	1.0
ʋ	v	1.0
ɡ_#>	k_#>	1.0
ɡ	ɡ	1.0
x_#>	f_#>	1.0
û	ˈo_ɫ	1.0
t_i_#>	ɛ_#>	1.0
t_#>	t_#>	1.0
t	t	1.0
s_t	s_t	1.0
s_#>	s_#>	1.0
s	s	1.0
r̩̂	ˈr̩	1.0
r̩̂ː	ˈr̩	1.0
r̩̂	ˈr̩	1.0
r̂ː	ˈr̩	1.0
r_#>	r_#>	1.0
r	r	1.0
p	p	1.0
ǒ	ˈo	1.0
ôː	ˈo	1.0
ô	ˈo	1.0
n_#>	n_#>	1.0
n	n	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ǎː	ɫ_ˈa	1.0
l_#>	ɫ_#>	1.0
l	ɫ	1.0
k_a	k	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ěː	ˈɛ	1.0
j_êː	ˈɛ	1.0
j_ê	ˈɛ	1.0
j	-	1.0
ǐː	ˈi	1.0
îː	ˈi	1.0
î	ˈi	1.0
i_#>	i_#>	1.0
i	i	1.0
ě_l	ˈɛ_l	1.0
ě	ˈɛ	1.0
êː_s	ˈɛ_s	1.0
êː	ˈɛ	1.0
ê	ˈɛ	1.0
eː	ɛ	1.0
e_#>	ɛ_#>	1.0
e	ɛ	1.0
d_#>	t_#>	1.0
d	d	1.0
b_#>	p_#>	1.0
b	b	1.0
âː	ˈa	1.0
â	ˈa	1.0
a_#>	a_#>	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʦ	<#_ʦ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʋ	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_z	1.0
<#_x	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_ô	<#_ˈo	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
o_#>	o_#>	0.8
z	z	0.667
<#_l	<#_l	0.6
ʒ	ʒ	0.5
ʒ	ʃ	0.5
ûː	ˈa	0.429
<#_l	<#_ɫ	0.4
a	o	0.385
z	ʣ	0.333
a	ɛ	0.308
ûː	ˈu	0.286
ûː	ˈo_ɫ	0.286
o_#>	ɫ_#>	0.2
a	u	0.154
a	a	0.154
