Bulgarian	Standard Croatian	probability
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʃ_t	ʨ	1.0
ʃ	ʃ	1.0
ɫ_a	l_a	1.0
ɡ	ɡ	1.0
ɛ_ˈ	e	1.0
ɛ_n	n	1.0
ɛ_m	a_m	1.0
ɐ_ɫ	a_o	1.0
ɐ_r	r̩_̂	1.0
ɐ_k	a_k	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
vʲ	ʋ_j	1.0
v_ɐ	ʋ_a	1.0
v	ʋ	1.0
tʲ	t_j	1.0
t_ɐ	t_a	1.0
t	t	1.0
s	s	1.0
rʲ	-	1.0
pʲ	p_j	1.0
p	p	1.0
nʲ	n_j	1.0
n_a	n_a	1.0
lʲ	l_j	1.0
k	k	1.0
j_ɐ	t_i	1.0
j	j	1.0
i_ˈ	i	1.0
dʲ	d_j	1.0
d	d	1.0
b̥	b	1.0
bʲ	b_j	1.0
b	b	1.0
n	n	0.918
m	m	0.884
ˈ	̂	0.867
u	uː	0.834
r	r	0.785
l	l	0.753
ɫ	l	0.704
ɐ	a	0.661
i	i	0.633
ɔ	o	0.607
o	o_̌	0.596
a_ˈ	e	0.574
ɤ_ˈ	a_̂	0.536
ɤ	uː	0.472
ɤ_ˈ	̂	0.464
ɛ	e	0.443
a_ˈ	a	0.426
o	o	0.404
ɔ	oː	0.393
ɛ	eː	0.382
i	iː	0.367
a	a	0.346
a	eː	0.291
a	aː	0.28
l	ʎ	0.247
r	-	0.215
ɤ	u	0.207
ɫ	-	0.191
ɤ	r̩	0.18
u	u	0.166
ɐ	t_i	0.162
ɤ	r̩ː	0.141
ˈ	̌	0.133
m	-	0.116
ɛ	a	0.112
ɐ	-	0.109
ɫ	o	0.105
a	e	0.083
n	ɲ	0.082
ɐ	aː_̌	0.068
ɛ	aː	0.063
