Spanish	Ladin	probability
d	d	1.0
f	f	1.0
p	p	1.0
r	r	1.0
t	t	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʝ	l	1.0
ʧ	t	1.0
b	v	0.721
j	j	0.551
w	-	0.181
ð	d	0.601
ɟ͡ʝ	p_l	0.761
ɾ	-	0.261
n	n	0.932
s	s	0.902
ˈu	ˈu	0.762
o	o	0.393
o	l	0.483
ɣ	-	0.133
ɾ	r	0.583
ˈa	ˈa	0.673
ˈo	ˈo_w	0.053
ˈo	w	0.13
θ	ʃ	0.383
k	ʨ	0.674
l	l	0.924
n	<#_f	0.064
o	-	0.124
ɾ	e	0.124
ˈi	ˈi	0.904
β	-	0.344
θ	ʧ	0.194
a	-	0.155
a	a	0.835
j	-	0.25
θ	ʨ	0.195
e	j	0.16
k	k	0.326
l	-	0.076
x	ʒ	0.106
ˈe	ˈe_j	0.106
ˈe	ˈe	0.376
x	d	0.127
ɣ	ɡ	0.867
ˈa	ˈɛ	0.327
ˈo	w_ˈɛ	0.07
m	m	0.978
s	-	0.098
x	-	0.768
ˈu	ˈo	0.238
β	v	0.628
θ	ʒ	0.228
b	b	0.279
e	e	0.79
j	ˈi	0.199
w	w	0.819
ð	t	0.399
ɟ͡ʝ	l	0.239
ˈe	ˈɔ	0.099
ˈe	-	0.129
ˈe	ˈɛ	0.289
ˈo	ˈɛ	0.059
ˈo	ˈɔ	0.159
ˈo	ˈo	0.529
