Nynorsk Norwegian	Swabian	probability
ˈœʏ̯	-	1.0
ˈœ_l	l	1.0
ˈœ	ˈu	1.0
ˈæː	ˈɛ	1.0
ˈæ	ˈɛ	1.0
ˈeː_t	ˈɛ_s	1.0
ʰkː	ŋ_ɡ	1.0
ɾ_t	ʕ_ʦ	1.0
ɾ_n	ʕ_n	1.0
ɲ	ŋ	1.0
ɡː	ɡ	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ə_ɾ	ʌ	1.0
ə	-	1.0
ŋː	ŋ	1.0
ŋ	ɡ	1.0
v	ʋ	1.0
tː	ʦ	1.0
t	s	1.0
sː	n_s	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
s_e	s	1.0
pʰ	b̥͡f	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kʰ_ʋ	ʋ	1.0
kʰ	kʰ	1.0
jː	ɡ	1.0
h	h	1.0
f	f	1.0
e_ɾ	ʌ	1.0
e_n	eə̯	1.0
e	-	1.0
d	d	1.0
b	b	1.0
ɑ	a	0.919
ˈæɪ̯	ˈɔe̯	0.813
ˈʉ	ˈo	0.803
ˈɑ	ˈa	0.797
k	ç	0.797
ʂ	ʃ	0.726
ˈɛ	ˈɛ	0.635
ˈeː	ˈɛː	0.613
tʰ	d	0.606
ˈʉː	ˈao̯	0.603
ˈuː	ˈuə̯	0.594
s	s	0.591
lː	l_d	0.585
p	f	0.568
ʋ	ʋ	0.566
nː	n	0.551
ˈøː	-	0.511
ˈæʉ̯	ˈao̯	0.51
ç	-	0.509
ˈyː	ˈəi̯	0.508
j	-	0.501
ˈʊ	ˈo	0.5
j	ɡ	0.499
ç	d	0.491
ˈæʉ̯	ˈoː_d	0.49
ˈiː	ˈəi̯	0.486
ˈɑː	ˈaː	0.478
p	-	0.432
n	-	0.429
ʰtː	x_d	0.418
lː	l	0.415
s	ʃ	0.409
tʰ	ʦ	0.394
ˈeː	-	0.387
ˈoː	ˈɔː	0.384
n	n	0.347
ˈɪ	-	0.338
ɾ	ʕ	0.336
ʰtː	s	0.334
ɾ	ʁ	0.325
ˈʏ	ˈu	0.323
ˈiː	ˈi	0.317
ˈɔ	ˈo	0.291
ˈyː	ˈiː	0.286
ˈʏ	ˈɪ	0.282
nː	n_d	0.282
ʂ	s	0.274
ˈɑː	ˈa_d	0.273
ˈʊ	ˈɔ	0.271
ʋ	b	0.271
ɾ	ʌ	0.27
ˈɔ	-	0.257
ˈɑː	ˈa	0.249
ˈʉː	ˈiə̯	0.248
ˈɪ	ˈi	0.247
ʰtː	d	0.247
ˈøː	ˈiə̯	0.246
ˈøː	ˈuə̯	0.243
ˈɪ	ˈe	0.236
ˈʏ	ʋ	0.234
ˈɔ	ˈoː	0.233
ˈʊ	i	0.229
n	a	0.224
ˈuː	ˈuː	0.221
ˈɔ	ˈi	0.22
ˈoː	-	0.208
ˈyː	ˈiə̯	0.206
k	x	0.203
ˈʉ	-	0.197
ˈiː	ˈae̯	0.197
ˈæɪ̯	-	0.187
ˈuː	ˈɔə̯	0.185
ˈɪ	ˈɪ	0.18
ˈoː	ˈo	0.18
nː	d	0.168
ʋ	f	0.162
ˈʏ	-	0.161
ˈʉː	-	0.149
ˈɛ	ˈae̯	0.135
ˈɛ	ˈa	0.133
ˈɑ	ˈɛ	0.119
ˈoː	ˈeː	0.114
ˈoː	ˈaː	0.114
ˈɛ	ˈe	0.096
ˈɑ	ˈaː	0.084
ɑ	-	0.071
