Yiddish	Swabian	probability
b	b	0.917
b	-	0.083
d	d	0.925
d	-	0.075
f	f	1.0
h	h	1.0
j	j	1.0
k	ɡ	0.562
k	kʰ	0.414
l	l	1.0
m	m	0.979
n	n	0.467
n	a	0.34
n	-	0.094
n	m	0.094
p	b̥͡f	0.582
p	p͡f	0.273
p	b	0.145
s	s	0.792
s	ʃ	0.208
t	d	0.916
t	t	0.084
v	ʋ	0.96
z	s	1.0
ŋ	ŋ	0.918
ŋ	a	0.082
ə	ʌ	0.667
ə	a	0.293
ɛ	-	0.704
ɛ	a	0.296
ɡ	ɡ	0.985
ɪ	ɪ	0.559
ɪ	i	0.321
ɪ	-	0.12
ʀ	ʁ	0.473
ʀ	ʕ	0.434
ʀ	ʌ	0.059
ʁ	-	0.659
ʁ	ʁ	0.341
ʃ	ʃ	1.0
ʎ	l	1.0
ʦ	ʦ	1.0
ʧ	ʃ	1.0
ˈa	ˈa	0.825
ˈa	ˈʌ	0.057
ˈa	ˈɔː	0.056
ˈaɪ̯	ˈəi̯	0.718
ˈaɪ̯	ˈae̯	0.282
ˈi	ˈi	1.0
ˈɔ	ˈɔː	0.312
ˈɔ	ˈaː	0.225
ˈɔ	ˈo	0.158
ˈɔ	ˈɔ	0.142
ˈɔ	ˈa	0.082
ˈɔ	ˈoː	0.081
ˈɔɪ̯	ˈao̯	0.546
ˈɔɪ̯	ˈoː	0.374
ˈɔɪ̯	ˈae̯	0.081
ˈɛ	ˈɛ	0.492
ˈɛ	ˈeː	0.234
ˈɛ	ˈɛː	0.124
ˈɛ	ˈeə̯	0.078
ˈɛɪ̯	ˈɔe̯	0.772
ˈɛɪ̯	ˈeː	0.191
ˈɪ	ˈi	0.302
ˈɪ	ˈɪ	0.179
ˈɪ	ˈe	0.171
ˈɪ	ˈiː	0.065
ˈɪ	ˈiə̯	0.061
ˈɪ	ˈeː	0.058
ˈɪ	ˈɛ	0.058
ˈɪ	ˈʌ	0.05
ˈʊ	ˈo	0.502
ˈʊ	ˈuə̯	0.185
ˈʊ	ˈoː	0.095
ˈʊ	ˈu	0.082
ˈʊ	ˈɔə̯	0.068
χ	ç	0.544
χ	x	0.456
