Neapolitan	Occitan	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_j	<#_ʤ	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_w	<#_ɥ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʤ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈi	<#_ˈe	1.0
a_l	a_l	1.0
e	e	1.0
j_ə_#>	s_#>	1.0
k_j	l	1.0
kː	k_ɔ	1.0
l	l	1.0
lː	l	1.0
lː_ə	l_#>	1.0
m	m	1.0
mː	-	1.0
mː_ə	m_#>	1.0
n_t	n_#>	1.0
n_t_ə	n_#>	1.0
nː	n	1.0
o	u	1.0
rː	r	1.0
s	s	1.0
s_t	s_t	1.0
t_ˈa	t_ˈa	1.0
tː	ʧ	1.0
ŋ_k	ŋ_k	1.0
ŋ_ɡ	ŋ_k	1.0
ə_l	e_l	1.0
ə_n	e_n	1.0
ɡ	ɣ	1.0
ɡ_w	ɡ	1.0
ɲː	ɲ	1.0
ɾ_n	r	1.0
ɾ_t	r_t	1.0
ʃ_ə	ʦ_#>	1.0
ʤː	ʤ	1.0
ʦː_ə	ʦ_#>	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_t	ˈa_j	1.0
ˈa_tː	ˈa_t	1.0
ˈa_ɾ	ˈa	1.0
ˈi_#>	ˈi_#>	1.0
ˈi_kː	ˈe_k	1.0
ˈi_n	ˈi	1.0
ˈo	ˈu	1.0
ˈo_n	ˈu	1.0
ˈo_ɾ	ˈu	1.0
ˈu_kː_j	ˈu_l	1.0
ˈu_n	ˈu	1.0
ˈu_ɾ	ˈy	1.0
ˈɔ_kː	ˈɛ	1.0
ˈɔ_n	n	1.0
ˈɛ	ˈɛ	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈɛ_ɾ	ˈɛ	1.0
<#	<#_b	0.111
<#	<#_ˈa	0.111
<#	<#_d	0.111
k	-	0.111
k	s_k	0.111
k	k	0.611
t	ʤ	0.1
u	-	0.231
ə_#>	e_#>	0.1
ʎː	ʎ	0.571
<#	<#_a	0.222
a	a	0.812
n	n_ɔ	0.222
r	ɾ	0.692
ə_#>	#>	0.622
ɾ	ɾ	0.512
<#_ʃ	<#_e	0.353
n	n	0.333
v	w_ɾ	0.143
v	v	0.143
w	-	0.273
w	w	0.273
w_ˈɔ	ˈɔ	0.833
ə_#>	ɔ_#>	0.263
ʃ	s	0.333
ʃ	z	0.333
ʃ	-	0.333
ʃː	s	0.333
ˈa	ˈa	0.93
ˈe	ˈe_j	0.143
n	-	0.444
u	y	0.154
v	β	0.214
ˈi	ˈi	0.724
ˈu	ˈy	0.4
<#_v	<#_b	0.15
<#_v	<#_v	0.85
d	ʤ	0.5
d	t	0.5
i	-	0.235
j	ʤ	0.25
j	l	0.75
j_ˈɛ	j_ˈɛ	0.25
j_ˈɛ	ˈɛ	0.75
p	s_p	0.25
sː	s	0.5
sː	l	0.5
t	t	0.35
t	ð	0.55
u	u	0.615
v	w	0.5
w	ˈu	0.455
ə	j	0.25
ə	-	0.75
ə_ɾ	d_ɾ	0.25
ə_ɾ	e	0.375
ə_ɾ	ɾ	0.375
ˈu_tː	ˈu_t	0.5
ˈu_tː	ˈy_ʧ	0.5
ˈɔ	-	0.095
ˈɔ	w	0.095
i	i	0.176
ˈi	ˈe	0.276
ˈu	ˈu	0.6
<#	<#_e	0.167
<#_ʃ	<#_s	0.647
k	ɣ	0.167
p	s	0.167
p	p	0.167
p	β	0.417
w_ˈɔ	ɥ_ˈɔ	0.167
ʃː	j_s	0.667
ˈa	-	0.07
<#	<#_p	0.278
a	-	0.188
i	e	0.588
r	r	0.308
ˈe	ˈɛ	0.238
ɾ	-	0.209
ɾ	r	0.279
ʎː	l	0.429
ˈe	ˈe	0.619
ˈɔ	ɥ_ˈɛ	0.19
ˈɔ	ˈa_w	0.19
ˈɔ	ˈɔ	0.429
