Franco-Provençal	Italian	probability
a	a	0.888
a	-	0.063
b	b	0.91
d	d	0.92
e	-	0.751
e	a	0.162
e	e	0.087
eː	e	0.553
eː	-	0.354
eː	a	0.092
f	f	0.868
f	v	0.06
i	a	0.691
i	i	0.202
i	o	0.107
ĩ	ŋ	0.795
ĩ	m	0.205
j	j	0.304
j	-	0.292
j	ˈa	0.162
j	ˈɛ	0.072
j	o	0.064
j	ˈi	0.057
k	k	0.861
k	s_k	0.104
l	l	0.508
l	lː	0.301
l	j	0.13
m	m	0.793
m	nː	0.089
m	i_m	0.069
n	n	0.909
n	-	0.052
o	o	0.764
o	e	0.106
o	a	0.096
oː	w	1.0
p	p	1.0
s	s	0.558
s	ʧ	0.218
t	t	0.443
t	tː	0.171
t	s_t	0.15
t	kː	0.11
t	ʃː	0.06
u	ˈu	0.652
u	u	0.214
u	o	0.134
v	v	0.685
v	p	0.293
w	ˈɔ	0.348
w	ˈo	0.217
w	ˈu	0.208
w	w	0.13
y	u	1.0
z	z	0.656
z	ʧː	0.275
ð	r	0.41
ð	ʤ	0.136
ð	d	0.12
ð	v	0.105
ð	ɡ	0.1
ð	ʤː	0.1
ɔ	o	0.452
ɔ	-	0.282
ɔ	ˈo	0.19
ɔ	a	0.076
ɔ̃	e	0.651
ɔ̃	o	0.349
ə	e	0.514
ə	a	0.372
ə	i	0.066
ɛ	i	1.0
ɛ̃	e	1.0
ɡ	ɡ	0.839
ɡ	kː	0.161
ɲ	ɲː	0.816
ɲ	n	0.184
ʁ	r	0.779
ʁ	e_r	0.097
ʁ	-	0.057
ʃ	k	0.513
ʃ	ʧ	0.212
ʃ	kː	0.108
ʃ	-	0.058
ʎ	ʎː	0.555
ʎ	kː	0.251
ʎ	j	0.128
ʒ	ʤ	0.521
ʒ	-	0.225
ʒ	j	0.118
ʒ	b	0.065
ʦ	ʦː	1.0
ˈa	ˈa	0.779
ˈa	ˈɔ	0.121
ˈa	a	0.085
ˈe	ˈi	0.31
ˈe	e	0.261
ˈe	a	0.137
ˈe	-	0.101
ˈe	ˈe	0.084
ˈe	o	0.054
ˈeː	ˈe	0.571
ˈeː	ˈa	0.183
ˈeː	ˈɛ	0.102
ˈeː	ˈi	0.096
ˈi	ˈi	0.613
ˈi	ˈe	0.15
ˈi	ˈɛ	0.131
ˈi	o	0.053
ˈĩ	ˈi	0.55
ˈĩ	ˈa	0.45
ˈo	ˈɔ	0.359
ˈo	ˈo	0.355
ˈo	ˈu	0.218
ˈo	ˈe	0.068
ˈoː	ˈɔ	0.621
ˈoː	ˈo	0.153
ˈoː	ˈa	0.152
ˈu	ˈɔ	0.428
ˈu	ˈu	0.393
ˈu	ˈo	0.132
ˈy	ˈo	1.0
ˈø	ˈɔ	0.38
ˈø	ˈo	0.289
ˈø	-	0.118
ˈø	o	0.112
ˈø	ˈu	0.079
ˈɑ̃	ˈa	0.793
ˈɑ̃	nː	0.207
ˈɔ	ˈa	0.548
ˈɔ	w	0.151
ˈɔ	ˈo	0.115
ˈɔ	ˈu	0.058
ˈɔ	ˈe	0.054
ˈɔ̃	ˈu	0.527
ˈɔ̃	ˈo	0.378
ˈɔ̃	w	0.095
ˈɛ	ˈɛ	0.405
ˈɛ	-	0.252
ˈɛ	ˈe	0.104
ˈɛ	ˈa	0.097
ˈɛ	e	0.065
ˈɛː	ˈe	0.884
ˈɛː	ˈa	0.116
ˈɛ̃	ˈɛ	0.453
ˈɛ̃	n	0.185
ˈɛ̃	ˈa_n	0.172
ˈɛ̃	ɲː	0.158
