Lower Sorbian	Kashubian	probability
ˈɨ	ˈə	1.0
ˈa_#>	ˈa_#>	1.0
ʨ	ʦ	1.0
ʑ	ʣ	1.0
ʐ	ʒ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
z	z	1.0
x	x	1.0
w	w	1.0
v_ˈɛ	u̯ˈɛ	1.0
v	v	1.0
t	t	1.0
s	s	1.0
rʲ	ʐ	1.0
r_ˈɔ	ˈa_r	1.0
r	r	1.0
p	p	1.0
n	n	1.0
mʲ	m_j	1.0
j	j	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈɔ	<#_u̯ˈɛ	1.0
k	k	0.87
l	l	0.867
ɨ	i	0.857
ɕ	ʦ	0.857
m	m	0.75
vʲ	v	0.667
i	i	0.667
ʦ	ʦ	0.625
ˈɔ	ˈɔ	0.611
ˈɛ	u̯ˈɛ	0.6
pʲ	p_j	0.6
ɔ	ɔ	0.533
ˈu	ˈõ	0.5
ˈu	w_ˈʉ	0.5
ˈi	ˈə	0.5
ˈi	ˈi	0.5
ˈe	ˈɛ	0.5
ˈa	ˈɛ	0.5
ʂ	ʃ	0.5
ʂ	r	0.5
kʲ	ʧ	0.5
kʲ	ʤ	0.5
e	ɛ	0.5
e	a_ŋ	0.5
pʲ	p	0.4
ʦ	ʧ	0.375
ˈa	ˈɞ	0.357
ˈɪ	ˈa	0.333
ɔ	u̯ɛ	0.333
vʲ	v_j	0.333
i	ə	0.333
ˈe	ˈe	0.3
ˈɔ	ˈu	0.278
m	ə	0.25
ˈɪ	ˈa_ŋ	0.222
ˈɛ	ˈɛ	0.2
ˈɛ	ˈu	0.2
ˈe	j	0.2
ˈɪ	ˈe	0.167
ˈɪ	j_ˈɞ	0.167
ˈa	ˈa	0.143
ɨ	m	0.143
ɕ	ʂ	0.143
ɔ	ɛ	0.133
l	w	0.133
k	x	0.13
ˈɪ	j	0.111
ˈɔ	ˈɛ	0.111
