Italian	Franco-Provençal	probability
b	b	1.0
f	f	1.0
lː	l	1.0
sː	-	1.0
u	-	1.0
z	-	1.0
ŋ	-	1.0
ɲː	ɲ	1.0
ʎː	ʎ	1.0
ʧː	s	1.0
e	o	0.051
n	-	0.381
o	ˈe	0.111
ˈa	ˈɛː	0.061
ˈu	ˈu	0.171
ˈɛ	ˈe	0.451
d	d	0.42
e	ə	0.572
k	-	0.262
o	ˈoː	0.072
p	v	0.232
s	s	0.742
ʤ	ð	0.952
ˈo	ˈɔ	0.32
a	ə	0.243
i	ə	0.343
j	ʎ	0.093
j	j	0.333
kː	-	0.943
l	l	0.693
m	m	0.813
ɡ	-	0.573
ˈa	ˈaː	0.163
ˈe	-	0.113
ˈe	ˈɛ	0.233
ˈi	ˈi	0.403
ˈo	ˈo	0.183
ˈɔ	w	0.303
a	a	0.714
k	k	0.34
t	t	0.44
tː	-	0.434
w	-	0.934
ʧ	-	0.304
ˈa	ˈɑ̃	0.154
ˈa	ˈa	0.354
ˈo	w	0.14
ˈu	ˈo	0.324
ˈɛ	ˈi	0.104
e	ˈe	0.185
o	ˈɛ̃	0.125
p	p	0.735
r	ð	0.335
v	f	0.055
ˈɔ	ˈo	0.085
ˈɔ	ˈoː	0.35
ˈɛ	-	0.065
j	l	0.356
t	-	0.56
tː	t	0.566
v	v	0.816
w	w	0.066
ʧ	s	0.696
i	-	0.657
j	-	0.217
kː	t	0.057
l	-	0.307
m	-	0.187
r	ʁ	0.497
ɡ	ɡ	0.427
ˈe	ˈɛː	0.607
ˈi	ˈe	0.597
ˈu	w	0.357
d	-	0.58
k	ʃ	0.398
o	ˈu	0.158
r	-	0.168
s	-	0.258
v	-	0.128
ˈa	ˈe	0.08
ˈo	ˈø	0.058
ˈu	ˈɔ̃	0.148
ˈɔ	ˈø	0.168
ˈɛ	ˈɛ	0.38
e	-	0.159
n	n	0.619
o	ˈø	0.069
o	o	0.419
ˈa	ˈɑː	0.069
ˈa	-	0.119
ˈo	ˈoː	0.299
