Štokavian	Bulgarian	probability
âː	ˈa	1.0
ǎ	ɐ	1.0
eː	ɛ	1.0
ě	ɛ	1.0
ěː	ˈɛ	1.0
î	ˈi	1.0
îː	ˈi	1.0
ǐː	i	1.0
j	-	1.0
k	k	1.0
n	n	1.0
ôː	ˈɔ	1.0
p	p	1.0
r	r	1.0
r̩̂	r	1.0
r̩̂ː	r	1.0
r̩̂	r	1.0
s	s	1.0
û	ˈɤ	1.0
x	x	1.0
z	z	1.0
ɲ	n	1.0
ʎ	lʲ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
a	ɛ	0.151
a	ˈa	0.391
e	ˈɛ	0.571
i	ˈi	0.231
l	l	0.241
ʒ	ʒ	0.831
â	ˈa	0.822
ê	ˈa	0.392
ûː	ˈɤ	0.642
l	lʲ	0.053
o	ɫ	0.203
o	ˈɔ	0.293
d	t	0.14
êː	ˈɛ	0.294
i	ɐ	0.434
o	o	0.504
ô	ˈɔ	0.614
ǒ	o	0.864
ɡ	k	0.204
b	p	0.475
b	b	0.525
i	i	0.335
m	m_ˈɤ	0.075
ûː	ˈɤ_ɫ	0.25
ʋ	-	0.335
ʋ	v	0.665
d	d	0.86
êː	ˈa	0.706
ô	o	0.386
ǒ	ˈɔ	0.136
t	-	0.106
t	t	0.86
ɡ	ɡ	0.796
l	ɫ	0.707
a	ɐ	0.458
â	ˈɤ	0.178
ê	ˈɛ	0.608
m	m	0.888
ûː	ˈu	0.108
e	ɛ	0.429
ʒ	ʃ	0.169
