West Flemish	Saterland Frisian	probability
b	b	0.95
d	d	0.654
d	t	0.189
d	-	0.157
f	f	0.709
f	v	0.153
f	x	0.078
f	m	0.059
h	x	0.644
h	k	0.356
iə̯	i	1.0
j	j	1.0
k	k	0.807
k	-	0.147
l	l	1.0
m	m	0.979
n	n	0.663
n	ə	0.223
n	j_ə	0.067
p	p	0.946
p	d	0.054
s	s	0.87
s	z	0.09
t	t	0.725
t	d	0.226
v	f	0.747
v	v	0.151
v	ɣ	0.073
w	l	0.884
w	-	0.116
z	s	0.912
z	z	0.054
ç	x	1.0
ŋ	ŋ	0.902
ŋ	x	0.098
ə	ə	0.821
ə	-	0.085
ɦ	ɣ	0.647
ɦ	j	0.188
ɦ	h	0.051
ɦ	-	0.051
ɪ	ɪ	1.0
ɾ	r	0.86
ɾ	-	0.121
ʃ	s	1.0
ʋ	v	0.861
ʋ	w	0.077
ˈeː	ˈeː	0.394
ˈeː	ˈoː	0.175
ˈeː	ˈi	0.087
ˈeː	j	0.072
ˈeː	ˈaː	0.072
ˈeː	ˈeːu̯	0.072
ˈeː	ˈiːu̯	0.072
ˈeː	ˈiː	0.058
ˈi	ˈi	0.819
ˈi	ˈiː	0.143
ˈiə̯	j	0.57
ˈiə̯	ˈyː	0.115
ˈiə̯	ˈɛɪ̯	0.104
ˈiə̯	ˈiː	0.073
ˈiə̯	ˈɪ	0.059
ˈoː	ˈoː	0.397
ˈoː	ˈoːu̯	0.247
ˈoː	ˈuː	0.127
ˈoː	ˈeː	0.107
ˈoː	ˈœː	0.054
ˈu	ˈʊ	0.418
ˈu	ˈuː	0.165
ˈu	ˈoː	0.13
ˈu	j	0.085
ˈu	ˈoːu̯	0.085
ˈu	ˈu	0.075
ˈuə̯	ˈoːu̯	0.391
ˈuə̯	ˈɛɪ̯	0.362
ˈuə̯	ˈuː	0.174
ˈuə̯	ˈu	0.073
ˈyː	ˈuː	0.907
ˈyː	ˈyː	0.093
ˈæ	ˈɛː	0.233
ˈæ	ˈɛ	0.149
ˈæ	-	0.141
ˈæ	ˈaː	0.131
ˈæ	ˈa	0.115
ˈæ	ˈiː	0.109
ˈøː	ˈuː	0.579
ˈøː	ˈɔː	0.331
ˈøː	ˈoː	0.09
ˈœ	ˈʊ	0.531
ˈœ	ˈɛː	0.239
ˈœ	ˈɔ	0.115
ˈœ	ˈiː	0.115
ˈɑ	ˈoːu̯	0.319
ˈɑ	ˈɔː	0.2
ˈɑ	ˈoː	0.115
ˈɑ	ˈɛː	0.093
ˈɑ	ˈa	0.085
ˈɑ	ˈaː	0.051
ˈɑ	ˈɛ	0.051
ˈɒː	ˈoː	0.253
ˈɒː	ˈiː	0.251
ˈɒː	ˈɔː	0.101
ˈɒː	ˈʊ	0.091
ˈɒː	ˈɛː	0.082
ˈɒː	ˈɛɪ̯	0.072
ˈɒː	h_ˈɔː	0.07
ˈɒː	ˈoːu̯	0.05
ˈɔ	ˈɔː	0.288
ˈɔ	ˈoːu̯	0.184
ˈɔ	ˈɔ	0.121
ˈɔ	-	0.091
ˈɔ	ˈoː	0.082
ˈɔ	ˈʊ	0.08
ˈɔ	ˈeː	0.075
ˈɔ	ˈaːu̯	0.063
ˈɛ	ˈɪ	0.445
ˈɛ	ˈɛ	0.267
ˈɛ	ˈɔː	0.169
ˈɛ	ˈi	0.119
ˈɛː	ˈeː	0.596
ˈɛː	ˈɛɪ̯	0.187
ˈɛː	ˈaː	0.153
ˈɪ	ˈɪ	0.412
ˈɪ	ˈiː	0.288
ˈɪ	ˈʊ	0.116
ˈɪ	ˈɛː	0.095
ˈɪ	ˈɔː	0.09
