Swedish	Elfdalian	probability
ˈʊ	ˈʉ	1.0
ˈɪ	ˈɪ	1.0
ˈɔ_mː	m	1.0
ˈœː	ˈæː	1.0
ˈæ	-	1.0
ˈuː_r	r	1.0
ˈa_l	ˈɔː	1.0
ʊ	ʉ	1.0
ʈː	-	1.0
ɵ	-	1.0
ɳ	nː	1.0
ɪ	ɪ	1.0
ɡː	ɡː	1.0
ɡ_r	ɡ_r	1.0
ɖ	r_ð	1.0
ŋː	ŋ_ɡ	1.0
tʰ	tʰ	1.0
t	t	1.0
rː	-	1.0
pː	pː	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	nː	1.0
n_#>	#>	1.0
m	m	1.0
lː	lː	1.0
kʰ	kʰ	1.0
k_a	ʨ_ɑ	1.0
k	k	1.0
f	f	1.0
b	b	1.0
a_#>	#>	1.0
<#_h	<#	1.0
s	s	0.959
r	r	0.934
n	n	0.932
ˈɵ	ˈʉ	0.857
a	ɑ	0.837
ˈœ	-	0.778
ˈʏ	ˈʏ	0.75
ˈɑː	ˈɑː	0.75
ˈa	ˈɑ	0.737
ɡ	ɣ	0.714
ɛ	ɛ	0.714
ɕ	ʨ	0.714
ˈuː	ˈʉːə̯	0.692
l	ɽ	0.683
ŋ	ŋ	0.667
tː	tː	0.667
kː	kː	0.667
v	w	0.636
ˈæː	-	0.6
#>	ɡ_#>	0.571
ˈɛ	ˈɛ	0.565
d	d	0.545
ˈiː	ˈɪː	0.533
ˈɛː	-	0.5
ˈyː	ˈʏː	0.5
ˈyː	j_ˈʉːə̯	0.5
ˈeː	ˈiːe̯	0.5
ˈoː	ˈɔː	0.471
ˈiː	ˈɑːi̯	0.467
ɧ	s_ʨ	0.462
ˈɔ	ˈo	0.444
#>	ɑ_#>	0.429
d	ð	0.409
ˈʉː	ˈʉːə̯	0.4
ˈæː	ˈæː	0.4
j	j	0.389
ˈøː	ˈœː	0.368
v	v	0.364
ˈʉː	ˈɑːu̯	0.36
ˈeː	-	0.357
ˈoː	-	0.353
ˈɔ	ˈʉə̯	0.333
ŋ	ŋ_ɛ	0.333
tː	t	0.333
kː	-	0.333
ˈuː	ˈʉə̯	0.308
ɧ	s_j	0.308
ˈɛː	ˈɛː	0.3
ɡ	ɡ	0.286
ɛ	-	0.286
ɕ	tʰ_j	0.286
ˈøː	ˈyːœ̯	0.263
ˈʏ	ˈʉ	0.25
ˈɑː	-	0.25
ˈʉː	ˈʉː	0.24
ɧ	s	0.231
ˈɔ	-	0.222
ˈœ	ˈœː	0.222
ˈøː	-	0.211
ˈɛː	ˈæː	0.2
ˈoː	ˈoː	0.176
j	-	0.167
ˈøː	ˈoː	0.158
ˈa	-	0.158
l	-	0.146
ˈɵ	ˈʉː	0.143
ˈeː	ˈɪ	0.143
ˈɛ	ˈɪː	0.13
ˈɛ	j_ˈæ	0.13
l	l	0.122
a	ɔ	0.122
j	ʥ	0.111
j	ɽ_j	0.111
j	ɣ	0.111
j	d_j	0.111
ˈa	ˈo	0.105
ˈɛ	j	0.087
ˈɛ	-	0.087
n	-	0.068
