Piedmontese	Piedmontese	probability
ˈɛ_ŋ	ˈi_m	1.0
ˈy	ˈu	1.0
ˈi	ˈi	1.0
ʤ	ʤ	1.0
ɡ_#>	k_#>	1.0
ɡ	ɡ	1.0
ə	-	1.0
ŋ_#>	n_#>	1.0
ŋ	n	1.0
w	-	1.0
u	u	1.0
r_n	r_n	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j_t	p_t	1.0
i	i	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_f	<#	1.0
<#	<#_w	1.0
r	r	0.862
a	ə	0.808
<#_p	<#_p	0.778
t	t	0.769
l	l	0.737
ˈɔ	ˈo	0.714
ˈø	ˈo	0.667
s	s	0.63
p	p	0.6
e	i	0.6
ˈa	ˈa	0.545
ˈu	ˈu	0.533
z	ʦ	0.5
z	-	0.5
j_#>	k_ʎ_u_#>	0.5
j_#>	#>	0.5
j	ʎ	0.5
#>	i_#>	0.487
ˈe	ˈa	0.444
v	v	0.438
p	kʲ	0.4
e	ə	0.4
ˈɛ	ˈe	0.346
ˈø	o̯ˈa	0.333
ˈe	ˈe	0.333
v	-	0.312
ˈɔ	-	0.286
ˈɛ	ˈa	0.269
ˈu	o̯ˈa	0.267
#>	ə_#>	0.256
v	p	0.25
j	l	0.25
j	-	0.25
t	p_t	0.231
ˈa	ˈɔ	0.227
ˈe	e̯ˈa_w	0.222
<#_p	<#	0.222
#>	u_#>	0.205
ˈu	ˈo	0.2
a	-	0.192
s	ʦ	0.185
s	ʃ	0.185
l	ʎ	0.158
ˈɛ	ˈi	0.154
ˈa	ˈa_t	0.136
ˈɛ	e̯ˈa	0.115
ˈɛ	-	0.115
l	r_i	0.105
ˈa	ˈɔ_j	0.091
r	u	0.069
r	i	0.069
#>	k_#>	0.051
