Belarusian	Standard Croatian	probability
ʧ	ʧ	1.0
ʦ_a	ʦ_e	1.0
ʦ	ʦ	1.0
ʤ̥	d	1.0
ʣʲ	d	1.0
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ʌ	-	1.0
ʉ	uː	1.0
ʂ	ʃ	1.0
ɣʲ	ɡ	1.0
ɣ	ɡ	1.0
z̥	z	1.0
zʲ	z	1.0
z	z	1.0
w	-	1.0
v_u	u	1.0
t	t	1.0
sʲ_æ	s_eː	1.0
sʲ	s	1.0
s	s	1.0
r_ɨ	a_r	1.0
pʲ	p	1.0
p	p	1.0
n_ɨ	a_n	1.0
n	n	1.0
m	m	1.0
kʲ	k	1.0
k	k	1.0
i_ˈ	i	1.0
e_ˈ	e	1.0
d̥ʲ	d̥	1.0
d	d	1.0
b̥	b	1.0
bʲ	b	1.0
b	b	1.0
a_ʧ	ʨ	1.0
a_r	r_a	1.0
x	x	0.935
v	ʋ	0.929
ɫ	l	0.819
nʲ	n	0.818
ɨ	iː	0.785
mʲ	m	0.775
ˈ	̂	0.764
u	uː	0.728
a_ˈ	a	0.719
r	r	0.717
o_ˈ	̂	0.673
vʲ	ʋ	0.636
ɨ_ˈ	i_̂	0.586
ɛ	-	0.585
ʦʲ	t	0.571
ɵ	-	0.5
i	-	0.463
e	e	0.455
ʦʲ	t_i	0.429
ɛ	eː	0.415
a	a	0.405
lʲ	l_j	0.402
lʲ	l	0.366
vʲ	ʋ_j	0.364
i	i	0.342
o_ˈ	a	0.327
o	o	0.323
ɵ	r̩ː	0.32
o	oː	0.32
æ	eː	0.319
a_ˈ	a_̌	0.281
æ	-	0.274
u	u	0.272
ɨ_ˈ	i	0.271
æ	e_̌	0.265
lʲ	ʎ	0.233
mʲ	m_j	0.225
r	-	0.221
ɨ	-	0.215
e	j	0.197
i	iː	0.194
nʲ	ɲ	0.182
ɵ	eː	0.18
a	o_̌	0.175
ɨ_ˈ	̂	0.142
e	a	0.133
ɫ	-	0.13
o	uː	0.125
e	r̩	0.115
ˈ	-	0.112
e	-	0.1
æ	eː_̌	0.094
a	aː	0.09
o	aː	0.089
o	-	0.083
v	-	0.071
a	e	0.07
a	j_eː	0.068
ˈ	̌	0.067
a	-	0.067
x	ɡ̊	0.065
r	r̩_̂	0.062
o	a	0.06
a	o	0.057
ˈ	eː_̂	0.056
ɫ	o	0.051
