Aromanian	Aromanian	probability
ˈə	ˈi	1.0
ˈu_n	ˈɔ_n	1.0
ˈi_#>	ˈe_#>	1.0
ˈa_v	ˈɔ	1.0
ˈa_t	ˈa_d	1.0
ʧ	ʧ	1.0
ʤ	-	1.0
ʎ_u	j_o	1.0
ʎ_i	j_a	1.0
ʎ_#>	ʎː_o_#>	1.0
ʃ_ˈa	s_ˈɛ	1.0
ʃ_t	ʃː	1.0
ɲ_ˈi	ˈi	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ç	f	1.0
z	-	1.0
w_ə	v_e	1.0
v	v	1.0
t_#>	t_o_#>	1.0
s_i	s_e	1.0
r_ˈa	r_a	1.0
r_u	r_o	1.0
r_#>	l_o_#>	1.0
p_ˈu	p_ˈo	1.0
p_t	tː	1.0
n_ˈa	n_ˈa	1.0
n_#>	n_o_#>	1.0
m_t	n_t	1.0
l_#>	lː_o_#>	1.0
k_u	k_o	1.0
k_r	k_r	1.0
k_e̯ˈa	p_ˈɛ	1.0
k_#>	ɡ_o_#>	1.0
j_#>	#>	1.0
i_#>	#>	1.0
e	e	1.0
d	d	1.0
a_ʤ	a_j	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʧ	1.0
<#_ʤ	<#_ʤ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_r	<#_r	1.0
<#_a	<#	1.0
ˈa	ˈa	0.897
#>	o_#>	0.852
ˈɨ	ˈa	0.846
p	p	0.846
f	f	0.846
i_r	e_r	0.818
u	o	0.8
ə	a	0.797
t	t	0.778
m	m	0.774
e̯ˈa	ˈe	0.762
i	e	0.744
r	r	0.742
s	s	0.72
n	n	0.69
ɲ	m	0.667
j	v	0.667
ˈe	ˈɛ	0.611
k	k	0.609
ʃ	s	0.6
l	j	0.6
ˈi	ˈi	0.529
o̯ˈa	ˈɔ	0.5
b	b	0.5
a	a	0.5
ʦ	-	0.474
ʣ	ʤ	0.467
ˈu	ˈu	0.433
ʣ	d	0.4
ʃ	sː	0.4
l	l	0.4
ˈo	ˈɔ	0.389
<#	<#_v	0.375
<#	<#_k	0.375
ʦ	ʧ	0.368
ˈu	ˈo	0.367
ˈo	ˈo	0.333
ɲ	ɲː	0.333
o̯ˈa	ˈo	0.312
b	b_w	0.286
ˈe	ˈe	0.278
ʎ	ʎː	0.25
ʎ	l	0.25
ʎ	j	0.25
ʎ	-	0.25
a	ˈa	0.25
a	-	0.25
<#	<#_a	0.25
ˈi	ˈɛ	0.235
k	kː	0.217
b	-	0.214
s	-	0.2
o̯ˈa	-	0.188
i_r	r	0.182
ˈo	w_ˈɔ	0.167
j	j	0.167
j	-	0.167
m	-	0.161
ʦ	ʧː	0.158
ˈɨ	-	0.154
p	-	0.154
f	-	0.154
t	tː	0.148
i	i	0.146
e̯ˈa	ˈɛ	0.143
r	l	0.136
ˈu	ˈɔ	0.133
u	e	0.12
n	-	0.119
ˈi	ˈe	0.118
ˈi	-	0.118
ˈo	-	0.111
ˈe	-	0.111
ˈa	ˈɛ	0.103
e̯ˈa	ˈa	0.095
ə	e	0.085
u	u	0.08
s	sː	0.08
t	-	0.074
#>	e_#>	0.074
#>	a_#>	0.074
n	ŋ	0.071
n	nː	0.071
ə	o	0.068
ˈu	-	0.067
ʣ	ʣː	0.067
ʣ	ʣ	0.067
m	mː	0.065
k	ɡ	0.065
k	p	0.065
ə	-	0.051
