Afrikaans	American English	probability
b	b	0.982
d	d	0.61
d	θ	0.334
d	ð	0.056
d̥	d	0.568
d̥	θ	0.208
d̥	ɫ_d	0.197
f	f	0.817
f	v	0.136
i	i	1.0
j	j	0.644
j	-	0.244
j	ˈaʊ̯	0.112
k	k	0.313
k	-	0.252
k	kʰ	0.244
k	ʧ	0.184
m	m	0.983
n	n	0.895
n	-	0.105
p	p	0.809
p	pʰ	0.17
r	ɹ	0.594
r	ɚ	0.214
r	-	0.096
r	ð_ɚ	0.082
s	s	0.745
s	ʃ	0.169
s	z	0.061
t	ʔ	0.461
t	tʰ	0.208
t	t	0.191
t	ɾ	0.063
t	-	0.058
v	w	0.906
v	v	0.069
v̥	v	0.699
v̥	f	0.301
w	w	0.751
w	ˈu	0.128
w	ˈɔ	0.079
ŋ	ŋ	0.889
ŋ	-	0.111
ə	ɚ	0.48
ə	-	0.17
ə	ə	0.146
ə	i	0.103
ə	ɡ_ɚ	0.053
ɡ̊	-	1.0
ɦ	h	1.0
ɫ	ɫ	0.96
ˈa	ˈæ	0.465
ˈa	ˈɑ	0.142
ˈa	ˈeɪ̯	0.09
ˈa	ˈu	0.081
ˈa	ˈɔ	0.065
ˈa	-	0.056
ˈi	ˈi	0.428
ˈi	ˈɛ	0.181
ˈi	ˈaɪ̯	0.115
ˈi	ˈu	0.09
ˈi	ˈɪ	0.068
ˈi	ˈɔ	0.054
ˈoːɪ̯	ˈɛ	1.0
ˈu	ˈi	0.436
ˈu	ˈʊ	0.152
ˈu	ˈʌ	0.146
ˈu	ˈu	0.122
ˈu	-	0.093
ˈu	ˈaʊ̯	0.052
ˈyː	ˈaʊ̯	0.555
ˈyː	ˈaɪ̯	0.271
ˈyː	ˈi	0.174
ˈæ	ˈɝ	0.295
ˈæ	ˈɛ	0.228
ˈæ	ˈɔ	0.16
ˈæ	ə	0.098
ˈæ	ˈaɪ̯	0.098
ˈæ	ˈɪ	0.074
ˈæː	ˈɑ	0.501
ˈæː	ˈæ	0.38
ˈæː	ˈɝ	0.119
ˈœ	ˈɪ	0.628
ˈœ	ˈɝ	0.306
ˈœ	ˈʌ	0.066
ˈœu̯	ˈoʊ̯	0.647
ˈœu̯	ˈu	0.168
ˈœu̯	ˈɑ	0.15
ˈœɪ̯	ˈaʊ̯	0.53
ˈœɪ̯	ˈʌ	0.393
ˈœɪ̯	ˈaɪ̯	0.077
ˈɑː	ˈi	0.251
ˈɑː	ˈeɪ̯	0.234
ˈɑː	ˈɛ	0.147
ˈɑː	ˈɑ	0.088
ˈɑː	ˈoʊ̯	0.084
ˈɑː	ˈʌ	0.084
ˈɑː	-	0.068
ˈɔ	ˈʌ	0.563
ˈɔ	-	0.115
ˈɔ	ˈɑ	0.068
ˈɔ	ˈu	0.063
ˈɔ	ˈaʊ̯	0.057
ˈɔ	ˈʊ	0.056
ˈɔː	-	0.549
ˈɔː	ˈeɪ̯	0.451
ˈə	ˈɪ	0.641
ˈə	ˈaɪ̯	0.191
ˈə	ˈʌɪ̯	0.115
ˈə	ˈɔ	0.053
ˈəɪ̯	ˈaɪ̯	0.357
ˈəɪ̯	ˈoʊ̯	0.29
ˈəɪ̯	ˈu	0.108
ˈəɪ̯	ˈi	0.103
ˈəɪ̯	ˈʌɪ̯	0.067
ˈɛ	ˈɛ	0.656
ˈɛ	ˈɪ	0.344
ˈɛː	ˈaɪ̯	0.391
ˈɛː	ˈeɪ̯	0.391
ˈɛː	ˈæ	0.219
ˈɪ	ˈɛ	0.569
ˈɪ	ˈi	0.431
ˈɪø̯	ˈʌ	0.845
ˈɪø̯	ˈoʊ̯	0.155
ˈɪə̯	ˈɛ	0.435
ˈɪə̯	ˈoʊ̯	0.251
ˈɪə̯	ˈi	0.098
ˈɪə̯	ˈeɪ̯	0.076
ˈɪə̯	ˈɪ	0.064
ˈʊə̯	ˈi	0.357
ˈʊə̯	ˈɔ	0.181
ˈʊə̯	-	0.125
ˈʊə̯	ˈʌ	0.089
ˈʊə̯	ˈɛ	0.089
ˈʊə̯	ˈoʊ̯	0.07
χ	ʤ	0.29
χ	ɡ	0.286
χ	ʔ	0.126
χ	-	0.097
χ	f	0.09
χ	j	0.06
χ	k	0.051
