Kashubian	Lower Sorbian	probability
ˈɛ_d	ˈa_d	1.0
ˈɔ	ˈɔ	1.0
ˈõ	ˈu	1.0
ˈi	ˈi	1.0
ˈa_ŋ	ˈɪ	1.0
ˈa_t	ˈɪ_t	1.0
ˈa_r	r_ˈɔ	1.0
ʧ_i	kʲ_i	1.0
ʦ	ʦ	1.0
ʤ	kʲ	1.0
ʣ	ʑ	1.0
ʐ	rʲ	1.0
ʃ	ʂ	1.0
ɲ_#>	ɲ_#>	1.0
ɡ	ɡ	1.0
ə	i	1.0
ɔ_#>	ɔ_#>	1.0
z	z	1.0
w_ˈɔ	w_ˈɔ	1.0
v_j	vʲ	1.0
v	v	1.0
u̯ˈɛ	ˈɛ	1.0
u̯ɛ_#>	ɔ_#>	1.0
t_#>	t_#>	1.0
t	t	1.0
s_ʦ	s_ʨ	1.0
s_#>	s_#>	1.0
s	s	1.0
p_#>	p_#>	1.0
n	n	1.0
m_ə	ɨ_m	1.0
m_j	mʲ	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɞ	ˈɪ	1.0
d	d	1.0
b	b	1.0
a_ŋ	e	1.0
a_#>	a_#>	1.0
<#_ʧ	<#_ʦ	1.0
<#_ʦ	<#_ɕ	1.0
<#_ʣ	<#_ʑ	1.0
<#_ʒ	<#_ʐ	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_z	1.0
<#_w_ˈʉ	<#_ˈu	1.0
<#_v_j	<#_vʲ	1.0
<#_u̯ˈɛ	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p_j	<#_pʲ	1.0
<#_n	<#_n	1.0
<#_m_j	<#_mʲ	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#	<#_v	1.0
w	w	0.867
i_#>	ɨ_#>	0.857
ʦ_#>	ɕ_#>	0.833
r	r	0.75
ˈɞ	ˈa	0.714
ˈu	ˈɔ	0.714
ˈə	ˈɨ	0.667
<#_v	<#_vʲ	0.6
x	x	0.571
ˈe	ˈɪ	0.5
ˈe	ˈe	0.5
<#_p	<#_pʲ	0.5
<#_p	<#_p	0.5
x	k	0.429
ˈa	ˈɪ	0.4
ˈa	ˈa	0.4
<#_v	<#_v	0.4
ˈɛ	ˈe	0.357
ˈɛ	ˈa	0.357
ˈə	ˈi	0.333
ɛ	ɛ	0.333
ɛ	ɔ	0.333
ɛ	e	0.333
ˈɞ	ˈe_l	0.286
ˈu	ˈɛ	0.286
r	ʂ	0.25
ˈa	-	0.2
ʦ_#>	ʦ_#>	0.167
ˈɛ	ˈɛ	0.143
ˈɛ	ˈɔ	0.143
i_#>	i_#>	0.143
w	-	0.133
