Upper Franconian	Upper Franconian	probability
ˈɛː	-	1.0
ˈɛ_ɐ	ˈaː	1.0
ˈɘ	-	1.0
ˈɒː	ˈɒː	1.0
ˈuː_#>	#>	1.0
ˈaː_#>	ˈae̯_n_#>	1.0
ˈaʊ̯	ˈuː	1.0
ˈaɪ̯_d̥	ˈiː_d̥	1.0
ˈa	ˈaː	1.0
ɾ	ɾ	1.0
ɪ	ɪ	1.0
ɣ̊	-	1.0
ɡ̊_s	s	1.0
ɡ̊_n	ç	1.0
ɡ̊_#>	k_#>	1.0
ə	-	1.0
ç_d̥	ç	1.0
z̥	t	1.0
t	t	1.0
r	r	1.0
n_d̥	n	1.0
l_d̥	l_d̥	1.0
l	l	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f_#>	p_#>	1.0
f	f	1.0
eː	ae̯	1.0
d̥_ˈɪ	d_ˈɪ	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
a	-	1.0
<#_n	<#_n	1.0
m	m	0.938
ʃ	ʃ	0.933
ŋ	ŋ	0.875
n	n	0.875
v	v	0.852
ˈuː	ˈaʊ̯	0.833
ɐ	æ	0.727
b̥͡v̥	p	0.667
ˈɒ	ˈa	0.655
ˈɪ	ˈɪ	0.625
#>	ç_#>	0.6
ˈoː	ˈɒː	0.571
ʦ	tʰ	0.562
ˈʊ	ˈʊ	0.526
n_a	n_n	0.5
n_a	n	0.5
ˈaɪ̯	ˈiː	0.476
ˈaː	ˈae̯	0.471
x	k	0.462
ʦ	t	0.438
ɡ̊	kʰ	0.419
d̥	d	0.403
ç	ç	0.4
ç	k	0.4
#>	k_#>	0.4
s	z	0.395
ˈɛ	ˈɛ	0.389
x	x	0.385
ˈiː	ˈae̯	0.346
b̥͡v̥	pʰ	0.333
d̥	d̥	0.313
ˈeː	ˈɛ	0.3
ˈeː	-	0.3
ˈɔ	ˈɔ	0.294
ˈaː	ˈaʊ̯	0.294
s	t	0.279
ɡ̊	ɡ	0.258
d̥	t	0.239
ˈɔ	-	0.235
ˈɛ	-	0.222
ˈʊ	-	0.211
ˈɪ	ˈʏ	0.208
ˈeː	ˈeː	0.2
ç	-	0.2
ˈiː	ˈɪ	0.192
ˈaɪ̯	ˈyː	0.19
s	z̥	0.186
ˈɔ	ˈʊ	0.176
ˈɔ	ˈuː	0.176
ˈɛ	ˈɛː	0.167
ˈuː	-	0.167
ˈʊ	ˈɔ	0.158
ˈiː	ˈɔʏ̯	0.154
ˈiː	ˈiː	0.154
x	ç	0.154
v	w	0.148
ˈoː	-	0.143
ˈɒ	-	0.138
ɐ	-	0.136
ɡ̊	j	0.129
ŋ	ɡ_n	0.125
n	-	0.125
ˈɔ	ˈa	0.118
ˈaː	ˈɪ	0.118
ˈaː	-	0.118
ˈiː	-	0.115
ˈɛ	ˈœ	0.111
ˈɛ	ˈiː	0.111
ˈʊ	ˈʏ	0.105
ˈeː	ˈɛɪ̯	0.1
ˈeː	ˈøː	0.1
ɡ̊	ç	0.097
ɡ̊	k	0.097
ˈoː	ˈɛː	0.095
ˈoː	ˈoː	0.095
ˈoː	ˈaː	0.095
ˈaɪ̯	ˈʏ	0.095
ˈaɪ̯	ˈɪ	0.095
ˈaɪ̯	ˈae̯	0.095
ˈɪ	ˈɛ	0.083
ˈɪ	-	0.083
s	z_ˈœː	0.07
s	s	0.07
ˈɒ	ˈɔ	0.069
ˈɒ	ˈɒː	0.069
ˈɒ	ˈaʊ̯	0.069
ʃ	s	0.067
m	-	0.062
