Campidanese	Galician	probability
m	m	1.0
v	-	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
ɣ	ɣ	1.0
ɲː	ɲ	1.0
ʃː	j_ʃ	1.0
ʣ	ʎ	1.0
ʦ	θ	1.0
β	β	1.0
a	ɐ	0.721
b	b	0.881
n	n	0.671
p	p	0.881
t	j_t	0.101
ɡ	ɣ	0.411
ʒ	θ	0.211
ʤ	-	0.321
ˈi	ˈi	0.571
ˈo	ˈɔ	0.361
d	ð	0.082
e	ɪ	0.432
j	ʎ	0.32
w	w	0.72
z	s	0.712
ˈo	ˈo	0.562
ˈu	ˈo	0.352
a	a	0.173
j	-	0.073
j	ɾ	0.313
l	-	0.083
ð	-	0.383
b	-	0.114
f	-	0.054
i	e	0.144
i	ɪ	0.554
j	β_ɪ	0.104
k	k	0.954
n	ɲ	0.244
nː	ɲ	0.254
o	o	0.474
rː	r	0.124
ʧ	ʧ	0.304
n	-	0.085
r	-	0.095
u	-	0.075
ˈa	ˈɑ	0.215
ˈe	ˈe	0.455
f	f	0.946
nː	n	0.746
o	-	0.526
r	ɾ	0.766
rː	ɾ_n	0.876
sː	l	0.956
ˈi	ˈe	0.376
e	e	0.227
e	a	0.297
i	i	0.077
i	ˈe	0.107
l	l	0.917
p	-	0.077
t	ð	0.07
t	t	0.787
ð	ð	0.617
ˈa	ˈa	0.687
ˈe	ˈɛ	0.507
ˈo	o	0.077
d	d	0.918
r	r	0.088
w	-	0.28
z	-	0.288
ʧ	θ	0.68
ˈu	-	0.058
i	-	0.069
j	j	0.19
s	s	0.979
u	ʊ	0.819
ɡ	ɡ	0.589
ʒ	ʃ	0.789
ʤ	ʃ	0.679
ˈu	ˈu	0.549
