Aromanian	Aragonese	probability
e̯a	-	1.0
v	b	1.0
ç	f	1.0
ɨ	ˈa	1.0
ʧ	θ	1.0
ˈɨ	ˈa	1.0
k	p	0.051
l	-	0.111
m	-	0.231
o̯ˈa	w	0.21
t	t	0.501
w	ˈe	0.281
ə	a	0.801
ɡ	ɡ	0.461
ʤ	-	0.441
ˈo	ˈo	0.241
ˈu	ˈe	0.151
e̯ˈa	ˈe	0.82
l	l	0.832
m	m	0.752
n	ɲ	0.082
p	p	0.582
t	-	0.152
t	ð	0.232
ʎ	ʎ	0.282
ʣ	-	0.272
ʤ	ʝ	0.072
ˈa	ˈe	0.202
b	-	0.083
e̯ˈa	ˈa	0.123
f	-	0.183
i	a	0.193
k	-	0.143
ŋ	ŋ	0.143
ɲ	n	0.403
ʣ	ʧ	0.273
ˈu	w_ˈe	0.153
d	d	0.794
i	e	0.4
u	o	0.934
ɡ	-	0.424
ʃ	-	0.174
ʦ	θ	0.464
ˈe	j_ˈe	0.414
ˈi	ˈe	0.294
ˈu	ˈo	0.064
ˈu	ˈu	0.544
a	ˈa	0.225
b	b	0.135
b	β	0.445
j	b	0.565
k	ɣ	0.105
p	j	0.205
r	ɾ	0.655
t	t_ɾ	0.055
ə	-	0.115
ɡ	ɣ	0.115
ʣ	d	0.455
ʦ	-	0.505
ˈo	w	0.095
ˈo	w_ˈe	0.665
d	ð	0.206
i	j	0.06
i	o	0.196
k	ɣ_o	0.06
ʃ	s	0.826
ˈe	ˈe	0.586
f	f	0.817
n	n_o	0.087
r	l_o	0.077
ŋ	-	0.857
ɲ	m	0.597
ʤ	ʧ	0.487
a	a	0.738
b	b_w	0.298
i	ˈi	0.058
k	k	0.608
n	-	0.228
p	β	0.168
r	-	0.208
s	s	0.828
ˈa	ˈa	0.728
ˈi	j_ˈe	0.158
ˈi	ˈi	0.428
ˈu	ˈi	0.088
j	-	0.39
n	n	0.579
o̯ˈa	ˈo	0.79
s	e_s	0.139
w	-	0.719
ʎ	l	0.699
ˈi	-	0.119
