East Low German	Alsatian	probability
b	b̥	1.0
h	h	1.0
kʰ	kʰ	1.0
l	l	1.0
r	ʁ	1.0
tʰ	ʦ	1.0
v	ʋ	1.0
w	w	1.0
z	s	1.0
ɡ	ɡ̊	1.0
ɾ	-	1.0
ʃ	ʃ	1.0
ˈeː	ˈeː	1.0
ˈoː	ˈoː	1.0
ˈyː	ˈiː	1.0
ˈœ	ˈe	1.0
ˈœː	ˈe	1.0
ˈɔʏ̯	ˈiː	1.0
j	j	0.091
n	n_d̥	0.051
n	n_ə	0.051
s	k_s	0.11
ˈaː	ˈɒː	0.191
ˈuː	ˈo	0.121
ˈɒː	ˈoː	0.691
ˈɛ	ˈæ	0.091
ˈɛ	ˈe	0.321
ˈʊ	ˈo	0.11
f	f	0.952
p	f	0.92
x	x	0.922
æ	-	0.582
ŋ	ˈaː	0.182
ŋ	ŋ	0.582
ˈa	ə_#>	0.222
ˈae̯	ˈei̯	0.222
ˈae̯	ˈəi̯	0.42
ˈiː	ˈei̯	0.182
m	ə	0.133
k	k	0.24
ˈa	ˈɒː	0.054
ˈɔ	ˈu	0.784
ˈɛ	ˈi	0.264
ˈɛː	ˈe	0.44
ˈʏ	ˈu	0.414
d	t	0.325
d	d̥	0.675
k	x	0.085
s	ʃ	0.265
s	s	0.625
ŋ	-	0.235
ˈaʊ̯	ˈɒ	0.055
ˈɛ	ˈæː	0.325
ˈɛː	ˈæ	0.115
ˈɪ	ˈi	0.795
k	ʃ	0.676
t	ʦ	0.156
t	s	0.386
ç	k	0.696
ˈa	ˈɒ	0.626
ˈiː	ˈi	0.36
ˈɔ	ˈɒ	0.106
ˈʏ	ˈi	0.586
n	n	0.67
t	t	0.457
ç	ʃ_t	0.117
ç	ʃ	0.187
ˈaʊ̯	ˈøː	0.067
ˈɛː	ˈɒː	0.197
ˈɛː	ˈiː	0.247
ˈɪ	ˈiː	0.117
m	m	0.768
n	-	0.228
p	p͡f	0.08
x	-	0.078
æ	ə_ʁ	0.38
ˈa	ʁ_#>	0.078
ˈiː	ˈiː	0.458
j	ɡ̊	0.909
m	m_ə	0.099
ˈae̯	ˈeː	0.099
ˈae̯	ˈiː	0.259
ˈaʊ̯	ˈoː	0.199
ˈaʊ̯	ˈʊː	0.679
ˈaː	ˈɒː_ʁ	0.809
ˈuː	ˈyː	0.879
ˈɒː	ˈɒ	0.309
ˈɔ	ˈo	0.109
ˈʊ	ˈu	0.89
