Spanish	Occitan	probability
f	f	1.0
r	r	1.0
t	t	1.0
w	ɥ	1.0
ŋ	ŋ	1.0
b	v	0.731
k	k	0.961
l	-	0.131
ˈo	ˈɔ	0.081
ˈo	ˈa_w	0.211
β	-	0.081
β	β	0.721
θ	s	0.591
o	u	0.2
s	s	0.882
ˈa	ˈa	0.972
ˈu	ˈy	0.722
n	-	0.073
o	w	0.13
ð	t	0.153
ɟ͡ʝ	p_l	0.383
ɡ	k	0.083
ɣ	-	0.063
ɲ	n	0.173
ɾ	r	0.123
ˈe	ˈu	0.073
θ	z	0.13
e	-	0.074
j	-	0.234
m	m	0.894
ɾ	-	0.134
i	e	0.345
i	i	0.655
o	-	0.225
p	p	0.995
s	z	0.085
ʝ	ʒ	0.115
ʝ	l	0.885
ˈe	j_ˈɛ	0.075
ˈe	e	0.085
ˈe	ˈɛ	0.105
ˈe	ˈe	0.455
ˈi	ˈi	0.915
ˈo	ɥ_ˈɛ	0.055
θ	ʦ	0.135
e	e	0.876
j	ˈi	0.076
m	-	0.106
o	e	0.266
x	ʎ	0.606
ˈo	ˈu	0.566
n	n	0.927
x	-	0.157
x	ʒ	0.237
ɟ͡ʝ	l	0.617
ɡ	ɡ	0.917
ɲ	ɲ	0.827
ˈe	-	0.127
ˈu	ˈu	0.237
a	ɔ	0.688
ð	j	0.228
ɣ	k	0.268
θ	j_s	0.098
a	a	0.269
b	b	0.269
d	d	0.989
j	j	0.69
l	l	0.869
o	i	0.139
ð	ð	0.619
ɣ	ɣ	0.669
ɾ	ɾ	0.69
ˈi	ˈɛ	0.059
β	v	0.079
β	w	0.119
