Pennsylvania German	Middle English	probability
ˈɛ_ʋ	ˈi_v	1.0
ˈɔː_ɣ	ˈæi̯	1.0
ˈa_n	ˈoː	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɾ_ə	r	1.0
ɪ_ç	iː	1.0
ɪ	-	1.0
t	t	1.0
p	p	1.0
m	m	1.0
h	h	1.0
eː	eː	1.0
d_ɾ	d_r	1.0
b	b	0.949
ɾ	r	0.844
ˈʊ	ˈu	0.792
ɡ	ɡ	0.768
ˈɛː	ˈɛ	0.766
ˈiː	ˈeː	0.762
ʋ	w	0.747
ˈoː	ˈɛː	0.743
k	k	0.74
ˈaɪ̯	ˈiː	0.738
n	n	0.725
f	f	0.714
d̥	d	0.681
ˈaː	ˈɔ	0.65
ə	ə_n	0.644
ˈɪ	ˈi	0.627
l	l	0.623
ˈaʊ̯	ˈuː	0.617
ŋ	ŋ_ɡ	0.604
d	θ	0.601
ˈɛ	ˈɛ	0.595
ˈuː	ˈoː	0.583
j	ə	0.583
s	s	0.559
ʃ	ʃ	0.539
ç	-	0.529
ˈeː	ˈɔː	0.522
ʃ	s	0.461
ˈɔː	ˈɛː	0.443
j	j	0.417
s	t	0.407
ɑ	r	0.403
ˈɔ	-	0.395
ˈaʊ̯	-	0.383
l	ɫ	0.377
ˈaː	ˈa_r	0.35
ɡ̊	ʤ	0.35
x	k	0.342
x	ç	0.329
x	x	0.329
ɑ	ə_r	0.323
ˈɔ	ˈɔ	0.303
ˈɔ	ˈu	0.303
ˈa	ˈa	0.301
ɡ̊	x	0.295
ˈɪ	ˈiː	0.287
ˈa	ˈɔː	0.274
d	d	0.265
ˈoː	ˈoː	0.257
ˈuː	ˈuː	0.25
ç	ç	0.248
ˈiː	-	0.238
ˈɔː	ˈa	0.237
ˈɛː	ˈɛː	0.234
ˈeː	ˈeː	0.234
ˈɔː	ˈaː	0.232
ɡ	j	0.232
ɡ̊	k	0.231
ç	ʧ_ə	0.223
ŋ	ŋ	0.22
f	p	0.22
ɑ	r_ə	0.217
k	ʧ	0.184
ˈaɪ̯	ˈeː	0.176
ŋ	n_ɡ	0.176
d̥	θ	0.17
ˈuː	ˈeː	0.167
ʋ	v	0.165
ˈa	ˈaː	0.163
n	n_d	0.155
ə	n	0.153
d̥	t	0.149
ˈɛ	ˈu	0.148
ə	ə	0.141
ˈɛ	-	0.129
ɡ̊	-	0.124
ˈʊ	ˈoː	0.121
n	-	0.12
ˈa	ˈi	0.112
ˈeː	ˈɛː	0.107
ˈa	-	0.107
ˈɛ	ˈi	0.094
ɾ	r_ˈeː	0.09
ʋ	ʍ	0.088
ˈʊ	-	0.087
ˈɪ	-	0.087
ˈɔː	ˈæi̯	0.087
ˈaɪ̯	ˈi	0.086
d	ð	0.078
k	-	0.076
ˈeː	ˈɛ	0.068
ˈeː	ˈɔu̯	0.068
ɾ	-	0.066
f	v	0.065
ə	-	0.061
ɑ	-	0.057
d	t	0.056
b	-	0.051
