Macedonian	Lower Sorbian	probability
i	i	1.0
j	j	1.0
l	l	1.0
u	ɨ	1.0
z	z	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ʦ	ʦ	1.0
ʧ	ʦ	1.0
ˈu	ˈu	1.0
b	b	0.901
p	pʲ	0.371
ɛ	ɔ	0.141
ˈi	ˈɨ	0.451
ˈr̩	r	0.181
ˈɛ	ˈɔ	0.141
d	d	0.612
n	ɲ	0.32
ɡ	ɡ	0.832
ɫ	w_ɨ	0.112
ˈa	ˈa	0.282
ˈɛ	ˈe	0.262
d	ʑ	0.343
s	<#_v	0.063
t	ɕ	0.433
ɫ	w	0.593
ˈo	ˈɛ	0.543
ˈr̩	ˈa_r	0.393
f	x	0.644
r	ʂ	0.084
v	v	0.294
ˈa	ˈu	0.244
ˈa	ˈɔ	0.474
a	-	0.05
a	a	0.95
m	mʲ	0.415
m	m	0.585
n	n_ɨ	0.185
n	n	0.495
o	-	0.155
o	ɔ	0.845
ɛ	-	0.235
ɡ	ɨ_#>	0.085
f	v	0.356
r	r	0.6
t	t	0.526
v	vʲ	0.706
ɫ	l	0.226
ˈr̩	ˈe	0.426
r	rʲ	0.27
ˈo	ˈɔ	0.457
k	k	0.968
ɛ	e	0.258
ˈɛ	ˈɛ	0.098
b	bʲ	0.099
p	p	0.629
s	s	0.889
ɛ	ɛ	0.319
ˈi	ˈi	0.549
ˈɛ	ˈa	0.159
ˈɛ	ˈɪ	0.339
