Bellunese	Spanish	probability
m	m	1.0
ɲ	ɲ	1.0
l	ʝ	0.051
l	l_o	0.071
v	b	0.511
θ	θ	0.841
j	l	0.22
j	-	0.222
n	ɲ	0.072
n	-	0.092
o	o	0.72
p	p	0.952
s	-	0.052
t	ʧ_e	0.052
z	θ	0.472
ð	-	0.292
ˈu	ˈo	0.152
ˈɛ	j_ˈe	0.612
d	-	0.073
f	f	0.763
j	j	0.43
k	k	0.973
ŋ	ŋ	0.193
ŋ	n_o	0.263
ˈe	ˈe	0.753
b	β	0.134
l	-	0.104
w	w	0.654
z	-	0.244
z	s	0.284
ˈe	ˈe_ð	0.074
ˈɛ	ˈi	0.054
d	ð	0.385
e	-	0.255
e	e	0.485
i	e	0.315
i	i	0.685
o	e	0.085
r	r	0.085
s	x_o	0.055
t	t_e	0.105
ɡ	ˈe_ɣ	0.075
ʧ	ɟ͡ʝ	0.35
ʧ	x	0.65
ˈa	ˈa_ð	0.065
ˈi	j	0.065
ˈi	ˈi	0.935
ˈo	w	0.055
ˈo	ˈo_β	0.075
ˈo	ˈu	0.075
ˈɔ	ˈe	0.165
a	a	0.96
b	b	0.866
l	ʝ_o	0.136
n	s_#>	0.056
s	θ	0.176
s	s	0.716
w	-	0.346
ŋ	m	0.076
ŋ	n	0.426
ˈe	j_ˈe	0.056
ˈɔ	ˈo	0.506
d	d	0.507
e	a	0.057
e	ˈe	0.17
f	f_w	0.157
n	o_#>	0.157
o	-	0.087
o	ˈo	0.107
r	ɾ	0.857
t	ʧ_o	0.07
t	t_o	0.077
t	t	0.357
ɡ	ɡ	0.437
ˈo	w_ˈe	0.267
ˈɛ	-	0.067
ˈɛ	ˈe	0.267
j	x	0.128
l	l	0.638
n	n	0.588
t	ð	0.198
ð	x	0.708
ɡ	ɣ	0.488
ˈo	ˈo	0.528
ˈu	ˈu	0.848
f	β	0.079
t	-	0.079
v	β	0.459
ˈa	ˈa	0.879
ˈɔ	w_ˈe	0.329
θ	-	0.159
