Gan	Gan	probability
⁵	⁵	1.0
⁴²	⁴²	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʔ	ʔ	1.0
ɵ	ɵ	1.0
ɨ	ɨ	1.0
ɥ	ɥ	1.0
ɛ	ɛ	1.0
ɕ	ɕ	1.0
ɔ	ɔ	1.0
ŋ̍	ŋ̍	1.0
ŋ	ŋ	1.0
¹¹	¹¹	1.0
³⁵	³⁵	1.0
²⁴	²⁴	1.0
²¹³	²¹³	1.0
²	²	1.0
z̩	z̩	1.0
y	y	1.0
w	w	1.0
u	u	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o	o	1.0
nʲ	nʲ	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f	f	1.0
e	e	1.0
a	a	1.0
