Brazilian Portuguese	Catalan	probability
ẽ	ə	1.0
f	f	1.0
ĩ	i	1.0
m	m	1.0
n	n	1.0
p	p	1.0
ʎ	ʎ	1.0
ʤ	d	1.0
ʧ	-	1.0
ˈu	ˈu	1.0
ˈũ	ˈu	1.0
a	-	0.241
j	-	0.651
u	u	0.081
u	ə	0.31
ɡ	-	0.051
ˈi	ˈi	0.91
ˈo	ˈo	0.331
e	ə	0.912
i	i	0.072
j̃	n	0.422
o	-	0.112
t	-	0.102
t	t	0.782
ʃ	ə_s	0.092
ʃ	s	0.872
i	ə	0.443
j̃	-	0.113
v	b	0.593
z	z	0.293
ʒ	-	0.103
ˈe	ˈi	0.073
ˈo	ˈu	0.173
b	b	0.54
h	r	0.494
k	k	0.924
s	s	0.934
w	l	0.654
ˈẽ	ˈɛ	0.094
ˈõ	ˈɔ	0.84
ˈɐ̃	ˈa	0.994
d	ð	0.545
h	-	0.445
j	t_ɾ	0.15
u	ˈɔ	0.055
ɐ	n_ə	0.055
ɐ	ə	0.945
ˈa	l_ˈa	0.105
ˈa	ˈa	0.895
ˈɔ	ˈo	0.135
ˈɛ	ˈɛ	0.335
ˈɛ	ˈe	0.665
d	d	0.416
i	-	0.486
j̃	ŋ_ɡ	0.136
k	-	0.076
l	-	0.056
l	l	0.156
o	u	0.856
s	-	0.066
u	ɾ_ə	0.066
v	β	0.346
w	w	0.346
ɡ	ɣ	0.56
ˈẽ	ˈe	0.906
ˈo	ˈɔ	0.496
ˈõ	ˈo	0.16
ˈɔ	ˈɔ	0.676
z	-	0.707
ʒ	ʒ	0.897
ˈĩ	ˈi	0.97
l	ʎ	0.788
u	-	0.488
ɡ	ɡ	0.348
ɾ	ɾ	0.918
ˈe	ˈɛ	0.288
ˈe	ˈe	0.638
ˈi	-	0.078
a	ə	0.759
b	β	0.419
j	j	0.199
j̃	ɲ	0.329
t	n_t	0.069
ɦ	r	0.969
ˈɔ	u_z	0.189
