Gascon	Aromanian	probability
nː	m	1.0
a	a	0.551
h	ç	0.341
i	-	0.61
r	r	0.911
s	ʦ	0.171
t	t	0.381
w	-	0.481
z	ʦ	0.881
ð	d	0.131
ð	t	0.711
ɣ	ɡ	0.1
ɲ	ɲ	0.351
ʃ	s	0.191
ʎ	k_ʎ	0.121
b	j	0.202
d	-	0.122
d	d	0.722
e	ə	0.052
n	-	0.072
s	ʃ	0.122
s	-	0.182
t	t_i	0.102
t	t_u	0.12
ɡ	-	0.202
ʒ	ʤ	0.52
ˈa	i	0.082
ˈa	ˈa	0.362
ˈe	ˈi	0.42
ˈu	ˈu	0.922
ˈy	j	0.262
ˈɛ	ˈa	0.462
β	-	0.852
b	b	0.23
m	m	0.743
n	n_t	0.053
u	-	0.553
ŋ	n_e	0.063
ɾ	r	0.863
ˈɛ	e̯ˈa	0.163
k	ʦ	0.084
w	ˈo	0.064
ŋ	-	0.074
ŋ	n	0.754
ɔ	-	0.104
ɔ	ə	0.64
ʒ	ʣ	0.164
ʦ	ʦ	0.664
ˈa	-	0.054
ˈa	ˈɨ	0.304
ˈe	e̯ˈa	0.484
ˈɔ	ˈo	0.934
j	-	0.555
l	r	0.105
p	k	0.365
p	p	0.635
s	s	0.525
ʎ	ʎ	0.355
ʎ	-	0.385
ˈɛ	ˈe	0.375
d	ʣ	0.156
e	r_i	0.196
k	k	0.916
l	l	0.606
t	l	0.286
ʦ	-	0.336
ˈe	ˈe	0.096
ˈi	ˈi	0.866
ˈɔ	o̯ˈa	0.066
e	i_r	0.097
j	t	0.117
l	ʎ	0.177
m	ɲ	0.257
u	u	0.447
w	w	0.157
ŋ	n_i	0.067
ɔ	i	0.127
ɾ	-	0.137
ʒ	-	0.317
a	ə	0.348
b	v	0.568
e	i	0.478
w	r	0.298
ð	-	0.158
ɡ	ɡ	0.798
ˈa	ˈa_r	0.148
ˈi	ˈə	0.058
ˈy	ˈu	0.738
e	u	0.139
h	f	0.659
i	i	0.39
j	ʃ_t	0.149
j	p	0.179
n	n	0.849
r	r_n	0.089
z	-	0.119
ɔ	n_ə	0.079
ɣ	k	0.9
ɲ	n	0.649
ʃ	-	0.809
ʎ	ʎ_u	0.139
ˈi	e̯ˈa	0.059
β	r	0.119
