Franco-Provençal	Gallurese	probability
ˈɛː_ð	i_d	1.0
ˈɛ_ʁ	l	1.0
ˈɑː	ˈa	1.0
ˈy	ˈu_p	1.0
ˈĩ	ˈi_n	1.0
ʦ	ʦː	1.0
ʁ_o	u	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ɛ̃	ˈu_n	1.0
ɛ	-	1.0
ɔ̃	u	1.0
ɔ	u	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
z	-	1.0
w_ˈɛː	ˈu	1.0
w_ˈe	ˈɔ	1.0
u	-	1.0
p	p	1.0
n	n	1.0
m	m	1.0
j_ˈe	ˈa	1.0
i	-	1.0
d	d	1.0
ˈa	ˈa	0.929
k	k	0.896
a	a	0.883
f	f	0.811
b	b	0.784
ˈaː	ˈa	0.769
ʁ	r	0.703
ʒ	-	0.69
e	s	0.686
ˈi	ˈi	0.672
j	-	0.668
ˈo	ˈu	0.654
ʃ	k	0.65
ˈoː	ˈɔ	0.623
s	s	0.58
t	t	0.576
ʎ	cː	0.57
o	u	0.56
ˈɔ	ˈɔ	0.558
ˈø	-	0.552
ð	r	0.539
ə	a	0.483
ˈu	ˈɔ	0.476
ˈɑ̃	ˈa_n	0.464
l	l	0.464
ˈɛ̃	ˈɛ_n	0.46
v	v	0.452
ˈø	ˈɔ	0.448
ˈɔ	-	0.442
ˈu	ˈu	0.386
ˈɔ̃	n	0.383
ˈɑ̃	ˈa	0.35
ˈo	ˈo_j	0.346
ˈɔ̃	ˈo_n	0.337
ˈɛ	ˈe	0.32
t	tː	0.316
e	-	0.314
ʒ	d	0.31
ˈɛː	ˈe	0.289
ˈe	ˈɛ	0.286
w	-	0.275
ˈɛ	ˈɛ	0.266
l	ɖː	0.249
ˈe	ˈi	0.246
ˈi	ˈe	0.245
ˈɛ	ˈi	0.243
ˈɛː	ˈi	0.241
j	ˈɛ	0.238
ˈɛ̃	n	0.232
w	ˈo	0.232
ˈaː	-	0.231
ʎ	-	0.229
ə	-	0.226
o	i	0.223
w	ˈɔ	0.216
v	p	0.216
b	-	0.216
ˈoː	ˈa_l	0.208
s	-	0.208
ʎ	ɖː	0.201
ð	-	0.198
ˈɛː	-	0.195
w	ˈu	0.194
l	j	0.19
ˈɑ̃	ˈa_ŋ	0.186
ˈɛː	ˈa	0.182
ˈɛ	-	0.171
ˈoː	ˈu	0.169
ʃ	ʧ	0.167
ˈɛ̃	-	0.156
f	-	0.155
ˈe	ˈe	0.153
ˈɛ̃	ˈɛ	0.152
ʁ	l	0.147
ə	i	0.146
ð	ɟ	0.143
ˈe	ˈa	0.142
ˈɔ̃	ˈɔ_n	0.14
ˈɔ̃	ˈo	0.14
ˈu	ˈu_t	0.138
v	-	0.137
o	o	0.125
ð	t	0.119
t	s_t	0.108
ʃ	-	0.107
k	c	0.104
s	ʧː	0.099
l	u	0.097
j	ˈu	0.094
ˈɛː	i	0.093
o	-	0.093
ʁ	rː	0.084
w	ˈɔ_k	0.084
ˈi	-	0.083
ˈe	ˈe_t	0.075
ʃ	j	0.075
ə	ˈe	0.073
ə	u	0.073
ˈa	k_u	0.071
a	-	0.067
v	p_a	0.066
v	a	0.066
s	ʃː	0.062
v	b	0.061
ˈe	-	0.056
s	sː	0.051
