Latin	Emilian	probability
#>	#>	0.997
<#	<#	1.0
<#_h	<#	1.0
a	a	0.718
a	-	0.156
a	u	0.085
ae̯	e	1.0
ae̯_#>	#>	0.503
au̯	-	0.5
au̯	u	0.5
aː	a	0.656
aː	-	0.14
aː	w	0.103
aː	ˈɛ	0.06
ãː	a	0.893
ãː	-	0.105
b	b	0.711
b	v	0.154
b	-	0.072
b	s	0.054
d	d	0.79
d	-	0.109
d_i	j	1.0
d_ʊ̃ː	d	1.0
e	-	0.654
e	e	0.339
eː	-	0.561
eː	e	0.425
eː_k	ɡ	1.0
f	f	1.0
i	-	0.498
i	j	0.298
i	ˈe	0.07
i	i	0.058
i	ˈa	0.056
iː	i	0.598
iː	-	0.172
iː	ˈe	0.131
j	ð	0.733
j	-	0.265
k	k	0.44
k	-	0.23
k	θ	0.12
k	ɡ	0.096
k	z	0.078
k_i	θ	1.0
k_t	t	1.0
k_ʊ	ʧ	0.899
k_ʊ	ɡ	0.084
k_ʊ̃ː	ɡ	0.544
k_ʊ̃ː	k	0.447
kʷ	k	0.38
kʷ	k_w	0.342
kʷ	θ	0.259
l	l	0.594
l	j	0.202
l	-	0.176
lʲ	l	0.494
lʲ	-	0.434
lʲ_ãː	a	0.22
lʲ_ãː	l	0.11
lʲ_i	j	0.608
lʲ_i	l	0.245
m	m	0.837
m	-	0.111
m_ɛ	m	0.253
m_ɪ	m	0.127
n	n	0.494
n	ŋ	0.325
n	-	0.115
n_d	ɲ	1.0
n_i	ɲ	1.0
n_ʊ̃ː	ŋ	0.951
n_ʊ̃ː	ɲ	0.054
o	u	0.437
o	ˈɛː	0.056
oː	-	0.618
oː	u	0.174
oː	e	0.07
oː_#>	#>	0.503
p	p	0.832
p	v	0.161
p_t	t	0.594
p_t	θ	0.392
p_ʊ	p	0.127
p_ʊ̃ː	p	0.561
p_ʊ̃ː	v	0.425
r	r	0.826
r	-	0.072
r_ɪ	r	0.253
s	s	0.765
s	-	0.12
s	z	0.111
s_#>	#>	1.0
t	t	0.566
t	-	0.176
t	d	0.123
t	θ	0.058
t_ɪ	θ	0.253
t_ʊ̃ː	t	0.912
t_ʊ̃ː	d	0.085
tʰ	d	1.0
u	e	0.5
u	ˈaː	0.5
uː	-	0.5
uː	u	0.287
uː	ˈo	0.166
w	v	0.815
w	-	0.114
w_ʊ̃ː	v	1.0
ŋ	ŋ	0.935
ŋ	n	0.065
ɔ	u	0.461
ɔ	-	0.317
ɔ	e	0.096
ɔ	o	0.058
ɔ	ˈo	0.057
ɛ	e	0.598
ɛ	-	0.276
ɛ	a	0.101
ɛ_#>	#>	1.0
ɛ_r	r	1.0
ɛ̃_#>	#>	1.0
ɛ̃ː	-	0.822
ɛ̃ː	a	0.084
ɛ̃ː_#>	#>	1.0
ɡ	ð	0.404
ɡ	ɡ	0.312
ɡ	-	0.17
ɡ	ʤ	0.075
ɡ_n	ɲ	1.0
ɡ_ɫ	ʤ	1.0
ɡʷ	ɡ	1.0
ɪ	-	0.48
ɪ	i	0.281
ɪ	ˈa	0.171
ɪ	e	0.058
ɪ_k	ɡ	0.425
ɪ_k	a	0.282
ɪ_k	k	0.089
ɪ_m	m	1.0
ɪ_t	t	0.503
ɪ̃	-	1.0
ɫ	l	0.576
ɫ	-	0.23
ɫ	j	0.162
ɫ_a	a	0.127
ɫ_ʊ̃ː	l	1.0
ʊ	-	0.718
ʊ	u	0.117
ʊ	o	0.091
ʊ	ˈɔː	0.068
ʊ̃ː	-	0.926
ˈa	ˈaː	0.395
ˈa	ˈɛ	0.326
ˈa	ˈa	0.204
ˈae̯	ˈiː	1.0
ˈau̯	ˈɔː	0.381
ˈau̯	ˈɔ	0.266
ˈaː	ˈɛ	0.72
ˈaː	ˈa	0.157
ˈaː	ˈaː	0.082
ˈe	ˈi	0.503
ˈeː	ˈiː	0.29
ˈeː	ˈa_j	0.172
ˈeː	ˈa	0.131
ˈeː	e	0.114
ˈeː	ˈæ	0.114
ˈeː	ˈe	0.087
ˈeː	ˈɛ	0.069
ˈi	ˈe	0.253
ˈiː	ˈe	0.453
ˈiː	ˈiː	0.33
ˈiː	-	0.085
ˈiː	j_ˈɔː	0.061
ˈiː	ˈi	0.053
ˈĩː	ˈiː	0.503
ˈo	ˈɔː	0.381
ˈo	-	0.191
ˈoe̯	ˈa	0.503
ˈoː	ˈʌu̯	0.406
ˈoː	ˈo	0.224
ˈoː	ˈɔː	0.162
ˈoː	ˈʌ	0.162
ˈu	ˈʌu̯	0.574
ˈu	ˈuː	0.166
ˈu	ˈɔ	0.166
ˈuː	ˈo	0.536
ˈuː	ˈuː	0.338
ˈuː	ˈʌ	0.064
ˈuː	ˈe	0.063
ˈɔ	ˈɔ	0.343
ˈɔ	ˈɔː	0.319
ˈɔ	ˈuː	0.122
ˈɔ	ˈo	0.08
ˈɛ	ˈɛ	0.484
ˈɛ	ˈæ	0.142
ˈɛ	ˈɛː	0.098
ˈɛ	ˈiː	0.083
ˈɛ	ˈa	0.075
ˈɛ̃ː	ˈi	0.127
ˈɪ	ˈa	0.45
ˈɪ	ˈa_j	0.214
ˈɪ	-	0.097
ˈɪ	ˈe	0.077
ˈɪ	ˈæ	0.066
ˈɪ	ˈiː	0.065
ˈʊ	ˈʌ	0.289
ˈʊ	ˈʌu̯	0.276
ˈʊ	ˈɔ	0.122
ˈʊ	ˈuː	0.106
ˈʊ	ˈo	0.079
ˈʊ	ˈɔː	0.06
ˈʊ	-	0.06
