West Flemish	Swabian	probability
#>	#>	1.0
<#	<#	0.932
<#	<#_h	0.068
b	b	0.934
b	-	0.066
d	d	0.943
d	-	0.057
f	b	1.0
h	x	0.365
h	ɡ	0.287
h	-	0.278
h	ç	0.06
j	j	0.608
j	ˈɔe̯	0.26
k	kʰ	0.491
k	ç	0.314
k	x	0.133
k_#>	#>	1.0
l	l	1.0
m	m	1.0
n	n	0.454
n	a	0.45
n	-	0.078
n_#>	#>	1.0
p	f	0.627
p	b̥	0.104
p	p͡f	0.104
p	b̥͡f	0.101
s	ʃ	0.577
s	s	0.388
t	d	0.536
t	s	0.207
t	ʦ	0.184
t_ə	ʦ	0.491
v	f	0.842
v	b	0.156
w	l	0.644
w	ˈeː	0.24
z	s	0.731
z	ʃ	0.217
z	ʁ	0.053
ç	ɡ	0.491
ŋ	ŋ	0.922
ŋ	ɡ	0.069
ə	-	0.327
ə	e	0.186
ə	ɪ	0.107
ə	ˈi	0.107
ə	a	0.077
ə	ə	0.075
ə_#>	#>	1.0
ə_ɾ	ʌ	1.0
ɦ	ɡ	0.896
ɦ	-	0.057
ɦ_ə	ɡ	1.0
ɪ	i	0.241
ɾ	ʁ	0.387
ɾ	ʕ	0.322
ɾ	ʌ	0.245
ɾ_s	ʃ	1.0
ʃ	ʃ	1.0
ʋ	ʋ	0.828
ʋ	-	0.169
ˈeː	ˈɛ	0.259
ˈeː	ˈɔe̯	0.154
ˈeː	ˈɛː	0.154
ˈeː	ˈae̯	0.116
ˈeː	ˈiː	0.116
ˈeː	ˈeə̯	0.066
ˈeː	ˈeː	0.064
ˈi	ˈəi̯	0.848
ˈi	ˈi	0.152
ˈiə̯	ˈiə̯	0.174
ˈiə̯	ˈəi̯	0.152
ˈiə̯	ˈeː	0.129
ˈiə̯	ˈi	0.129
ˈiə̯	ˈiː	0.129
ˈiə̯	ˈae̯	0.1
ˈiə̯	ˈa	0.066
ˈiə̯	ˈeə̯	0.066
ˈoː	ˈoː	0.4
ˈoː	ˈɔ	0.18
ˈoː	ˈao̯	0.166
ˈoː	ˈeː	0.123
ˈoː	ˈi	0.065
ˈoː	ˈo	0.056
ˈu	ˈo	0.483
ˈu	ˈa_l	0.301
ˈu	ˈao̯	0.179
ˈuə̯	ˈuə̯	0.469
ˈuə̯	ˈiə̯	0.119
ˈuə̯	ˈiː	0.099
ˈuə̯	ˈuː	0.099
ˈuə̯	ˈɔə̯	0.077
ˈuə̯	ˈeə̯	0.074
ˈyː	ˈao̯	0.598
ˈyː	ˈəi̯	0.292
ˈyː	ˈae̯	0.08
ˈæ	ˈɛ	0.351
ˈæ	ˈe	0.209
ˈæ	ˈi	0.182
ˈæ	ˈa	0.138
ˈæ	ˈɛː	0.093
ˈæ_ɾ	ˈʌ	1.0
ˈøː	ˈoː	0.417
ˈøː	ˈɔː	0.155
ˈœ	ˈo	0.477
ˈœ	ˈu	0.187
ˈœ	ˈɛ	0.145
ˈœ	ˈi	0.127
ˈɑ	ˈa	0.812
ˈɑ	ˈaː	0.12
ˈɑ	ˈɛ	0.06
ˈɑ_n	ˈaː	1.0
ˈɒː	ˈa	0.303
ˈɒː	ˈɔː	0.238
ˈɒː	ˈaː	0.169
ˈɒː	ˈɛː	0.1
ˈɒː	ˈoː	0.066
ˈɒː	ˈɛ	0.066
ˈɔ	ˈɔ	0.296
ˈɔ	ˈo	0.219
ˈɔ	ˈu	0.191
ˈɔ	ˈa	0.126
ˈɔ	ˈe	0.126
ˈɛ	ˈi	0.292
ˈɛ	ˈaː	0.168
ˈɛ	ˈe	0.168
ˈɛ	ˈəi̯	0.118
ˈɛ	ˈae̯	0.114
ˈɛ	ˈɛ	0.083
ˈɛː	ˈɔe̯	0.557
ˈɛː	ˈae̯	0.172
ˈɛː	-	0.111
ˈɛː	ˈɛ	0.111
ˈɛː_n	ˈɔe̯	0.241
ˈɪ	ˈe	0.388
ˈɪ	ˈɪ	0.357
ˈɪ	-	0.11
ˈɪ	ˈeː	0.11
ˈʏ	ˈu	0.241
