Gascon	French	probability
d	d	1.0
h	f	1.0
p	p	1.0
r	ʁ	1.0
ð	-	1.0
ʃ	s	1.0
ʤ	-	1.0
ʦ	-	1.0
b	v	0.691
e	w_a	0.061
ɡ	ɡ	0.91
ʒ	-	0.241
ˈɛ	i	0.171
ˈɛ	j_ɛ	0.181
e	ə	0.122
e	-	0.612
j	t	0.062
ˈe	w_a	0.062
ˈe	ɛ	0.462
ˈɛ	ɛ	0.582
a	ɑ̃	0.053
a	ɛ	0.083
j	j	0.053
s	s	0.873
u	u	0.3
w	-	0.743
z	z	0.903
ɔ	-	0.633
ɣ	-	0.803
ˈi	w	0.13
ˈu	ɔ̃	0.113
ˈu	ɔ	0.373
β	v	0.783
a	a	0.744
k	k	0.474
t	t	0.534
ŋ	n	0.304
ɲ	ɲ	0.174
ˈe	ə	0.054
ˈy	y_ʁ	0.074
i	ɛ̃	0.395
i	i	0.605
l	-	0.05
l	l	0.95
n	ɛ̃	0.15
n	n	0.85
u	ɔ̃	0.185
u	ɔ	0.515
ˈi	i	0.745
ˈu	u	0.395
ˈɔ	ɔ	0.815
e	a_ʁ	0.066
j	-	0.676
k	ʃ	0.526
m	ʁ_#>	0.056
m	-	0.146
t	-	0.466
w	ɥ	0.16
ŋ	ɛ̃	0.696
ɲ	ɛ̃	0.826
ɾ	ʁ	0.836
ʎ	j	0.956
ˈa	-	0.156
ˈy	ɥ	0.146
s	-	0.127
w	ø	0.097
z	-	0.097
ɔ	a	0.367
ɣ	ɡ	0.197
ˈa	e	0.247
ˈɛ	-	0.067
m	m	0.768
ˈa	a	0.358
ˈe	w	0.278
ˈi	i_ʁ	0.078
ˈy	y	0.398
β	ʒ	0.078
a	-	0.109
b	b	0.309
e	a	0.139
j	a	0.209
ɡ	-	0.09
ɾ	-	0.119
ʒ	ʒ	0.759
ˈa	ɛ	0.219
ˈe	-	0.109
ˈu	w_a	0.059
ˈy	w	0.369
ˈɔ	u	0.069
ˈɔ	œ	0.069
β	b	0.139
