Latin	Ladin	probability
ae̯	e	1.0
eː	e	1.0
f	f	1.0
kː	ʨ	1.0
l	l	1.0
lʲ	-	1.0
lʲː	l	1.0
oː	o	1.0
rː	r	1.0
tː	t	1.0
u	-	1.0
uː	-	1.0
ˈi	ˈi	1.0
ˈo	-	1.0
ˈu	ˈo	1.0
ˈuː	ˈu	1.0
ãː	-	0.101
k	ʨ	0.261
m	m	0.941
p	p	0.711
ɛ	ˈɛ	0.171
ɛ̃ː	a	0.061
ɡ	ʒ	0.421
ˈa	-	0.101
ˈaː	-	0.381
ˈɔ	w	0.101
ˈʊ	ˈo	0.901
aː	-	0.192
b	-	0.212
d	d	0.712
t	t	0.622
ŋ	n	0.102
ʊ	u	0.072
ʊ̃ː	a	0.52
ˈa	ˈɛ	0.182
ˈaː	ˈɛ	0.082
ˈaː	ʃ_#>	0.222
b	v	0.233
j	ʒ	0.423
s	-	0.063
ɛ̃ː	-	0.653
ɡ	ʤ	0.053
ɡ	ʥ	0.053
ɪ	e	0.513
ɫ	-	0.063
ʊ	-	0.573
ˈau̯	w	0.813
ˈɛ	ˈe	0.053
aː	a	0.74
i	-	0.724
iː	i	0.284
kʷ	ʨ	0.444
n	-	0.204
t	-	0.054
w	v	0.704
ɔ	-	0.074
ɛ	-	0.294
ɡ	-	0.314
ʊ̃ː	-	0.24
ʊ̃ː	ˈɛ	0.24
ˈeː	ˈe	0.74
ˈɛ	j_ˈɛ	0.14
ˈɪ	ˈe	0.604
a	-	0.205
a	a	0.795
b	b	0.555
i	j	0.245
k	k	0.145
ɛ	e	0.535
ˈaː	ˈa	0.315
iː	-	0.716
kʷ	k	0.556
r	-	0.26
s	s	0.706
t	ʦ	0.076
w	-	0.266
ɛ̃ː	e	0.286
ˈeː	ˈe_j	0.26
ˈoː	-	0.096
ˈoː	ˈo	0.786
j	-	0.577
p	-	0.117
r	r	0.697
ɔ	o	0.477
ʊ	o	0.117
ʊ	ˈɛ	0.237
ˈa	ˈa	0.717
ˈau̯	ˈɔ	0.187
ˈɔ	ˈo	0.117
ˈɪ	ˈe_j	0.097
aː	e	0.068
d	-	0.288
k	ɡ	0.058
k	ʧ	0.098
k	-	0.438
n	ɲ	0.078
n	n	0.718
t	d	0.248
ŋ	ŋ	0.898
ˈoː	ˈo_w	0.118
ˈɛ	ˈɛ	0.808
ãː	a	0.899
m	-	0.059
p	v	0.129
s	ʃ	0.199
ɔ	ˈɔ	0.109
ɔ	e	0.339
ɡ	ɡ	0.159
ɪ	-	0.449
ɫ	l	0.899
ˈiː	ˈi	0.959
ˈɔ	ˈɔ	0.739
ˈɪ	-	0.299
ˈʊ	ˈu	0.099
