Belarusian	Russian	probability
<#	<#_ʦ	1.0
<#_a	<#_ɐ	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_lʲ	<#_lʲ	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_mʲ	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_pʲ	<#_pʲ	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_sʲ	<#_sʲ	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_v_ˈo	<#_ˈo	1.0
<#_vʲ	<#_vʲ	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɣ	<#_ɡ	1.0
<#_ʐ	<#_ʐ	1.0
<#_ʣʲ	<#_dʲ	1.0
<#_ʦʲ	<#_tʲ	1.0
<#_ʧ	<#_ʨ	1.0
a_#>	ə_#>	1.0
a_r	ɐ_r	1.0
a_v	ɐ_v	1.0
b	b	1.0
bʲ	bʲ	1.0
d	d	1.0
e	ɪ	1.0
i	ɪ_j	1.0
k	k	1.0
k_#>	k_#>	1.0
kʲ	kʲ	1.0
lʲ_#>	lʲ_#>	1.0
lʲ_ˈe	lʲ_ˈe	1.0
m	m	1.0
m_#>	mʲ_#>	1.0
n	n	1.0
p	pʲ	1.0
p_#>	p_#>	1.0
r_a	rʲ_ɪ	1.0
s	s	1.0
s_#>	s_#>	1.0
sʲ	sʲ	1.0
t	t	1.0
t_#>	t_#>	1.0
u	ʊ	1.0
v	v	1.0
vʲ	vʲ	1.0
zʲ	zʲ	1.0
æ	ɪ	1.0
æ_lʲ	ɪ_lʲ	1.0
æ_z	ɪ_z	1.0
ɣ	ɡ	1.0
ɣ_a	ɡ_ə	1.0
ɫ	ɫ	1.0
ɫ_#>	ɫ_#>	1.0
ɫ_a	ɫ_ə	1.0
ɫ_ˈa	ɫ_ˈa	1.0
ʂ	ʂ	1.0
ʌ_ɫ	ə_ɫ	1.0
ʣʲ	dʲ	1.0
ʦ	ʦ	1.0
ʦʲ	tʲ_#>	1.0
ʦʲ_vʲ	vʲ	1.0
ˈe	ˈe	1.0
ˈe_sʲ	ˈe_sʲ	1.0
ˈi	ˈi	1.0
ˈo	ˈo	1.0
ˈo_#>	ˈo_#>	1.0
ˈo_sʲ	ˈo_sʲ	1.0
ˈo_w	ˈo_ɫ	1.0
ˈu	ˈu	1.0
ˈæ	ˈa	1.0
ˈæ_ʦʲ	ˈæ_tʲ	1.0
ˈɨ	ˈɨ	1.0
ˈɵ	ˈɵ	1.0
a	-	0.222
nʲ	nʲ	0.333
r	rʲ	0.353
ɨ	ɨ	0.154
ˈa	ˈa	0.154
<#_zʲ	<#_z	0.5
<#_zʲ	<#_zʲ	0.5
x	k_#>	0.5
x	x	0.5
ˈɛ	ˈe	0.5
ˈɛ	ˈɛ	0.5
ɨ	ɨ_j	0.846
ˈa	ˈa_#>	0.846
nʲ	nʲ_#>	0.667
r	r	0.647
a	ɐ	0.778
