Catalan	Bellunese	probability
j	-	1.0
mː	m	1.0
ŋ	ŋ	1.0
ʃ	s	1.0
l	j	0.311
s	θ	0.381
w	v_e	0.131
w	d_e	0.131
ɡ	ɡ	0.81
ˈɛ	ˈɛ	0.211
f	f	0.982
l	-	0.12
n	n	0.722
u	o	0.62
ð	-	0.212
ə	a	0.572
ɲ	ŋ	0.152
ʒ	-	0.252
ʤ	-	0.272
ʤ	d	0.272
ˈa	ˈa	0.952
d	d	0.903
k	k	0.833
s	s	0.573
t	t	0.883
z	-	0.653
ɣ	ɡ	0.873
ɲ	n	0.513
ʎ	-	0.073
ʎ	l	0.833
ʧ	ð	0.783
i	-	0.074
p	p	0.934
r	r	0.984
w	z_e	0.074
ð	t	0.234
ð	d	0.554
ɡ	-	0.084
ʒ	ð	0.654
ˈo	o	0.054
b	-	0.065
i	j	0.155
i	i	0.275
m	m	0.825
n	ŋ	0.25
u	u	0.085
w	w	0.155
ɲ	ɲ	0.335
ʒ	z	0.055
ˈe	ˈɛ	0.395
ˈi	ˈɛ	0.115
ˈu	ˈu	0.595
l	l	0.506
w	e	0.066
w	-	0.296
ɾ	r	0.916
ʎ	ʧ	0.066
ˈo	ˈo	0.796
ˈu	ˈɔ	0.126
ˈɛ	ˈe	0.686
d	-	0.097
i	ˈa	0.137
u	-	0.187
w	o	0.147
z	z	0.347
ə	e	0.177
ɣ	k	0.127
ʤ	ɡ	0.457
ʧ	s	0.217
ˈe	ˈa	0.07
ˈi	ˈi	0.757
β	-	0.167
b	b	0.328
i	e	0.358
k	ɡ	0.098
m	ŋ	0.118
t	-	0.058
ɡ	ʤ	0.058
ˈu	u	0.058
ˈu	ˈo	0.178
ˈɔ	ˈɔ	0.48
ˈɔ	ˈo	0.498
ˈɛ	ˈo	0.08
b	v	0.59
ə	o	0.069
ə	-	0.149
ɾ	-	0.079
ˈe	ˈe	0.439
β	v	0.779
