East Low German	Gothic	probability
h	h	1.0
kʰ	k	1.0
r	r	1.0
s	s	1.0
tʰ	t	1.0
w	w	1.0
x	h	1.0
z	s	1.0
ɡ	ɡ	1.0
ˈoː	ˈɔː	1.0
ˈœ	ˈɔ	1.0
ˈœː	ˈu	1.0
ˈɛː	ˈi	1.0
ˈʊ	ˈu	1.0
ˈʏ	ˈi	1.0
p	p_s	0.21
v	ʍ	0.101
ŋ	ŋ_ɡ	0.161
ŋ	h	0.191
ʃ	s	0.451
ˈaː	ˈɛ_r	0.631
ˈuː	ˈuː	0.671
ˈɒː	ˈa	0.621
ˈɔ	ˈu	0.721
m	a_n	0.152
m	m_s	0.232
t	t_a	0.062
t	t	0.422
æ	-	0.102
ç	x_s	0.162
ɾ	-	0.562
ˈae̯	ˈɛ	0.082
ˈaʊ̯	ˈoː	0.492
ˈiː	ˈiu̯	0.092
ˈiː	ˈi	0.212
ˈɛ	ˈa	0.352
ˈɪ	ˈiː	0.072
ˈɪ	ˈɛː	0.112
j	j	0.33
t	d	0.083
ŋ	n	0.163
ˈa	ˈa	0.683
ˈiː	ˈɛ	0.063
ˈiː	ˈiː	0.563
d	θ	0.384
f	f	0.794
m	m	0.524
p	p_a	0.224
æ	a_r	0.244
ˈa	oː_#>	0.054
ˈa	s_#>	0.204
ˈae̯	ˈiu̯	0.364
ˈae̯	ˈɛː	0.554
ˈuː	ˈɔ	0.214
f	b	0.05
n	n_θ	0.055
n	a_n	0.145
t	θ	0.165
æ	r	0.5
ŋ	ŋ	0.485
ˈɛ	ˈi_ɡ	0.35
ˈɪ	ˈi	0.815
d	d	0.476
f	f_s	0.156
p	p	0.566
ˈaʊ̯	ˈɔ	0.086
ˈaʊ̯	ˈɔː	0.166
ˈaʊ̯	ˈa	0.256
ˈuː	ˈu	0.116
j	-	0.67
l	h_l	0.057
n	n	0.627
t	θ_s	0.097
æ	a	0.107
ˈɛ	ˈi	0.297
n	n_s	0.088
ç	j	0.838
ɾ	ð	0.438
b	b	0.969
d	θ_s	0.059
k	k	0.969
l	l_s	0.099
l	l	0.809
m	n	0.059
t	t_s	0.129
v	w	0.899
ʃ	s_k	0.549
ˈaː	ˈa_r	0.369
ˈiː	ˈiː_s	0.069
ˈɒː	ˈeː	0.379
ˈɔ	ˈa	0.279
